DATE,DAY,RFU,LN(RFU),PC,LN(PC),REPLICATE,TREATMENT
11/15/18,3,187.6,5.234312037,,,C,35ppt0C
11/16/18,4,217.6,5.382658515,,,C,35ppt0C
11/17/01,5,281.4,5.639777145,,,C,35ppt0C
11/18/18,6,248.6,5.515845179,,,C,35ppt0C
11/19/18,7,516.7,6.247462435,,,C,35ppt0C
11/20/18,8,629.2,6.444449171,,,C,35ppt0C
11/21/18,9,810.7,6.697898072,,,C,35ppt0C
11/22/18,10,815.6,6.703924039,,,C,35ppt0C
11/13/18,1,115.9,4.75272775,,,A,50ppt-3C
11/14/18,2,87.8,4.475061501,,,A,50ppt-3C
11/15/18,3,112,4.718498871,,,A,50ppt-3C
11/16/18,4,118.2,4.772378105,,,A,50ppt-3C
11/17/01,5,120.6,4.792479284,,,A,50ppt-3C
11/18/18,6,172.9,5.152713393,,,A,50ppt-3C
11/19/18,7,179.8,5.191845122,,,A,50ppt-3C
11/20/18,8,161.3,5.083265985,,,A,50ppt-3C
11/21/18,9,227.3,5.426270731,,,A,50ppt-3C
11/22/18,10,353.3,5.867317554,,,A,50ppt-3C
11/13/18,1,103.9,4.643428898,,,B,50ppt-3C
11/14/18,2,103.6,4.64053733,,,B,50ppt-3C
11/15/18,3,106.6,4.669083512,,,B,50ppt-3C
11/16/18,4,125.8,4.834693344,,,B,50ppt-3C
11/17/01,5,102.3,4.627909673,,,B,50ppt-3C
11/18/18,6,149.3,5.005957705,,,B,50ppt-3C
11/19/18,7,188.4,5.238567362,,,B,50ppt-3C
11/20/18,8,157.7,5.060694494,,,B,50ppt-3C
11/21/18,9,285.1,5.652839996,,,B,50ppt-3C
11/22/18,10,325.3,5.784747833,,,B,50ppt-3C
11/13/18,1,90.1,4.500920165,,,C,50ppt-3C
11/14/18,2,96.7,4.571613402,,,C,50ppt-3C
11/15/18,3,161.1,5.08202529,,,C,50ppt-3C
11/16/18,4,115,4.744932128,,,C,50ppt-3C
11/17/01,5,136.9,4.919250732,,,C,50ppt-3C
11/18/18,6,171.5,5.144583267,,,C,50ppt-3C
11/19/18,7,195.7,5.276582874,,,C,50ppt-3C
11/20/18,8,160.2,5.076423035,,,C,50ppt-3C
11/21/18,9,272.5,5.607638614,,,C,50ppt-3C
11/22/18,10,350,5.857933154,,,C,50ppt-3C
11/8/18,1,,,8.04,2.084429083,A,StationB
11/12/18,5,,,10.07,2.309560707,A,StationB
11/15/18,8,,,29.09,3.370394473,A,StationB
11/17/18,10,,,34.62,3.54443155,A,StationB
11/19/18,12,,,41.49,3.725452434,A,StationB
11/8/18,1,,,7.53,2.018895042,B,StationB
11/12/18,5,,,23.25,3.146305132,B,StationB
11/15/18,8,,,28.8,3.360375387,B,StationB
11/17/18,10,,,34.7,3.546739687,B,StationB
11/19/18,12,,,42.49,3.749268754,B,StationB
11/8/18,1,,,7.86,2.061786606,C,StationB
11/12/18,5,,,22.26,3.102791346,C,StationB
11/15/18,8,,,32.03,3.466672964,C,StationB
11/17/18,10,,,35.58,3.571783682,C,StationB
11/19/18,12,,,43.07,3.762826699,C,StationB
