Quantification method for each quantified metabolite in each sample set.
"","Full compound name","Abbreviated compound name","Quantification method"
"60","Glucose 6 phosphate","Glucose 6 phosphate","direct RF and RF ratio "
"61","Glucosylglycerol","Glucosylglycerol","direct RF and RF ratio "
"62","Glutamic acid","Glutamic acid","direct RF and RF ratio "
"63","Glutamine","Glutamine","direct RF and RF ratio "
"64","Glutathione","Glutathione","direct RF and RF ratio assumed"
"65","Glutathione Disulfide","GSSG","direct RF and RF ratio "
"66","glycerol 3 phosphate","G3-phosphate","direct RF and RF ratio "
"67","Glycerophosphocholine","GPP","direct RF and RF ratio "
"68","Glycine","Glycine","direct RF and RF ratio "
"69","GMP","GMP","isotopologue "
"70","Gonyol","Gonyol","direct RF and RF ratio "
"71","Guanine","Guanine","isotopologue "
"72","Guanosine","Guanosine","direct RF and RF ratio "
"73","Histidine","Histidine","isotopologue "
"74","Homarine","Homarine","isotopologue "
"75","Homoserine","Homoserine","direct RF and RF ratio "
"76","Hydroxo B12","Hydroxo B12","direct RF and RF ratio "
"77","Hypotaurine","Hypotaurine","direct RF and RF ratio "
"78","Hypoxanthine","Hypoxanthine","direct RF and RF ratio "
"79","IAA","IAA","isotopologue "
"80","Indole 3 acetamide","Indole 3 acetamide","direct RF and RF ratio "
"81","Indole 3 methyl acetate","Indole-3-methyl acetate","direct RF and RF ratio "
"82","Inosine","Inosine","direct RF and RF ratio "
"83","Isethionic Acid","Isethionic acid","isotopologue "
"84","Isobutyryl-L-carnitine","Isobutyryl-L-carnitine","direct RF and RF ratio "
"85","Ketoglutaric Acid","Ketoglutaric acid","direct RF and RF ratio "
"86","Kynurenine","Kynurenine","direct RF and RF ratio "
"87","L-Pyroglutamic acid","Pidolic acid","direct RF and RF ratio "
"88","Lysine","Lysine","direct RF and RF ratio "
"89","Methionine","Methionine","isotopologue "
"90","Methionine Sulfoxide","Methionine sulfoxide","direct RF and RF ratio "
"91","Methylmalonyl carnitine","MMC","direct RF and RF ratio "
"92","Methylthioadenosine","MTA","direct RF and RF ratio "
"93","Muramic Acid","Muramic acid","direct RF and RF ratio "
"94","N-Acetyl-Serine","N-Acetylserine","direct RF and RF ratio "
"95","N-Acetylglucosamine","N-Acetylglucosamine","direct RF and RF ratio "
"96","N-acetyltaurine","N-acetyltaurine","direct RF and RF ratio "
"97","N(e)-Acetyl-Lysine","N(e)-Acetyl-Lysine","direct RF and RF ratio "
"98","NAD","NAD","direct RF and RF ratio "
"99","Ophthalmic Acid","Ophthalmate","direct RF and RF ratio "
"100","Ornithine","Ornithine","direct RF and RF ratio "
"101","Orotic Acid","Orotic acid","direct RF and RF ratio "
"102","PEP","PEP","direct RF and RF ratio "
"103","Phenylalanine","Phenylalanine","isotopologue "
"104","Phosphoglyceric Acid","3-Phosphoglycerate","direct RF and RF ratio "
"105","Proline","Proline","isotopologue "
"106","Propionyl-L-carnitine","O-Propionylcarnitine","direct RF and RF ratio "
"107","Propionylglycine","Propionylglycine","direct RF and RF ratio "
"108","Pyridoxal","Pyridoxal","isotopologue "
"109","Resorcylic Acid","Resorcylic acid","direct RF and RF ratio "
"110","Ribose 5 phosphate","R5P","direct RF and RF ratio "
"111","RP B12","Cyano B12","direct RF and RF ratio "
"112","Serine","Serine","direct RF and RF ratio "
"113","Stachydrine hydrochloride","Proline betaine","direct RF and RF ratio "
"114","Sulfurol","Sulfurol","direct RF and RF ratio "
"115","Taurine","Taurine","isotopologue "
"116","Thiamine monophosphate","TMP","direct RF and RF ratio "
"117","Threonic acid","Threonic acid","direct RF and RF ratio "
"118","Threonine","Threonine","direct RF and RF ratio "
"119","trans Hydroxyl proline","THP","direct RF and RF ratio "
"120","Trigonelline","Trigonelline","direct RF and RF ratio "
"121","Trimethyl-L-lysine","Trimethyl-L-lysine","direct RF and RF ratio "
"122","Trimethylamine N-oxide","TMAO","direct RF and RF ratio "
"123","Trimethylammonium Propionate (TMAP)","TMAP","direct RF and RF ratio "
"124","Tryptophan","Tryptophan","isotopologue "
"125","Turicine","Turicine","direct RF and RF ratio "
"126","Tyrosine","Tyrosine","direct RF and RF ratio "
"127","UDP-glucosamine","UDP-glucosamine","direct RF and RF ratio "
"128","UDP-glucose","UDP-glucose","direct RF and RF ratio "
"129","Uridine","Uridine","direct RF and RF ratio "
"130","Vitamin B1","Vit B1","isotopologue "
"131","Vitamin B2","Vit B2","isotopologue "
"132","Vitamin B3","Vit B3","direct RF and RF ratio "
"133","Vitamin B5","Vit B5","direct RF and RF ratio "
"134","Vitamin B6","Vit B6","direct RF and RF ratio "
"135","Xanthine","Xanthine","direct RF and RF ratio "
