X1,X,Precursor.Ion.Name,Retention.Time,Area,Background,Height,Mass.Error.PPM,SNFlag,ppmFlag,areaminFlag,RT_ref,RT_max,RT_min,RTFlag,Blank.Area,BlankFlag,Flags,QC_area,Reps_Present,ReplicateFlag,Samps_Present,Replicate.Name,SampleFlag,SmpFlag,CmpFlag,Filled_area,Backfill_Flag
1818,3105,ADP,12.86,142967,0,18878,0.2,NA,NA,NA,13.11625,13.92,12.86,NA,NA,NA,NA,142967,NA,NA,NA,200821_Std_H2OinMatrix_1,NA,NA,NA,142967,NA
1819,3106,ADP,13.92,10167,0,6736,0.3,NA,NA,areaminFlag,13.11625,13.92,12.86,NA,NA,NA,"areaminFlag,",10167,NA,NA,NA,200821_Std_H2OinMatrix_2,NA,NA,NA,10167,NA
1843,3130,Amino Propanesulfonic Acid,8.03,9158,0,8881,-0.2,NA,NA,areaminFlag,11.4277777777778,12.28,8.03,NA,NA,NA,"areaminFlag,",9158,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_1,NA,NA,NA,9158,NA
1844,3131,Amino Propanesulfonic Acid,NA,NA,NA,NA,NA,NA,NA,NA,11.4277777777778,12.28,8.03,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_2,NA,NA,NA,NA,NA
1845,3132,Amino Propanesulfonic Acid,12.28,10975,0,6541,-3.5,NA,NA,areaminFlag,11.4277777777778,12.28,8.03,NA,NA,NA,"areaminFlag,",10975,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_1,NA,NA,NA,10975,NA
1846,3133,Amino Propanesulfonic Acid,11.9,14980,0,15542,-7.4,NA,ppmFlag,areaminFlag,11.4277777777778,12.28,8.03,NA,NA,NA,"ppmFlag, areaminFlag,",14980,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_2,NA,NA,NA,14980,NA
1847,3134,Amino Propanesulfonic Acid,11.95,60082424,0,3673396,-3.3,NA,NA,NA,11.4277777777778,12.28,8.03,NA,NA,NA,NA,60082424,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_1,NA,NA,NA,60082424,NA
1848,3135,Amino Propanesulfonic Acid,11.63,86027632,0,4284438,-2.7,NA,NA,NA,11.4277777777778,12.28,8.03,NA,NA,NA,NA,86027632,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_2,NA,NA,NA,86027632,NA
1849,3136,Amino Propanesulfonic Acid,11.97,29822994,0,2838524,-3.4,NA,NA,NA,11.4277777777778,12.28,8.03,NA,NA,NA,NA,29822994,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_1,NA,NA,NA,29822994,NA
1850,3137,Amino Propanesulfonic Acid,11.68,53039992,0,4730886,-2.7,NA,NA,NA,11.4277777777778,12.28,8.03,NA,NA,NA,NA,53039992,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_2,NA,NA,NA,53039992,NA
1851,3138,Amino Propanesulfonic Acid,11.42,0,0,0,NA,NA,NA,areaminFlag,11.4277777777778,12.28,8.03,NA,NA,NA,"areaminFlag,",0,NA,NA,NA,200821_Std_H2OinMatrix_1,NA,NA,NA,0,NA
1852,3139,Amino Propanesulfonic Acid,11.99,12939,0,13086,-3.8,NA,NA,areaminFlag,11.4277777777778,12.28,8.03,NA,NA,NA,"areaminFlag,",12939,NA,NA,NA,200821_Std_H2OinMatrix_2,NA,NA,NA,12939,NA
1876,3163,AMP,NA,NA,NA,NA,NA,NA,NA,NA,11.19,11.42,10.79,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_1,NA,NA,NA,NA,NA
1877,3164,AMP,NA,NA,NA,NA,NA,NA,NA,NA,11.19,11.42,10.79,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_2,NA,NA,NA,NA,NA
1878,3165,AMP,11.39,11150832,0,514267,2,NA,NA,NA,11.19,11.42,10.79,NA,NA,NA,NA,11150832,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_1,NA,NA,NA,11150832,NA
1879,3166,AMP,11.04,12510391,164225,402553,2.4,NA,NA,NA,11.19,11.42,10.79,NA,NA,NA,NA,12510391,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_2,NA,NA,NA,12510391,NA
1880,3167,AMP,11.32,26618230,0,1197233,2.1,NA,NA,NA,11.19,11.42,10.79,NA,NA,NA,NA,26618230,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_1,NA,NA,NA,26618230,NA
1881,3168,AMP,10.79,40662224,0,1439274,2.5,NA,NA,NA,11.19,11.42,10.79,NA,NA,NA,NA,40662224,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_2,NA,NA,NA,40662224,NA
1882,3169,AMP,11.4,34145452,1778854,1557819,2.1,NA,NA,NA,11.19,11.42,10.79,NA,NA,NA,NA,34145452,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_1,NA,NA,NA,34145452,NA
1883,3170,AMP,11.04,66309040,0,2089930,2.6,NA,NA,NA,11.19,11.42,10.79,NA,NA,NA,NA,66309040,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_2,NA,NA,NA,66309040,NA
1884,3171,AMP,11.42,9292977,0,449202,1.9,NA,NA,NA,11.19,11.42,10.79,NA,NA,NA,NA,9292977,NA,NA,NA,200821_Std_H2OinMatrix_1,NA,NA,NA,9292977,NA
1885,3172,AMP,11.12,12167454,0,364971,2.4,NA,NA,NA,11.19,11.42,10.79,NA,NA,NA,NA,12167454,NA,NA,NA,200821_Std_H2OinMatrix_2,NA,NA,NA,12167454,NA
1909,3229,cAMP,NA,NA,NA,NA,NA,NA,NA,NA,6.0375,7.3,5.15,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_1,NA,NA,NA,NA,NA
1910,3230,cAMP,NA,NA,NA,NA,NA,NA,NA,NA,6.0375,7.3,5.15,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_2,NA,NA,NA,NA,NA
1911,3231,cAMP,5.17,589669,0,29517,1.7,NA,NA,NA,6.0375,7.3,5.15,NA,NA,NA,NA,589669,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_1,NA,NA,NA,589669,NA
1912,3232,cAMP,5.15,587954,0,32456,2,NA,NA,NA,6.0375,7.3,5.15,NA,NA,NA,NA,587954,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_2,NA,NA,NA,587954,NA
1913,3233,cAMP,7.09,194797232,848033,6635898,2.3,NA,NA,NA,6.0375,7.3,5.15,NA,NA,NA,NA,194797232,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_1,NA,NA,NA,194797232,NA
1914,3234,cAMP,6.29,436768448,5563673,6698906,2.7,NA,NA,NA,6.0375,7.3,5.15,NA,NA,NA,NA,436768448,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_2,NA,NA,NA,436768448,NA
1915,3235,cAMP,7.3,140541120,500348,3263726,2.2,NA,NA,NA,6.0375,7.3,5.15,NA,NA,NA,NA,140541120,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_1,NA,NA,NA,140541120,NA
1916,3236,cAMP,6.81,347159872,2707814,4544539,3,NA,NA,NA,6.0375,7.3,5.15,NA,NA,NA,NA,347159872,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_2,NA,NA,NA,347159872,NA
1917,3237,cAMP,5.31,656826,0,26022,1.9,NA,NA,NA,6.0375,7.3,5.15,NA,NA,NA,NA,656826,NA,NA,NA,200821_Std_H2OinMatrix_1,NA,NA,NA,656826,NA
1918,3238,cAMP,5.18,519169,0,32796,2.1,NA,NA,NA,6.0375,7.3,5.15,NA,NA,NA,NA,519169,NA,NA,NA,200821_Std_H2OinMatrix_2,NA,NA,NA,519169,NA
1942,3262,cGMP,NA,NA,NA,NA,NA,NA,NA,NA,10.09875,10.38,9.72,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_1,NA,NA,NA,NA,NA
1943,3263,cGMP,NA,NA,NA,NA,NA,NA,NA,NA,10.09875,10.38,9.72,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_2,NA,NA,NA,NA,NA
1944,3264,cGMP,10.35,1660299,0,56415,-11.6,NA,ppmFlag,NA,10.09875,10.38,9.72,NA,NA,NA,"ppmFlag,",1660299,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_1,NA,NA,NA,1660299,NA
1945,3265,cGMP,10.29,7644344,2661514,249905,-11.8,SNFlag,ppmFlag,NA,10.09875,10.38,9.72,NA,NA,NA,"SNFlag, ppmFlag,",7644344,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_2,NA,NA,NA,7644344,NA
1946,3266,cGMP,10.22,51866320,0,4906206,1.9,NA,NA,NA,10.09875,10.38,9.72,NA,NA,NA,NA,51866320,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_1,NA,NA,NA,51866320,NA
1947,3267,cGMP,9.72,97637456,0,9996396,2.4,NA,NA,NA,10.09875,10.38,9.72,NA,NA,NA,NA,97637456,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_2,NA,NA,NA,97637456,NA
1948,3268,cGMP,10.38,31922886,0,2976185,2.1,NA,NA,NA,10.09875,10.38,9.72,NA,NA,NA,NA,31922886,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_1,NA,NA,NA,31922886,NA
1949,3269,cGMP,10.1,59494112,151470,5478636,2.6,NA,NA,NA,10.09875,10.38,9.72,NA,NA,NA,NA,59494112,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_2,NA,NA,NA,59494112,NA
1950,3270,cGMP,9.73,0,0,0,NA,NA,NA,areaminFlag,10.09875,10.38,9.72,NA,NA,NA,"areaminFlag,",0,NA,NA,NA,200821_Std_H2OinMatrix_1,NA,NA,NA,0,NA
1951,3271,cGMP,10,169885,0,20049,-1.4,NA,NA,NA,10.09875,10.38,9.72,NA,NA,NA,NA,169885,NA,NA,NA,200821_Std_H2OinMatrix_2,NA,NA,NA,169885,NA
1975,3295,Citric Acid,NA,NA,NA,NA,NA,NA,NA,NA,14.98875,15.7,14.03,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_1,NA,NA,NA,NA,NA
1976,3296,Citric Acid,NA,NA,NA,NA,NA,NA,NA,NA,14.98875,15.7,14.03,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_2,NA,NA,NA,NA,NA
1977,3297,Citric Acid,15.7,243640528,8620557,8141888,-0.4,NA,NA,NA,14.98875,15.7,14.03,NA,NA,NA,NA,243640528,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_1,NA,NA,NA,243640528,NA
1978,3298,Citric Acid,15.26,48706760,1339208,1885588,0.4,NA,NA,NA,14.98875,15.7,14.03,NA,NA,NA,NA,48706760,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_2,NA,NA,NA,48706760,NA
1979,3299,Citric Acid,15.37,109778144,11442926,3477397,-0.1,NA,NA,NA,14.98875,15.7,14.03,NA,NA,NA,NA,109778144,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_1,NA,NA,NA,109778144,NA
1980,3300,Citric Acid,14.31,36143280,0,1365807,0.5,NA,NA,NA,14.98875,15.7,14.03,NA,NA,NA,NA,36143280,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_2,NA,NA,NA,36143280,NA
1981,3301,Citric Acid,15.27,299808352,12684171,12049126,0,NA,NA,NA,14.98875,15.7,14.03,NA,NA,NA,NA,299808352,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_1,NA,NA,NA,299808352,NA
1982,3302,Citric Acid,14.52,40058684,656749,2319388,0.4,NA,NA,NA,14.98875,15.7,14.03,NA,NA,NA,NA,40058684,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_2,NA,NA,NA,40058684,NA
1983,3303,Citric Acid,15.45,111540200,8095395,3837118,0,NA,NA,NA,14.98875,15.7,14.03,NA,NA,NA,NA,111540200,NA,NA,NA,200821_Std_H2OinMatrix_1,NA,NA,NA,111540200,NA
1984,3304,Citric Acid,14.03,19221156,0,1233012,0.2,NA,NA,NA,14.98875,15.7,14.03,NA,NA,NA,NA,19221156,NA,NA,NA,200821_Std_H2OinMatrix_2,NA,NA,NA,19221156,NA
2008,3361,Cysteic Acid,NA,NA,NA,NA,NA,NA,NA,NA,12.4425,12.65,12.1,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_1,NA,NA,NA,NA,NA
2009,3362,Cysteic Acid,NA,NA,NA,NA,NA,NA,NA,NA,12.4425,12.65,12.1,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_2,NA,NA,NA,NA,NA
2010,3363,Cysteic Acid,12.65,10428567,0,966880,-1.5,NA,NA,NA,12.4425,12.65,12.1,NA,NA,NA,NA,10428567,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_1,NA,NA,NA,10428567,NA
2011,3364,Cysteic Acid,12.29,7284237,0,674586,-0.8,NA,NA,NA,12.4425,12.65,12.1,NA,NA,NA,NA,7284237,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_2,NA,NA,NA,7284237,NA
2012,3365,Cysteic Acid,12.59,52552776,222754,3514073,-1.4,NA,NA,NA,12.4425,12.65,12.1,NA,NA,NA,NA,52552776,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_1,NA,NA,NA,52552776,NA
2013,3366,Cysteic Acid,12.1,58150800,0,3231288,-0.7,NA,NA,NA,12.4425,12.65,12.1,NA,NA,NA,NA,58150800,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_2,NA,NA,NA,58150800,NA
2014,3367,Cysteic Acid,12.65,50018068,0,4525225,-1.2,NA,NA,NA,12.4425,12.65,12.1,NA,NA,NA,NA,50018068,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_1,NA,NA,NA,50018068,NA
2015,3368,Cysteic Acid,12.29,66657244,0,6155832,-0.7,NA,NA,NA,12.4425,12.65,12.1,NA,NA,NA,NA,66657244,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_2,NA,NA,NA,66657244,NA
2016,3369,Cysteic Acid,12.63,8624719,0,809458,-1.3,NA,NA,NA,12.4425,12.65,12.1,NA,NA,NA,NA,8624719,NA,NA,NA,200821_Std_H2OinMatrix_1,NA,NA,NA,8624719,NA
2017,3370,Cysteic Acid,12.34,6592888,0,634788,-1.2,NA,NA,NA,12.4425,12.65,12.1,NA,NA,NA,NA,6592888,NA,NA,NA,200821_Std_H2OinMatrix_2,NA,NA,NA,6592888,NA
2041,3394,DHAP,NA,NA,NA,NA,NA,NA,NA,NA,12.51125,12.63,12.39,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_1,NA,NA,NA,NA,NA
2042,3395,DHAP,NA,NA,NA,NA,NA,NA,NA,NA,12.51125,12.63,12.39,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_2,NA,NA,NA,NA,NA
2043,3396,DHAP,12.59,1470283,0,87059,-1.4,NA,NA,NA,12.51125,12.63,12.39,NA,NA,NA,NA,1470283,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_1,NA,NA,NA,1470283,NA
2044,3397,DHAP,12.39,1527067,0,97259,-0.7,NA,NA,NA,12.51125,12.63,12.39,NA,NA,NA,NA,1527067,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_2,NA,NA,NA,1527067,NA
2045,3398,DHAP,12.63,4410128,0,296464,-1.3,NA,NA,NA,12.51125,12.63,12.39,NA,NA,NA,NA,4410128,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_1,NA,NA,NA,4410128,NA
2046,3399,DHAP,12.39,3612291,0,198157,-0.5,NA,NA,NA,12.51125,12.63,12.39,NA,NA,NA,NA,3612291,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_2,NA,NA,NA,3612291,NA
2047,3400,DHAP,12.62,4453856,0,279097,-1,NA,NA,NA,12.51125,12.63,12.39,NA,NA,NA,NA,4453856,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_1,NA,NA,NA,4453856,NA
2048,3401,DHAP,12.4,4013685,0,245421,-0.5,NA,NA,NA,12.51125,12.63,12.39,NA,NA,NA,NA,4013685,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_2,NA,NA,NA,4013685,NA
2049,3402,DHAP,12.62,468685,0,46710,-1.7,NA,NA,NA,12.51125,12.63,12.39,NA,NA,NA,NA,468685,NA,NA,NA,200821_Std_H2OinMatrix_1,NA,NA,NA,468685,NA
2050,3403,DHAP,12.45,280938,0,30429,-1.5,NA,NA,NA,12.51125,12.63,12.39,NA,NA,NA,NA,280938,NA,NA,NA,200821_Std_H2OinMatrix_2,NA,NA,NA,280938,NA
2074,3427,DHPS,NA,NA,NA,NA,NA,NA,NA,NA,8.8975,9.33,7.87,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_1,NA,NA,NA,NA,NA
2075,3428,DHPS,NA,NA,NA,NA,NA,NA,NA,NA,8.8975,9.33,7.87,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_2,NA,NA,NA,NA,NA
2076,3429,DHPS,9.28,1476241664,0,45977716,-2.4,NA,NA,NA,8.8975,9.33,7.87,NA,NA,NA,NA,1476241664,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_1,NA,NA,NA,1476241664,NA
2077,3430,DHPS,8.91,1319502592,0,31623578,-1.9,NA,NA,NA,8.8975,9.33,7.87,NA,NA,NA,NA,1319502592,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_2,NA,NA,NA,1319502592,NA
2078,3431,DHPS,8.62,291880128,0,24863160,-2.4,NA,NA,NA,8.8975,9.33,7.87,NA,NA,NA,NA,291880128,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_1,NA,NA,NA,291880128,NA
2079,3432,DHPS,7.87,397320224,1403389,32045196,-1.8,NA,NA,NA,8.8975,9.33,7.87,NA,NA,NA,NA,397320224,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_2,NA,NA,NA,397320224,NA
2080,3433,DHPS,9.33,1465074688,0,44272840,-2.4,NA,NA,NA,8.8975,9.33,7.87,NA,NA,NA,NA,1465074688,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_1,NA,NA,NA,1465074688,NA
2081,3434,DHPS,8.97,1609406720,0,34049860,-1.7,NA,NA,NA,8.8975,9.33,7.87,NA,NA,NA,NA,1609406720,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_2,NA,NA,NA,1609406720,NA
2082,3435,DHPS,9.26,1214477440,3209239,38665240,-2.3,NA,NA,NA,8.8975,9.33,7.87,NA,NA,NA,NA,1214477440,NA,NA,NA,200821_Std_H2OinMatrix_1,NA,NA,NA,1214477440,NA
2083,3436,DHPS,8.94,1250497920,0,26622276,-2,NA,NA,NA,8.8975,9.33,7.87,NA,NA,NA,NA,1250497920,NA,NA,NA,200821_Std_H2OinMatrix_2,NA,NA,NA,1250497920,NA
2107,3493,Ethyl Dihydroxybenzoate,NA,NA,NA,NA,NA,NA,NA,NA,2.02,2.38,1.8,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_1,NA,NA,NA,NA,NA
2108,3494,Ethyl Dihydroxybenzoate,NA,NA,NA,NA,NA,NA,NA,NA,2.02,2.38,1.8,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_2,NA,NA,NA,NA,NA
2109,3495,Ethyl Dihydroxybenzoate,2.3,195041,0,21139,1.5,NA,NA,NA,2.02,2.38,1.8,NA,NA,NA,NA,195041,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_1,NA,NA,NA,195041,NA
2110,3496,Ethyl Dihydroxybenzoate,1.8,84899,399561,30754,5.8,SNFlag,NA,NA,2.02,2.38,1.8,NA,NA,NA,"SNFlag,",84899,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_2,NA,NA,NA,84899,NA
2111,3497,Ethyl Dihydroxybenzoate,1.83,62285680,0,8051261,-0.7,NA,NA,NA,2.02,2.38,1.8,NA,NA,NA,NA,62285680,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_1,NA,NA,NA,62285680,NA
2112,3498,Ethyl Dihydroxybenzoate,1.86,122365136,0,16096530,-0.2,NA,NA,NA,2.02,2.38,1.8,NA,NA,NA,NA,122365136,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_2,NA,NA,NA,122365136,NA
2113,3499,Ethyl Dihydroxybenzoate,1.83,59785112,759597,8651754,-0.8,NA,NA,NA,2.02,2.38,1.8,NA,NA,NA,NA,59785112,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_1,NA,NA,NA,59785112,NA
2114,3500,Ethyl Dihydroxybenzoate,1.86,113496360,404042,14797895,-0.2,NA,NA,NA,2.02,2.38,1.8,NA,NA,NA,NA,113496360,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_2,NA,NA,NA,113496360,NA
2115,3501,Ethyl Dihydroxybenzoate,2.3,177374,0,23366,1,NA,NA,NA,2.02,2.38,1.8,NA,NA,NA,NA,177374,NA,NA,NA,200821_Std_H2OinMatrix_1,NA,NA,NA,177374,NA
2116,3502,Ethyl Dihydroxybenzoate,2.38,162612,405909,27051,2,SNFlag,NA,NA,2.02,2.38,1.8,NA,NA,NA,"SNFlag,",162612,NA,NA,NA,200821_Std_H2OinMatrix_2,NA,NA,NA,162612,NA
2140,3526,FAD,NA,NA,NA,NA,NA,NA,NA,NA,9.47625,9.73,8.99,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_1,NA,NA,NA,NA,NA
2141,3527,FAD,NA,NA,NA,NA,NA,NA,NA,NA,9.47625,9.73,8.99,NA,NA,NA,NA,NA,NA,NA,NA,200821_Std_4uMStdsMix1InH2O_2,NA,NA,NA,NA,NA
2142,3528,FAD,9.62,119056,0,14544,0.5,NA,NA,NA,9.47625,9.73,8.99,NA,NA,NA,NA,119056,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_1,NA,NA,NA,119056,NA
2143,3529,FAD,9.53,77823,0,16488,2,NA,NA,NA,9.47625,9.73,8.99,NA,NA,NA,NA,77823,NA,NA,NA,200821_Std_4uMStdsMix1InMatrix_2,NA,NA,NA,77823,NA
2144,3530,FAD,9.47,19359872,0,1065701,0.6,NA,NA,NA,9.47625,9.73,8.99,NA,NA,NA,NA,19359872,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_1,NA,NA,NA,19359872,NA
2145,3531,FAD,8.99,32228648,0,1733443,1.4,NA,NA,NA,9.47625,9.73,8.99,NA,NA,NA,NA,32228648,NA,NA,NA,200821_Std_4uMStdsMix2InH2O_2,NA,NA,NA,32228648,NA
2146,3532,FAD,9.73,13716518,0,816954,1,NA,NA,NA,9.47625,9.73,8.99,NA,NA,NA,NA,13716518,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_1,NA,NA,NA,13716518,NA
2147,3533,FAD,9.38,24009274,0,1255458,1.5,NA,NA,NA,9.47625,9.73,8.99,NA,NA,NA,NA,24009274,NA,NA,NA,200821_Std_4uMStdsMix2InMatrix_2,NA,NA,NA,24009274,NA
