"","SampleID","variable","value","kingdom","supergroup","division","class","order","family","genus","species","taxon"
"40","mock_2","Bacillariophyta_119",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"41","hero_11","Bacillariophyta_119",99,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"42","hero_12","Bacillariophyta_119",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"43","Carboy6","Bacillariophyta_119",93,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"44","Carboy5","Bacillariophyta_119",72,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"45","blankMQ191118","Bacillariophyta_119",408,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"46","Barrow_S1IC4","Bacillariophyta_119",319,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"47","iceslush","Bacillariophyta_119",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"48","Barrow_S2C2","Bacillariophyta_119",736,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"49","Carboy3","Bacillariophyta_119",97,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"50","B23","Bacillariophyta_119",96,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"51","B33","Bacillariophyta_119",40,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"52","CTDSW","Bacillariophyta_119",192,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"53","Carboy9","Bacillariophyta_119",135,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"54","B43","Bacillariophyta_119",42,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Achnanthidium","Achnanthidium_minutissimum","Achnanthidium_minutissimum"
"55","core_1","Bacillariophyta_130",169,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"56","B51","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"57","B12","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"58","B11","Bacillariophyta_130",61,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"59","core_2","Bacillariophyta_130",439,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"60","B52","Bacillariophyta_130",44,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"61","dockslush_3","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"62","B14","Bacillariophyta_130",305,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"63","blank771","Bacillariophyta_130",139,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"64","core_4","Bacillariophyta_130",23,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"65","mock_3","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"66","hero_13","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"67","Carboy4","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"68","Carboy7","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"69","Barrow_S2C3","Bacillariophyta_130",5567,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"70","Carboy2","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"71","Barrow_S1IC6","Bacillariophyta_130",2162,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"72","B22","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"73","Barrow_S2C1D","Bacillariophyta_130",3716,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"74","Barrow_S1IC5","Bacillariophyta_130",1877,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"75","Carboy1","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"76","B21","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"77","B32","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"78","Carboy8","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"79","B31","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"80","B42","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"81","blankMQ121118","Bacillariophyta_130",79,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"82","Barrow_blank1","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"83","B41","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"84","Barrow_blank2","Bacillariophyta_130",926,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"85","blankdry2","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"86","blankFiltSW1","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"87","core_3","Bacillariophyta_130",612,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"88","B53","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"89","dockslush_2","Bacillariophyta_130",137,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"90","B13","Bacillariophyta_130",42,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"91","dockslush_1","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"92","mock_1","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"93","core_6","Bacillariophyta_130",41,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"94","mock_2","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"95","hero_11","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"96","hero_12","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"97","Carboy6","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"98","Carboy5","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"99","blankMQ191118","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"100","Barrow_S1IC4","Bacillariophyta_130",483,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"101","iceslush","Bacillariophyta_130",71,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"102","Barrow_S2C2","Bacillariophyta_130",11361,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"103","Carboy3","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"104","B23","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"105","B33","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"106","CTDSW","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"107","Carboy9","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"108","B43","Bacillariophyta_130",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Nitzschia","Nitzschia_sp.","Nitzschia_sp."
"109","core_1","Bacillariophyta_131",16386,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_sublineata","Fragilariopsis_sublineata"
"110","B51","Bacillariophyta_131",2224,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_sublineata","Fragilariopsis_sublineata"
"111","B12","Bacillariophyta_131",18327,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_sublineata","Fragilariopsis_sublineata"
"112","B11","Bacillariophyta_131",19204,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_sublineata","Fragilariopsis_sublineata"
"113","core_2","Bacillariophyta_131",6593,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_sublineata","Fragilariopsis_sublineata"
"114","B52","Bacillariophyta_131",2750,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_sublineata","Fragilariopsis_sublineata"
"115","dockslush_3","Bacillariophyta_131",6036,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_sublineata","Fragilariopsis_sublineata"
"116","B14","Bacillariophyta_131",4544,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_sublineata","Fragilariopsis_sublineata"
"117","blank771","Bacillariophyta_131",14388,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_sublineata","Fragilariopsis_sublineata"
"118","core_4","Bacillariophyta_131",62463,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_sublineata","Fragilariopsis_sublineata"
"119","mock_3","Bacillariophyta_131",0,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_sublineata","Fragilariopsis_sublineata"
"120","hero_13","Bacillariophyta_131",1723,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_sublineata","Fragilariopsis_sublineata"
"121","Carboy4","Bacillariophyta_131",12300,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_sublineata","Fragilariopsis_sublineata"
"122","Carboy7","Bacillariophyta_131",21985,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_sublineata","Fragilariopsis_sublineata"
"123","Barrow_S2C3","Bacillariophyta_131",4933,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_sublineata","Fragilariopsis_sublineata"
"124","Carboy2","Bacillariophyta_131",29914,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_sublineata","Fragilariopsis_sublineata"
"125","Barrow_S1IC6","Bacillariophyta_131",10116,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_sublineata","Fragilariopsis_sublineata"
"126","B22","Bacillariophyta_131",6600,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_sublineata","Fragilariopsis_sublineata"
"127","Barrow_S2C1D","Bacillariophyta_131",12229,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_sublineata","Fragilariopsis_sublineata"
"128","Barrow_S1IC5","Bacillariophyta_131",15527,"Eukaryota","Stramenopiles","Ochrophyta","Bacillariophyta","Bacillariophyta_X","Raphid-pennate","Fragilariopsis","Fragilariopsis_sublineata","Fragilariopsis_sublineata"
