"","SampleID","variable","value"
"174","hero_13","Apusomonadidae_Group-1",0
"175","Carboy4","Apusomonadidae_Group-1",747
"176","Carboy7","Apusomonadidae_Group-1",148
"177","Barrow_S2C3","Apusomonadidae_Group-1",115
"178","Carboy2","Apusomonadidae_Group-1",0
"179","Barrow_S1IC6","Apusomonadidae_Group-1",284
"180","B22","Apusomonadidae_Group-1",300
"181","Barrow_S2C1D","Apusomonadidae_Group-1",341
"182","Barrow_S1IC5","Apusomonadidae_Group-1",205
"183","Carboy1","Apusomonadidae_Group-1",0
"184","B21","Apusomonadidae_Group-1",596
"185","B32","Apusomonadidae_Group-1",455
"186","Carboy8","Apusomonadidae_Group-1",0
"187","B31","Apusomonadidae_Group-1",463
"188","B42","Apusomonadidae_Group-1",461
"189","blankMQ121118","Apusomonadidae_Group-1",98
"190","Barrow_blank1","Apusomonadidae_Group-1",0
"191","B41","Apusomonadidae_Group-1",332
"192","Barrow_blank2","Apusomonadidae_Group-1",0
"193","blankdry2","Apusomonadidae_Group-1",0
"194","blankFiltSW1","Apusomonadidae_Group-1",0
"195","core_3","Apusomonadidae_Group-1",145
"196","B53","Apusomonadidae_Group-1",320
"197","dockslush_2","Apusomonadidae_Group-1",0
"198","B13","Apusomonadidae_Group-1",526
"199","dockslush_1","Apusomonadidae_Group-1",376
"200","mock_1","Apusomonadidae_Group-1",0
"201","core_6","Apusomonadidae_Group-1",0
"202","mock_2","Apusomonadidae_Group-1",0
"203","hero_11","Apusomonadidae_Group-1",622
"204","hero_12","Apusomonadidae_Group-1",0
"205","Carboy6","Apusomonadidae_Group-1",0
"206","Carboy5","Apusomonadidae_Group-1",813
"207","blankMQ191118","Apusomonadidae_Group-1",71
"208","Barrow_S1IC4","Apusomonadidae_Group-1",70
"209","iceslush","Apusomonadidae_Group-1",0
"210","Barrow_S2C2","Apusomonadidae_Group-1",228
"211","Carboy3","Apusomonadidae_Group-1",853
"212","B23","Apusomonadidae_Group-1",366
"213","B33","Apusomonadidae_Group-1",330
"214","CTDSW","Apusomonadidae_Group-1",751
"215","Carboy9","Apusomonadidae_Group-1",91
"216","B43","Apusomonadidae_Group-1",416
"217","core_1","Apusomonadidae_Group-1",82
"218","B51","Apusomonadidae_Group-1",0
"219","B12","Apusomonadidae_Group-1",0
"220","B11","Apusomonadidae_Group-1",0
"221","core_2","Apusomonadidae_Group-1",126
"222","B52","Apusomonadidae_Group-1",16
"223","dockslush_3","Apusomonadidae_Group-1",0
"224","B14","Apusomonadidae_Group-1",98
"225","blank771","Apusomonadidae_Group-1",147
"226","core_4","Apusomonadidae_Group-1",134
"227","mock_3","Apusomonadidae_Group-1",0
"228","hero_13","Apusomonadidae_Group-1",0
"229","Carboy4","Apusomonadidae_Group-1",0
"230","Carboy7","Apusomonadidae_Group-1",0
"231","Barrow_S2C3","Apusomonadidae_Group-1",1640
"232","Carboy2","Apusomonadidae_Group-1",0
"233","Barrow_S1IC6","Apusomonadidae_Group-1",730
"234","B22","Apusomonadidae_Group-1",0
"235","Barrow_S2C1D","Apusomonadidae_Group-1",1277
"236","Barrow_S1IC5","Apusomonadidae_Group-1",649
"237","Carboy1","Apusomonadidae_Group-1",0
"238","B21","Apusomonadidae_Group-1",0
"239","B32","Apusomonadidae_Group-1",0
"240","Carboy8","Apusomonadidae_Group-1",0
"241","B31","Apusomonadidae_Group-1",0
"242","B42","Apusomonadidae_Group-1",0
"243","blankMQ121118","Apusomonadidae_Group-1",63
"244","Barrow_blank1","Apusomonadidae_Group-1",0
"245","B41","Apusomonadidae_Group-1",0
"246","Barrow_blank2","Apusomonadidae_Group-1",1057
"247","blankdry2","Apusomonadidae_Group-1",0
"248","blankFiltSW1","Apusomonadidae_Group-1",0
"249","core_3","Apusomonadidae_Group-1",263
"250","B53","Apusomonadidae_Group-1",0
"251","dockslush_2","Apusomonadidae_Group-1",0
"252","B13","Apusomonadidae_Group-1",0
"253","dockslush_1","Apusomonadidae_Group-1",0
"254","mock_1","Apusomonadidae_Group-1",0
"255","core_6","Apusomonadidae_Group-1",11
"256","mock_2","Apusomonadidae_Group-1",0
"257","hero_11","Apusomonadidae_Group-1",0
"258","hero_12","Apusomonadidae_Group-1",0
"259","Carboy6","Apusomonadidae_Group-1",0
"260","Carboy5","Apusomonadidae_Group-1",0
"261","blankMQ191118","Apusomonadidae_Group-1",19
"262","Barrow_S1IC4","Apusomonadidae_Group-1",212
"263","iceslush","Apusomonadidae_Group-1",0
"264","Barrow_S2C2","Apusomonadidae_Group-1",3036
"265","Carboy3","Apusomonadidae_Group-1",0
"266","B23","Apusomonadidae_Group-1",0
"267","B33","Apusomonadidae_Group-1",0
"268","CTDSW","Apusomonadidae_Group-1",0
"269","Carboy9","Apusomonadidae_Group-1",0
"270","B43","Apusomonadidae_Group-1",0
"271","core_1","Bacillariophyta",476
"272","B51","Bacillariophyta",33
"273","B12","Bacillariophyta",116
"274","B11","Bacillariophyta",61
"275","core_2","Bacillariophyta",1223
"276","B52","Bacillariophyta",136
"277","dockslush_3","Bacillariophyta",74
"278","B14","Bacillariophyta",468
"279","blank771","Bacillariophyta",206
"280","core_4","Bacillariophyta",15
"281","mock_3","Bacillariophyta",0
"282","hero_13","Bacillariophyta",1051
"283","Carboy4","Bacillariophyta",44
"284","Carboy7","Bacillariophyta",119
"285","Barrow_S2C3","Bacillariophyta",9676
"286","Carboy2","Bacillariophyta",0
"287","Barrow_S1IC6","Bacillariophyta",3126
"288","B22","Bacillariophyta",41
"289","Barrow_S2C1D","Bacillariophyta",5506
"290","Barrow_S1IC5","Bacillariophyta",6901
"291","Carboy1","Bacillariophyta",10
"292","B21","Bacillariophyta",89
"293","B32","Bacillariophyta",30
"294","Carboy8","Bacillariophyta",16
"295","B31","Bacillariophyta",55
"296","B42","Bacillariophyta",54
"297","blankMQ121118","Bacillariophyta",226
"298","Barrow_blank1","Bacillariophyta",3741
"299","B41","Bacillariophyta",44
"300","Barrow_blank2","Bacillariophyta",3526
"301","blankdry2","Bacillariophyta",0
"302","blankFiltSW1","Bacillariophyta",0
"303","core_3","Bacillariophyta",993
"304","B53","Bacillariophyta",53
"305","dockslush_2","Bacillariophyta",0
"306","B13","Bacillariophyta",105
"307","dockslush_1","Bacillariophyta",33
"308","mock_1","Bacillariophyta",0
"309","core_6","Bacillariophyta",47
"310","mock_2","Bacillariophyta",0
"311","hero_11","Bacillariophyta",59
"312","hero_12","Bacillariophyta",404
"313","Carboy6","Bacillariophyta",15
"314","Carboy5","Bacillariophyta",31
"315","blankMQ191118","Bacillariophyta",153
"316","Barrow_S1IC4","Bacillariophyta",1238
"317","iceslush","Bacillariophyta",0
"318","Barrow_S2C2","Bacillariophyta",13462
"319","Carboy3","Bacillariophyta",95
"320","B23","Bacillariophyta",40
"321","B33","Bacillariophyta",24
"322","CTDSW","Bacillariophyta",46
"323","Carboy9","Bacillariophyta",116
"324","B43","Bacillariophyta",54
"325","core_1","Bacillariophyta",1880
"326","B51","Bacillariophyta",0
"327","B12","Bacillariophyta",0
"328","B11","Bacillariophyta",0
"329","core_2","Bacillariophyta",187
"330","B52","Bacillariophyta",0
"331","dockslush_3","Bacillariophyta",0
"332","B14","Bacillariophyta",0
"333","blank771","Bacillariophyta",44106
"334","core_4","Bacillariophyta",5085
"335","mock_3","Bacillariophyta",0
"336","hero_13","Bacillariophyta",0
"337","Carboy4","Bacillariophyta",0
"338","Carboy7","Bacillariophyta",0
"339","Barrow_S2C3","Bacillariophyta",0
"340","Carboy2","Bacillariophyta",0
"341","Barrow_S1IC6","Bacillariophyta",0
"342","B22","Bacillariophyta",0
"343","Barrow_S2C1D","Bacillariophyta",0
"344","Barrow_S1IC5","Bacillariophyta",5896
"345","Carboy1","Bacillariophyta",0
"346","B21","Bacillariophyta",0
"347","B32","Bacillariophyta",0
"348","Carboy8","Bacillariophyta",0
"349","B31","Bacillariophyta",0
"350","B42","Bacillariophyta",150
"351","blankMQ121118","Bacillariophyta",2296
"352","Barrow_blank1","Bacillariophyta",0
"353","B41","Bacillariophyta",0
"354","Barrow_blank2","Bacillariophyta",0
"355","blankdry2","Bacillariophyta",0
"356","blankFiltSW1","Bacillariophyta",0
"357","core_3","Bacillariophyta",0
"358","B53","Bacillariophyta",0
"359","dockslush_2","Bacillariophyta",0
"360","B13","Bacillariophyta",0
"361","dockslush_1","Bacillariophyta",0
"362","mock_1","Bacillariophyta",0
"363","core_6","Bacillariophyta",0
"364","mock_2","Bacillariophyta",0
"365","hero_11","Bacillariophyta",0
"366","hero_12","Bacillariophyta",0
"367","Carboy6","Bacillariophyta",0
"368","Carboy5","Bacillariophyta",0
"369","blankMQ191118","Bacillariophyta",1729
"370","Barrow_S1IC4","Bacillariophyta",2849
"371","iceslush","Bacillariophyta",21546
"372","Barrow_S2C2","Bacillariophyta",0
"373","Carboy3","Bacillariophyta",0
"374","B23","Bacillariophyta",18
"375","B33","Bacillariophyta",0
"376","CTDSW","Bacillariophyta",50
"377","Carboy9","Bacillariophyta",0
"378","B43","Bacillariophyta",0
"379","core_1","Bacillariophyta",46
"380","B51","Bacillariophyta",0
"381","B12","Bacillariophyta",0
"382","B11","Bacillariophyta",0
"383","core_2","Bacillariophyta",130
"384","B52","Bacillariophyta",13
"385","dockslush_3","Bacillariophyta",0
"386","B14","Bacillariophyta",80
"387","blank771","Bacillariophyta",17
"388","core_4","Bacillariophyta",0
"389","mock_3","Bacillariophyta",0
"390","hero_13","Bacillariophyta",0
"391","Carboy4","Bacillariophyta",0
"392","Carboy7","Bacillariophyta",0
"393","Barrow_S2C3","Bacillariophyta",1588
"394","Carboy2","Bacillariophyta",0
"395","Barrow_S1IC6","Bacillariophyta",660
"396","B22","Bacillariophyta",0
"397","Barrow_S2C1D","Bacillariophyta",1225
"398","Barrow_S1IC5","Bacillariophyta",483
"399","Carboy1","Bacillariophyta",0
"400","B21","Bacillariophyta",0
"401","B32","Bacillariophyta",0
"402","Carboy8","Bacillariophyta",0
"403","B31","Bacillariophyta",0
"404","B42","Bacillariophyta",0
"405","blankMQ121118","Bacillariophyta",10
"406","Barrow_blank1","Bacillariophyta",0
"407","B41","Bacillariophyta",0
"408","Barrow_blank2","Bacillariophyta",0
"409","blankdry2","Bacillariophyta",0
"410","blankFiltSW1","Bacillariophyta",0
"411","core_3","Bacillariophyta",214
"412","B53","Bacillariophyta",0
"413","dockslush_2","Bacillariophyta",0
"414","B13","Bacillariophyta",0
"415","dockslush_1","Bacillariophyta",0
"416","mock_1","Bacillariophyta",0
"417","core_6","Bacillariophyta",0
"418","mock_2","Bacillariophyta",0
"419","hero_11","Bacillariophyta",0
"420","hero_12","Bacillariophyta",0
"421","Carboy6","Bacillariophyta",0
"422","Carboy5","Bacillariophyta",0
"423","blankMQ191118","Bacillariophyta",6
"424","Barrow_S1IC4","Bacillariophyta",89
"425","iceslush","Bacillariophyta",0
"426","Barrow_S2C2","Bacillariophyta",3083
"427","Carboy3","Bacillariophyta",0
"428","B23","Bacillariophyta",0
"429","B33","Bacillariophyta",0
"430","CTDSW","Bacillariophyta",0
"431","Carboy9","Bacillariophyta",0
"432","B43","Bacillariophyta",0
"433","core_1","Bacillariophyta",367
"434","B51","Bacillariophyta",233
"435","B12","Bacillariophyta",686
"436","B11","Bacillariophyta",537
"437","core_2","Bacillariophyta",596
"438","B52","Bacillariophyta",306
"439","dockslush_3","Bacillariophyta",342
"440","B14","Bacillariophyta",603
"441","blank771","Bacillariophyta",420
"442","core_4","Bacillariophyta",1081
"443","mock_3","Bacillariophyta",0
"444","hero_13","Bacillariophyta",0
"445","Carboy4","Bacillariophyta",216
"446","Carboy7","Bacillariophyta",342
"447","Barrow_S2C3","Bacillariophyta",4493
"448","Carboy2","Bacillariophyta",0
"449","Barrow_S1IC6","Bacillariophyta",1732
"450","B22","Bacillariophyta",190
"451","Barrow_S2C1D","Bacillariophyta",3100
"452","Barrow_S1IC5","Bacillariophyta",2090
"453","Carboy1","Bacillariophyta",0
"454","B21","Bacillariophyta",356
"455","B32","Bacillariophyta",284
"456","Carboy8","Bacillariophyta",0
"457","B31","Bacillariophyta",290
"458","B42","Bacillariophyta",266
"459","blankMQ121118","Bacillariophyta",331
"460","Barrow_blank1","Bacillariophyta",2164
"461","B41","Bacillariophyta",201
"462","Barrow_blank2","Bacillariophyta",7188
"463","blankdry2","Bacillariophyta",0
"464","blankFiltSW1","Bacillariophyta",0
"465","core_3","Bacillariophyta",784
"466","B53","Bacillariophyta",223
"467","dockslush_2","Bacillariophyta",372
"468","B13","Bacillariophyta",584
"469","dockslush_1","Bacillariophyta",239
"470","mock_1","Bacillariophyta",0
"471","core_6","Bacillariophyta",91
"472","mock_2","Bacillariophyta",0
"473","hero_11","Bacillariophyta",444
"474","hero_12","Bacillariophyta",53
"475","Carboy6","Bacillariophyta",18
"476","Carboy5","Bacillariophyta",187
"477","blankMQ191118","Bacillariophyta",268
"478","Barrow_S1IC4","Bacillariophyta",592
"479","iceslush","Bacillariophyta",53
"480","Barrow_S2C2","Bacillariophyta",5251
"481","Carboy3","Bacillariophyta",351
"482","B23","Bacillariophyta",220
"483","B33","Bacillariophyta",151
"484","CTDSW","Bacillariophyta",151
"485","Carboy9","Bacillariophyta",274
"486","B43","Bacillariophyta",233
"487","core_1","Bacillariophyta",228
"488","B51","Bacillariophyta",0
"489","B12","Bacillariophyta",0
"490","B11","Bacillariophyta",0
"491","core_2","Bacillariophyta",638
"492","B52","Bacillariophyta",0
"493","dockslush_3","Bacillariophyta",0
"494","B14","Bacillariophyta",0
"495","blank771","Bacillariophyta",2535
"496","core_4","Bacillariophyta",681
"497","mock_3","Bacillariophyta",0
"498","hero_13","Bacillariophyta",1412
"499","Carboy4","Bacillariophyta",0
"500","Carboy7","Bacillariophyta",0
"501","Barrow_S2C3","Bacillariophyta",0
"502","Carboy2","Bacillariophyta",0
"503","Barrow_S1IC6","Bacillariophyta",0
"504","B22","Bacillariophyta",0
"505","Barrow_S2C1D","Bacillariophyta",0
"506","Barrow_S1IC5","Bacillariophyta",486
"507","Carboy1","Bacillariophyta",0
"508","B21","Bacillariophyta",0
"509","B32","Bacillariophyta",0
"510","Carboy8","Bacillariophyta",0
"511","B31","Bacillariophyta",0
"512","B42","Bacillariophyta",0
"513","blankMQ121118","Bacillariophyta",283
"514","Barrow_blank1","Bacillariophyta",0
"515","B41","Bacillariophyta",0
"516","Barrow_blank2","Bacillariophyta",0
"517","blankdry2","Bacillariophyta",0
"518","blankFiltSW1","Bacillariophyta",0
"519","core_3","Bacillariophyta",359
"520","B53","Bacillariophyta",0
"521","dockslush_2","Bacillariophyta",624
"522","B13","Bacillariophyta",0
"523","dockslush_1","Bacillariophyta",0
"524","mock_1","Bacillariophyta",0
"525","core_6","Bacillariophyta",218
"526","mock_2","Bacillariophyta",0
"527","hero_11","Bacillariophyta",0
"528","hero_12","Bacillariophyta",6015
"529","Carboy6","Bacillariophyta",0
"530","Carboy5","Bacillariophyta",0
"531","blankMQ191118","Bacillariophyta",269
"532","Barrow_S1IC4","Bacillariophyta",231
"533","iceslush","Bacillariophyta",837
"534","Barrow_S2C2","Bacillariophyta",0
"535","Carboy3","Bacillariophyta",0
"536","B23","Bacillariophyta",0
"537","B33","Bacillariophyta",0
"538","CTDSW","Bacillariophyta",0
"539","Carboy9","Bacillariophyta",0
"540","B43","Bacillariophyta",0
"541","core_1","Bacillariophyta",4990
"542","B51","Bacillariophyta",61
"543","B12","Bacillariophyta",215
"544","B11","Bacillariophyta",155
"545","core_2","Bacillariophyta",3442
"546","B52","Bacillariophyta",108
"547","dockslush_3","Bacillariophyta",612
"548","B14","Bacillariophyta",136
"549","blank771","Bacillariophyta",48861
"550","core_4","Bacillariophyta",23022
"551","mock_3","Bacillariophyta",0
"552","hero_13","Bacillariophyta",10550
"553","Carboy4","Bacillariophyta",21
"554","Carboy7","Bacillariophyta",184
"555","Barrow_S2C3","Bacillariophyta",0
"556","Carboy2","Bacillariophyta",20
"557","Barrow_S1IC6","Bacillariophyta",96
"558","B22","Bacillariophyta",669
"559","Barrow_S2C1D","Bacillariophyta",66
"560","Barrow_S1IC5","Bacillariophyta",9221
"561","Carboy1","Bacillariophyta",42
"562","B21","Bacillariophyta",181
"563","B32","Bacillariophyta",53
"564","Carboy8","Bacillariophyta",39
"565","B31","Bacillariophyta",84
"566","B42","Bacillariophyta",657
"567","blankMQ121118","Bacillariophyta",6828
"568","Barrow_blank1","Bacillariophyta",0
"569","B41","Bacillariophyta",53
"570","Barrow_blank2","Bacillariophyta",0
"571","blankdry2","Bacillariophyta",0
"572","blankFiltSW1","Bacillariophyta",27
"573","core_3","Bacillariophyta",7466
"574","B53","Bacillariophyta",73
"575","dockslush_2","Bacillariophyta",1557
"576","B13","Bacillariophyta",206
"577","dockslush_1","Bacillariophyta",96
"578","mock_1","Bacillariophyta",0
"579","core_6","Bacillariophyta",4974
"580","mock_2","Bacillariophyta",0
"581","hero_11","Bacillariophyta",218
"582","hero_12","Bacillariophyta",26636
"583","Carboy6","Bacillariophyta",29
"584","Carboy5","Bacillariophyta",20
"585","blankMQ191118","Bacillariophyta",5766
"586","Barrow_S1IC4","Bacillariophyta",5404
"587","iceslush","Bacillariophyta",22170
"588","Barrow_S2C2","Bacillariophyta",0
"589","Carboy3","Bacillariophyta",41
"590","B23","Bacillariophyta",144
"591","B33","Bacillariophyta",59
"592","CTDSW","Bacillariophyta",640
"593","Carboy9","Bacillariophyta",216
"594","B43","Bacillariophyta",61
"595","core_1","Bacillariophyta",24
"596","B51","Bacillariophyta",0
"597","B12","Bacillariophyta",63
"598","B11","Bacillariophyta",71
"599","core_2","Bacillariophyta",25
"600","B52","Bacillariophyta",0
"601","dockslush_3","Bacillariophyta",0
"602","B14","Bacillariophyta",33
"603","blank771","Bacillariophyta",0
"604","core_4","Bacillariophyta",0
"605","mock_3","Bacillariophyta",0
"606","hero_13","Bacillariophyta",0
"607","Carboy4","Bacillariophyta",0
"608","Carboy7","Bacillariophyta",76
"609","Barrow_S2C3","Bacillariophyta",126
"610","Carboy2","Bacillariophyta",29
"611","Barrow_S1IC6","Bacillariophyta",53
"612","B22","Bacillariophyta",0
"613","Barrow_S2C1D","Bacillariophyta",99
"614","Barrow_S1IC5","Bacillariophyta",116
"615","Carboy1","Bacillariophyta",24
"616","B21","Bacillariophyta",41
"617","B32","Bacillariophyta",0
"618","Carboy8","Bacillariophyta",30
"619","B31","Bacillariophyta",0
"620","B42","Bacillariophyta",27
"621","blankMQ121118","Bacillariophyta",0
"622","Barrow_blank1","Bacillariophyta",0
"623","B41","Bacillariophyta",0
"624","Barrow_blank2","Bacillariophyta",0
"625","blankdry2","Bacillariophyta",0
"626","blankFiltSW1","Bacillariophyta",25
"627","core_3","Bacillariophyta",44
"628","B53","Bacillariophyta",0
"629","dockslush_2","Bacillariophyta",0
"630","B13","Bacillariophyta",62
"631","dockslush_1","Bacillariophyta",0
"632","mock_1","Bacillariophyta",0
"633","core_6","Bacillariophyta",58
"634","mock_2","Bacillariophyta",0
"635","hero_11","Bacillariophyta",0
"636","hero_12","Bacillariophyta",0
"637","Carboy6","Bacillariophyta",55
"638","Carboy5","Bacillariophyta",21
"639","blankMQ191118","Bacillariophyta",0
"640","Barrow_S1IC4","Bacillariophyta",54
"641","iceslush","Bacillariophyta",0
"642","Barrow_S2C2","Bacillariophyta",280
"643","Carboy3","Bacillariophyta",38
"644","B23","Bacillariophyta",0
"645","B33","Bacillariophyta",29
"646","CTDSW","Bacillariophyta",0
"647","Carboy9","Bacillariophyta",59
"648","B43","Bacillariophyta",34
"649","core_1","Bacillariophyta",106
"650","B51","Bacillariophyta",0
"651","B12","Bacillariophyta",0
"652","B11","Bacillariophyta",0
"653","core_2","Bacillariophyta",269
"654","B52","Bacillariophyta",0
"655","dockslush_3","Bacillariophyta",0
"656","B14","Bacillariophyta",113
"657","blank771","Bacillariophyta",66
"658","core_4","Bacillariophyta",0
"659","mock_3","Bacillariophyta",0
"660","hero_13","Bacillariophyta",0
"661","Carboy4","Bacillariophyta",0
"662","Carboy7","Bacillariophyta",0
"663","Barrow_S2C3","Bacillariophyta",3630
"664","Carboy2","Bacillariophyta",0
"665","Barrow_S1IC6","Bacillariophyta",1209
"666","B22","Bacillariophyta",0
"667","Barrow_S2C1D","Bacillariophyta",2174
"668","Barrow_S1IC5","Bacillariophyta",1681
"669","Carboy1","Bacillariophyta",0
"670","B21","Bacillariophyta",0
"671","B32","Bacillariophyta",0
"672","Carboy8","Bacillariophyta",0
"673","B31","Bacillariophyta",0
"674","B42","Bacillariophyta",0
"675","blankMQ121118","Bacillariophyta",0
"676","Barrow_blank1","Bacillariophyta",0
"677","B41","Bacillariophyta",0
"678","Barrow_blank2","Bacillariophyta",5223
"679","blankdry2","Bacillariophyta",0
"680","blankFiltSW1","Bacillariophyta",0
"681","core_3","Bacillariophyta",333
"682","B53","Bacillariophyta",0
"683","dockslush_2","Bacillariophyta",0
"684","B13","Bacillariophyta",0
"685","dockslush_1","Bacillariophyta",0
"686","mock_1","Bacillariophyta",0
"687","core_6","Bacillariophyta",0
"688","mock_2","Bacillariophyta",0
"689","hero_11","Bacillariophyta",0
"690","hero_12","Bacillariophyta",0
"691","Carboy6","Bacillariophyta",0
"692","Carboy5","Bacillariophyta",0
