SampID,CultureID_short,Sample_type,Site,Ice_or_no,Temp,Exp_group,Withinexp,Melt_hyp,FigureID,Figure_SampID,Figure_SampID_metab,FigureID_separated,FigureID_rep,FigureID_rep_amp,Average,Average_YN,Average_YN_2,Average_2
StaB3_A,StaB3,SW_Station B3,Seawater,Field,-0.3,Field,,Ambient SW salinity,SW_2018-11-15,SW3_A,SW3_A,SW_2018-11-15,SW_2018-11-15_A,SW_2018-11-15_A,SW_2018-11-15,Y,Y,SW_2018-11-15
StaB3_B,StaB3,SW_Station B3,Seawater,Field,-0.3,Field,,Ambient SW salinity,SW_2018-11-15,SW3_B,SW3_B,SW_2018-11-15,SW_2018-11-15_B,SW_2018-11-15_B,SW_2018-11-15,Y,Y,SW_2018-11-15
StaB3_C,StaB3,SW_Station B3,Seawater,Field,-0.3,Field,,Ambient SW salinity,SW_2018-11-15,SW3_C,SW3_C,SW_2018-11-15,SW_2018-11-15_C,SW_2018-11-15_C,SW_2018-11-15,Y,Y,SW_2018-11-15
StaB4_A,StaB4,SW_Station B4,Seawater,Field,-0.1,Field,,Ambient SW salinity,SW_2018-11-17,SW4_A,SW4_A,SW_2018-11-17,SW_2018-11-17_A,SW_2018-11-17_A,SW_2018-11-17,Y,Y,SW_2018-11-17
StaB4_B,StaB4,SW_Station B4,Seawater,Field,-0.1,Field,,Ambient SW salinity,SW_2018-11-17,SW4_B,SW4_B,SW_2018-11-17,SW_2018-11-17_B,SW_2018-11-17_B,SW_2018-11-17,Y,Y,SW_2018-11-17
StaB4_C,StaB4,SW_Station B4,Seawater,Field,-0.1,Field,,Ambient SW salinity,SW_2018-11-17,SW4_C,SW4_C,SW_2018-11-17,SW_2018-11-17_C,SW_2018-11-17_C,SW_2018-11-17,Y,Y,SW_2018-11-17
StaB5_A,StaB5,SW_Station B5,Seawater,Field,0,Field,,Ambient SW salinity,SW_2018-11-19,SW5_A,SW5_A,SW_2018-11-19,SW_2018-11-19_A,SW_2018-11-19_A,SW_2018-11-19,Y,Y,SW_2018-11-19
StaB5_B,StaB5,SW_Station B5,Seawater,Field,0,Field,,Ambient SW salinity,SW_2018-11-19,SW5_B,SW5_B,SW_2018-11-19,SW_2018-11-19_B,SW_2018-11-19_B,SW_2018-11-19,Y,Y,SW_2018-11-19
StaB5_C,StaB5,SW_Station B5,Seawater,Field,0,Field,,Ambient SW salinity,SW_2018-11-19,SW5_C,SW5_C,SW_2018-11-19,SW_2018-11-19_C,SW_2018-11-19_C,SW_2018-11-19,Y,Y,SW_2018-11-19
Dockslush_A,Dockslush,Dockslush,Seawater,Field,,Field,,Ambient SW salinity,,,,,,,,,,
Dockslush_B,Dockslush,Dockslush,Seawater,Field,,Field,,Ambient SW salinity,,,,,,,,,,
Dockslush_C,Dockslush,Dockslush,Seawater,Field,,Field,,Ambient SW salinity,,,,,,,,,,
