Sample.Name,Notes,Column,uLonColumn,Fraction,Sample.Group,Treatment.Group,Bio.Normalization,Vol.Filtered,Dilution.Factor,injec_vol
200821_Smp_Ev32Core_A,,HILIC,2,HILIC,Ev32Core,1,1,0.25,1,1
200821_Smp_Ev51Slush_A,,HILIC,2,HILIC,Ev51Slush,1,1,0.2,1,1
200821_Blk_FilterBlk50_A,,HILIC,2,HILIC,FilterBlk50,1,1,0.44,1,1
200821_Blk_Blk_17,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Smp_Hero1_A,,HILIC,2,HILIC,Hero1,1,1,0.725,1,1
200821_Smp_StaB1_B,,HILIC,2,HILIC,StaB1,1,1,3.3,1,1
200821_Smp_StaB3_B,,HILIC,2,HILIC,StaB3,1,1,2.04,1,1
200821_Blk_Blk_18,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Smp_StaB5_A,,HILIC,2,HILIC,StaB5,1,1,1.04,1,1
200821_Blk_FilterBlkFSWB2_B,,HILIC,2,HILIC,FilterBlkFSWB2,1,1,1.055,1,1
200821_Smp_50ppt-3C_A,,HILIC,2,HILIC,50ppt-3C,1,1,0.44,1,1
200821_Blk_Blk_19,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Poo_TruePooAnt18_Full3,,HILIC,2,HILIC,TruePooAnt18,1,1,,1,1
200821_Poo_TruePooAnt18_Half3,,HILIC,2,HILIC,TruePooAnt18,1,0.5,,2,0.5
200821_Smp_35ppt0C_C,,HILIC,2,HILIC,35ppt0C,1,1,0.78,1,1
200821_Blk_Blk_20,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Smp_StaB4_C,,HILIC,2,HILIC,StaB4,1,1,1.64,1,1
200821_Blk_FilterBlkFSWB3_A,,HILIC,2,HILIC,FilterBlkFSWB3,1,1,0.775,1,1
200821_Smp_StaB1_C,,HILIC,2,HILIC,StaB1,1,1,3,1,1
200821_Blk_Blk_21,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Smp_20ppt3C_A,,HILIC,2,HILIC,20ppt3C,1,1,0.6,1,1
200821_Smp_StaB4_A,,HILIC,2,HILIC,StaB4,1,1,1.325,1,1
200821_Blk_FilterBlkFSWB3_B,,HILIC,2,HILIC,FilterBlkFSWB3,1,1,0.91,1,1
200821_Blk_Blk_22,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Blk_FilterBlkFSWB3_C,,HILIC,2,HILIC,FilterBlkFSWB3,1,1,0.895,1,1
200821_Blk_FilterBlkFSWB5_A,,HILIC,2,HILIC,FilterBlkFSWB5,1,1,0.975,1,1
200821_Blk_FilterBlkFSWB5_B,,HILIC,2,HILIC,FilterBlkFSWB5,1,1,1.15,1,1
200821_Blk_Blk_23,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Blk_FilterBlkFSWB5_C,,HILIC,2,HILIC,FilterBlkFSWB5,1,1,1.42,1,1
200821_Smp_StaB1_E,,HILIC,2,HILIC,StaB1,1,1,2.54,1,1
200821_Smp_StaB2_A,,HILIC,2,HILIC,StaB2,1,1,2.25,1,1
200821_Blk_Blk_24,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Poo_TruePooAnt18_Full4,,HILIC,2,HILIC,TruePooAnt18,1,1,,1,1
200821_Poo_TruePooAnt18_Half4,,HILIC,2,HILIC,TruePooAnt18,1,0.5,,2,0.5
200821_Blk_Blk_25,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Poo_TruePooAnt18_DDApos20,,HILIC,2,HILIC,TruePooAnt18,1,1,,1,1
200821_Poo_TruePooAnt18_DDAneg20,,HILIC,2,HILIC,TruePooAnt18,1,1,,1,1
200821_Poo_TruePooAnt18_DDApos35,,HILIC,2,HILIC,TruePooAnt18,1,1,,1,1
200821_Blk_Blk_26,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Poo_TruePooAnt18_DDAneg35,,HILIC,2,HILIC,TruePooAnt18,1,1,,1,1
200821_Poo_TruePooAnt18_DDApos50,,HILIC,2,HILIC,TruePooAnt18,1,1,,1,1
200821_Poo_TruePooAnt18_DDAneg50,,HILIC,2,HILIC,TruePooAnt18,1,1,,1,1
200821_Blk_Blk_27,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Std_H2OinMatrix_2,,HILIC,2,HILIC,H2OinMatrix,1,1,,1,1
200821_Std_4uMStdsMix1InH2O_2,,HILIC,2,HILIC,4uMStdsMix1InH2O,1,1,,1,1
200821_Std_4uMStdsMix2InH2O_2,,HILIC,2,HILIC,4uMStdsMix2InH2O,1,1,,1,1
200821_Std_4uMStdsMix1InMatrix_2,,HILIC,2,HILIC,4uMStdsMix1InMatrix,1,1,,1,1
200821_Std_4uMStdsMix2InMatrix_2,,HILIC,2,HILIC,4uMStdsMix2InMatrix,1,1,,1,1
200821_Blk_Blk_28,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Blk_Blk_29,,HILIC,2,HILIC,Blk,1,1,,1,1
200821_Poo_TruePooAnt18_Full3a,,HILIC,2,HILIC,TruePooAnt18,1,1,,1,1
200821_Poo_TruePooAnt18_Half3a,,HILIC,2,HILIC,TruePooAnt18,1,0.5,,2,0.5
