primary_key,MassFeature,compound_theoretical,massbank_match2,massbank_match3,Compound_KEGG,KEGGMatchesNames,mz_experimental,mz_theoretical,mz_massbank2,MH_mass_experimental,MH_mass_MoNA,mz_KEGG,z_experimental,z_theoretical,z_massbank2,z_massbank3,z_KEGG,rt_sec_experimental,rt_sec_theoretical,column_experimental,column_theoretical,MS2_experimental,MS2_theoretical,MS2_massbank,ppm_mass_error1,massbank_ppm,KEGGppm,mz_similarity_score1,mz_similarity_score2,mz_similarity_score3,mz_similarity_scoreKEGG,rt_similarity_score1,MS2_cosine_similarity1,MS2_cosine_similarity2,total_similarity_score1,confidence_rank,confidence_source,new_confidence_rank,Literature notes
36,MF_187_90.05547_10.469_HILICPos_Sarcosine,Sarcosine,NA,"ID: KO002133; 3-Amino-1,2-propanediol; 3-Aminopropane-1,2-diol",cpd:C00041; cpd:C00097; cpd:C00099; cpd:C00133; cpd:C00213; cpd:C00736; cpd:C00793; cpd:C01401; cpd:C01537; cpd:C01962; cpd:C02116; cpd:C05688; cpd:C11488,beta-Alanine; L-Alanine; Sarcosine; Alanine; D-Alanine; beta-Alanine; L-Alanine; Sarcosine; Alanine; D-Alanine; beta-Alanine; L-Alanine; Sarcosine; Alanine; D-Alanine;,90.05547,90.055504,NA,90.05547,90.05605193,90.0555035,1,1,NA,1,1,628.14,636,HILIC,HILIC,"50.93905, 6174; 51.28779, 6843; 53.55861, 8132; 54.5005, 8210; 61.25231, 7784; 66.46437, 6555; 72.07961, 9362; 72.08151, 83344; 74.74416, 7942; 77.00477, 6915; 80.8557, 7428; 90.05556, 52560; 90.09193, 41628","90.05559, 100; 72.0815, 59.6; 90.09197, 50.7; 85.39928, 3.4; 70.06591, 3.4; 66.56978, 2.7; 101.49133, 2.7; 75.67699, 2.6; 68.24016, 2.6; 61.40305, 2.6; 102.77991, 2.6; 94.1533, 2.5; 107.06115, 2.5; 55.6089, 2.5; 67.15453, 2.4; 70.11346, 2.4; 50.26355, 2.4; 59.84064, 2.4; 54.41768, 2.4; 70.60389, 2.4; 77.21389, 2.3; 68.1879, 2.3; 65.03933, 2.3",NA,0.377544942,NA,0.371992812,0.999998555,NA,0.999576789,0.999998597,0.966260319,0.88884057,NA,95.16998146,1; 3; 3.5,Ingalls_Standards; MassBank; KEGG,1,
37,MF_188_90.0555_10.998_HILICPos_Alanine,Alanine,NA,"ID: KO002133; 3-Amino-1,2-propanediol; 3-Aminopropane-1,2-diol",cpd:C00041; cpd:C00097; cpd:C00099; cpd:C00133; cpd:C00213; cpd:C00736; cpd:C00793; cpd:C01401; cpd:C01537; cpd:C01962; cpd:C02116; cpd:C05688; cpd:C11488,beta-Alanine; L-Alanine; Sarcosine; Alanine; D-Alanine; beta-Alanine; L-Alanine; Sarcosine; Alanine; D-Alanine; beta-Alanine; L-Alanine; Sarcosine; Alanine; D-Alanine;,90.0555,90.055504,NA,90.0555,90.05605193,90.0555035,1,1,NA,1,1,659.88,678,HILIC,HILIC,"59.1392, 6618; 59.48786, 7432; 62.07804, 6954; 69.29698, 6660; 70.34238, 7003; 72.08149, 75607; 72.29058, 6271; 90.05538, 10663; 90.0919, 42234","72.08152, 100; 90.09258, 78.5; 90.05553, 32.5; 92.27773, 2.8; 70.06583, 2.7; 57.96981, 2.5; 102.23164, 2.5; 58.38361, 2.4; 75.58733, 2.4; 65.66813, 2.3; 95.29, 2.3; 107.60126, 2.2; 104.23149, 2.2; 53.31612, 2.2; 107.01479, 2.2; 52.1347, 2.1; 94.24454, 2; 55.01447, 1.9",NA,0.044417052,NA,0.038864921,0.99999998,NA,0.999619292,0.999999985,0.8332613,0.848250549,NA,89.38372765,1; 3; 3.5,Ingalls_Standards; MassBank; KEGG,1,
38,MF_189_90.05552_11.619_HILICPos_beta-Alanine,Alanine,NA,"ID: KO002133; 3-Amino-1,2-propanediol; 3-Aminopropane-1,2-diol",cpd:C00041; cpd:C00097; cpd:C00099; cpd:C00133; cpd:C00213; cpd:C00736; cpd:C00793; cpd:C01401; cpd:C01537; cpd:C01962; cpd:C02116; cpd:C05688; cpd:C11488,beta-Alanine; L-Alanine; Sarcosine; Alanine; D-Alanine; beta-Alanine; L-Alanine; Sarcosine; Alanine; D-Alanine; beta-Alanine; L-Alanine; Sarcosine; Alanine; D-Alanine;,90.05552,90.055504,NA,90.05552,90.05605193,90.0555035,1,1,NA,1,1,697.14,678,HILIC,HILIC,"51.67743, 8210; 52.30656, 7106; 55.05507, 7166; 56.78935, 7084; 58.62804, 7246; 58.62983, 5946; 61.02914, 22024; 62.15245, 6966; 63.50466, 6939; 66.02214, 6849; 68.28561, 6958; 72.04514, 137742; 72.08154, 80646; 73.02905, 10156; 90.0556, 333679; 90.092, 54278","72.08152, 100; 90.09258, 78.5; 90.05553, 32.5; 92.27773, 2.8; 70.06583, 2.7; 57.96981, 2.5; 102.23164, 2.5; 58.38361, 2.4; 75.58733, 2.4; 65.66813, 2.3; 95.29, 2.3; 107.60126, 2.2; 104.23149, 2.2; 53.31612, 2.2; 107.01479, 2.2; 52.1347, 2.1; 94.24454, 2; 55.01447, 1.9",NA,0.177668208,NA,0.18322034,0.99999968,NA,0.999646378,0.99999966,0.815852255,0.684106691,NA,83.3319542,1; 3; 3.5,Ingalls_Standards; MassBank; KEGG,1,
49,MF_2455_232.15424_4.767_HILICPos_Unknown,Butyryl-L-carnitine,NA,ID: AU205902; Metolachlor-Morpholinone; 4-(2-ethyl-6-methylphenyl)-5-methylmorpholin-3-one,NA,NA,232.15424,232.154884,NA,232.15424,232.1343022,NA,1,1,NA,1,NA,286.02,268.2,HILIC,HILIC,NA,"232.15439, 100; 85.02904, 24.2; 173.08098, 19.9; 60.08157, 5.9; 218.11115, 0.9; 144.102, 0.8",NA,2.77401013,NA,NA,0.999481714,NA,0.60841842,NA,0.838267514,NA,NA,91.88746143,1,Ingalls_Standards,1,
61,MF_2800_255.10738_10.378_HILICPos_Glucosylglycerol,Glucosylglycerol,NA,ID: BML01220; 5-Ethyl-2'-deoxyuridine,cpd:C03492; cpd:C05401; cpd:C11546; cpd:C18910,3-beta-D-Galactosyl-sn-glycerol;,255.10738,255.107995,NA,255.10738,255.098645,255.1079926,1,1,NA,1,1,622.68,606,HILIC,HILIC,"50.52319, 6258; 60.39215, 6264; 64.67469, 7147; 65.97637, 7984; 72.60596, 7260; 75.04456, 8239; 85.02905, 10660; 91.03944, 11228; 93.05511, 25913; 103.00659, 7312; 111.29817, 6957; 115.22556, 6911; 126.022, 8702; 130.04733, 8097; 135.98329, 6925; 137.29076, 6248; 139.82002, 7087; 145.04985, 14575; 157.40796, 8162; 163.06024, 12280; 217.71654, 99978; 223.20999, 7459; 253.00391, 13589; 255.01993, 36207; 255.03259, 9850; 255.1465, 13258",NA,NA,2.410743732,NA,2.401335974,0.99952733,NA,0.909031966,0.999531012,0.856785229,NA,NA,92.81562796,1; 3; 3.5,Ingalls_Standards; MassBank; KEGG,1,
62,MF_2841_258.11002_11.164_HILICPos_Glycerophosphocholine,Glycerophosphocholine,NA,ID: CCMSLIB00000078741; NCGC00160238-01!RIBALININE,NA,NA,258.11002,258.110652,NA,258.11002,258.1135668,NA,1,1,NA,1,NA,669.84,651.6,HILIC,HILIC,"51.61501, 56314; 52.19964, 65603; 53.63482, 69418; 55.87191, 60998; 58.06613, 108162; 58.34944, 78561; 60.08158, 517589; 67.85902, 75651; 68.97816, 63145; 74.22695, 81975; 76.39202, 65967; 79.85191, 70772; 86.09708, 1144161; 87.95136, 82964; 103.83178, 91628; 104.05196, 106199; 104.10749, 100221200; 104.16486, 73635; 104.18314, 68016; 104.28028, 57124; 104.38425, 109547; 113.8764, 75293; 125.00018, 1001176; 130.87968, 66225; 154.0303, 72975; 184.07361, 2152416; 199.03703, 674808; 222.27135, 364206; 240.09958, 384045; 257.03552, 86331; 257.80801, 73526; 258.11035, 97996568","258.11038, 100; 104.1075, 97.5; 217.48592, 1.9; 184.07372, 1.7; 86.09704, 1; 125.0001, 0.7; 217.47127, 0.6",NA,2.448562255,NA,NA,0.999500845,NA,0.984398215,NA,0.831243921,0.992680468,NA,94.11417444,1; 3,Ingalls_Standards; MassBank,1,
64,MF_2988_268.1041_4.823_HILICPos_Adenosine,Adenosine,"ID: EQ330403; Adenosine; (2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol ID:ID: EQ330403",ID: AU322101; Acetochlor; 2-chloro-N-(ethoxymethyl)-N-(2-ethyl-6-methylphenyl)acetamide,cpd:C00212; cpd:C00330; cpd:C07195; cpd:C07210,Adenosine Deoxyguanosine; Zidovudine;,268.1041,268.10458,268.1040305,268.1041,268.11098,268.104579,1,1,1,1,1,289.38,267.6,HILIC,HILIC,"57.03432, 19214; 61.78866, 8825; 63.39469, 10740; 66.13372, 8161; 74.09715, 10188; 77.95988, 8356; 80.43951, 7781; 85.02904, 19172; 89.41084, 8749; 100.75275, 8236; 100.87292, 8157; 103.20273, 8152; 104.30255, 8332; 104.59654, 8275; 113.2049, 10266; 115.03928, 27407; 133.04959, 55244; 136.06194, 8469151; 155.94511, 7918; 181.37267, 8297; 217.32568, 13642; 217.34666, 87331; 217.36163, 50616; 217.37193, 13068; 250.09328, 12237","136.06189, 100; 268.10405, 63.1; 217.28777, 1.1","136.0618, 100; 85.0283, 0.5",1.79034614,0.259242652,1.786616259,0.999712041,0.999993962,0.942549056,0.99971324,0.768328425,0.291672849,0.948905265,68.65711054,1; 2; 3; 3.5,Ingalls_Standards; MassBank; MassBank; KEGG,1,
69,MF_3219_284.09909_9.419_HILICPos_Guanosine,Guanosine,ID: PR100140; Guanosine; GR; Guanidine; Guanine Riboside; Vernine; 9-(beta-D-Ribofuranosyl)guanine; Guanine-9-beta-D-ribofuranoside ID:ID: PR100140,"ID: EQ358501; Letrozole; 4-[(4-cyanophenyl)-(1,2,4-triazol-1-yl)methyl]benzonitrile",cpd:C00387; cpd:C08432,Guanosine,284.09909,284.099495,284.0989451,284.09909,284.0941688,284.0994936,1,1,1,1,1,565.14,543.6,HILIC,HILIC,"57.57338, 7378; 58.08969, 6835; 67.69431, 6552; 72.4833, 6738; 106.00325, 7358; 120.36362, 6946; 136.06204, 17231; 139.64818, 8672; 152.05688, 642511; 154.14842, 7291; 154.20375, 6278; 173.30846, 6730; 176.20802, 8546; 180.66528, 6998; 217.05013, 9087; 217.06155, 89855; 217.07651, 29816; 217.10815, 8584; 273.36514, 8243; 284.09952, 29672","152.05688, 100; 216.9888, 2.3; 284.09933, 1.9; 261.02841, 0.9; 216.97599, 0.8; 243.01826, 0.7; 217.40969, 0.6","152.0615, 100; 284.0995, 31.9; 284.0132, 3.4; 283.9937, 3.4",1.425556916,0.509977254,1.420629072,0.99979499,0.999973761,0.970180296,0.999796405,0.772779132,0.673879039,0.630354821,81.54843869,1; 2; 3; 3.5,Ingalls_Standards; MassBank; MassBank; KEGG,1,
75,MF_366_104.10726_15.038_HILICPos_Choline,Choline,NA,NA,NA,NA,104.10726,104.107539,NA,NA,NA,NA,1,1,NA,NA,NA,902.28,915.9,HILIC,HILIC,"50.68452, 9132; 51.26101, 9173; 57.0587, 8224; 58.06593, 267664; 58.64168, 9085; 59.07376, 71892; 60.05778, 9151; 60.08156, 3453830; 85.99092, 10540; 86.09706, 14976; 103.83108, 9508; 103.83429, 13468; 104.02787, 16938; 104.05273, 15037; 104.10742, 21395890; 104.16397, 18068; 104.18527, 14706; 104.38145, 21694","104.10747, 100; 60.08158, 14.7; 58.06621, 1.1",NA,2.679921192,NA,NA,0.999902703,NA,NA,NA,0.902074652,0.999979061,NA,96.73188054,1,Ingalls_Standards,1,
86,MF_450_112.0509_7.4_HILICPos_Cytosine,Cytosine,ID: ML003201; cytosine; 6-amino-1H-pyrimidin-2-one ID:ID: ML003201,ID: KO002547; Creatinine; 1-Methylglycocyamidine,cpd:C00380,Cytosine Cytosine,112.0509,112.051087,112.0505384,112.0509,112.0516352,112.0510868,1,1,1,1,1,444,444.6,HILIC,HILIC,"52.32624, 6466; 59.5843, 7413; 69.04549, 62889; 79.54554, 6692; 88.33737, 6797; 93.52007, 7660; 94.04056, 17898; 95.02458, 173527; 95.06097, 253011; 109.40092, 7391; 112.05099, 1898502; 112.07596, 13860; 112.0874, 19730; 112.09541, 32518; 112.09957, 8195","112.05093, 100; 95.02457, 7.9; 69.04547, 2.8; 94.04057, 0.9","112.0508, 100; 95.0242, 7.3; 94.0403, 1.3",1.668881624,3.22729373,1.667096726,0.99995629,0.999836552,0.999324499,0.999956383,0.99980002,0.954458973,0.952104721,98.47384276,1; 2; 3; 3.5,Ingalls_Standards; MassBank; MassBank; KEGG,1,
87,MF_451_112.0509_7.399_HILICPos_Unknown,Cytosine,ID: ML003201; cytosine; 6-amino-1H-pyrimidin-2-one ID:ID: ML003201,ID: KO002547; Creatinine; 1-Methylglycocyamidine,cpd:C00380,Cytosine Cytosine,112.0509,112.051087,112.0505384,112.0509,112.0516352,112.0510868,1,1,1,1,1,443.94,444.6,HILIC,HILIC,"51.07809, 7291; 65.44597, 6764; 66.09074, 7992; 69.04549, 42691; 86.93777, 6062; 87.71666, 6581; 94.0405, 10320; 95.02458, 113418; 95.06095, 203877; 100.63726, 7240; 112.05098, 1299009; 112.06254, 26665; 112.07627, 13913; 112.08782, 13750; 112.09551, 23997","112.05093, 100; 95.02457, 7.9; 69.04547, 2.8; 94.04057, 0.9","112.0508, 100; 95.0242, 7.3; 94.0403, 1.3",1.668881624,3.22729373,1.667096726,0.99995629,0.999836552,0.999324499,0.999956383,0.999758029,1.065729027,1.063719425,102.1814449,1; 2; 3; 3.5,Ingalls_Standards; MassBank; MassBank; KEGG,1,
