Date collected,Date processed,Sample location/ID,Slush or SW,Sample type,Replicate,Alternate ID,Type,SampID,Processing Time start,Processing Time finish,Filter type/vessel,Volume_filtered_L,LN2 snap? (Y/N),Storage temperature,Notes,PO4,SIO4,NO3,NO2,NH4,DOC,pEPS_ave,pEPS_stdev,dEPS_ave,dEPS_stdev,Chl_ave,Chl_stdev,PC_ave,PC_stdev,PN_ave,PN_stdev,C:N_ave,C:N_stdev,HPLC_match,Amplicon_match,TempC,Salinity,Specific_growth_rate,PAR,umolCFiltered,Dilution_Factor,RP_stdVolpersmpVol
121118,121118,Station B2 blank,Filtered SW,Metabolomics Filtrate,1,,Blk,FilterBlkFSWB2_A,4:46pm,5:11pm,0.2 Teflon in foil,0.96,Y,-80,re-filtered initial filtrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,1,1
121118,121118,Station B2 blank,Filtered SW,Metabolomics Filtrate,2,,Blk,FilterBlkFSWB2_B,4:46pm,5:11pm,0.2 Teflon in foil,1.055,Y,-80,re-filtered initial filtrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,1,1
121118,121118,Station B2 blank,Filtered SW,Metabolomics Filtrate,3,,Blk,FilterBlkFSWB2_C,4:46pm,5:11pm,0.2 Teflon in foil,0.81,Y,-80,re-filtered initial filtrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,1,1
151118,151118,Station B3 Blank,Filtered SW,Metabolomics Filtrate,1,,Blk,FilterBlkFSWB3_A,4:16pm,4:30pm,0.2 Teflon in foil,0.775,Y,-80,re-filtered initial filtrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,1,1
151118,151118,Station B3 Blank,Filtered SW,Metabolomics Filtrate,2,,Blk,FilterBlkFSWB3_B,4:16pm,4:30pm,0.2 Teflon in foil,0.91,Y,-80,re-filtered initial filtrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,1,1
151118,151118,Station B3 Blank,Filtered SW,Metabolomics Filtrate,3,,Blk,FilterBlkFSWB3_C,4:16pm,4:30pm,0.2 Teflon in foil,0.895,Y,-80,re-filtered initial filtrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,1,1
191118,191118,Station B5 blank,Filtered SW,Metabolomics Filtrate,1,,Blk,FilterBlkFSWB5_A,5:29 PM,5:50 PM,0.2 Teflon in foil,0.975,Y,-80,re-filtered initial filtrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,1,1
191118,191118,Station B5 blank,Filtered SW,Metabolomics Filtrate,2,,Blk,FilterBlkFSWB5_B,5:29 PM,5:50 PM,0.2 Teflon in foil,1.15,Y,-80,re-filtered initial filtrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,1,1
191118,191118,Station B5 blank,Filtered SW,Metabolomics Filtrate,3,,Blk,FilterBlkFSWB5_C,5:29 PM,5:50 PM,0.2 Teflon in foil,1.42,Y,-80,re-filtered initial filtrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,1,1
191118,221118,Core#2 Event #32,Sea ice,Metabolomics,1,,Smp,Ev32Core_B,,,0.2 Teflon in foil,0.5,,-80,Final psu ~12,,,,,,,,,,,,,,,,,,,,Y,,,,,,1,1
171118,171118,CTD water 0.75m depth Event # 15,SW,Metabolomics,1,,Smp,Ev15SW_A,,,0.2 Teflon in foil,3.6,,-80,,,,,,,,,,,,,,,,,,,,,Y,,,,,,1,1
191118,221118,Core#1 Event #32,Sea ice,Metabolomics,1,,Smp,Ev32Core_A,,,0.2 Teflon in foil,0.25,,-80,Final psu ~11,,,,,,,,,,,,,,,,,,,,Y,,,,,,1,1
191118,221118,Core#3 Event #32,Sea ice,Metabolomics,1,,Snp,Ev32Core_C,,,0.2 Teflon in foil,0.5,,-80,Final psu ~12,,,,,,,,,,,,,,,,,,,,Y,,,,,,1,1
201118,241118,Core#4 in FSW Event #37,Sea ice,Metabolomics,1,,Snp,Ev37Core_A,,,0.2 Teflon in foil,,,-80,"Starting psu ~30, final psu ~20",,,,,,,,,,,,,,,,,,,,Y,,,,,,1,1
231118,231118,Ice slush Event #51,ice slush,Metabolomics,1,,Smp,Ev51Slush_A,,,0.2 Teflon in foil,0.2,,-80,Final psu ~15,,,,,,,,,,,,,,,,,,,,Y,,,,,,1,1
251118,251118,Fast ice hole water Event #60,SW under ice,Metabolomics,1,,Smp,Ev60SW_A,,,0.2 Teflon in foil,3,,-80,,,,,,,,,,,,,,,,,,,,,Y,,,,,,1,1
141118,141118,Core#6 FSW Blank,Filtered SW,Metabolomics Filtrate,1,,Blk,FilterBlkFSWEvX_A,,,0.2 Teflon in foil,1,,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
141118,141118,Core#6 SW from below core hole,SW under ice,Metabolomics,1,,Smp,EvXSW_A,,,0.2 Teflon in foil,1.99,,-80,,,,,,,,,,,,,,,,,,,,,Y,,,,,,1,1
141118,221118,Core#6 in FSW ,Sea ice,Metabolomics,1,,Smp,EvXCore_A,,,0.2 Teflon in foil,0.62,,-80,Final psu ~15,,,,,,,,,,,,,,,,,,,,Y,,,,,,1,1
