Project ID,Current_SampID,Better_SampID,Date collected,Sample_type,Description,Volume filtered (L),Date extracted,DNA concentration (ng/ul),Volume extracted DNA remaining (ul),PCR run? (Y/N) ,Amplification (Y/N),Notes,PO4,SIO4,NO3,NO2,NH4,DOC,pEPS_ave,pEPS_stdev,dEPS_ave,dEPS_stdev,Chl_ave,Chl_stdev,PC_ave,PC_stdev,PN_ave,PN_stdev,C:N_ave,C:N_stdev,TempC,Salinity,Specific_growth_rate,PAR,HPLC_match,Metab_match
Barrow,S2 C1 D,,80517,Field,Barrow melted ice core bottom 5cm,0.1,180419,18.4,48,N,,25mm polycarbonate filter,,,,,,,,,,,365.9,,,,,,,,,,,,,Y
Barrow,S2 C2,,80517,Field,Barrow melted ice core bottom 5cm,0.1,180419,16.5,48,N,,25mm polycarbonate filter,,,,,,,,,,,309.5,,,,,,,,,,,,,Y
Barrow,S2 C3,,80517,Field,Barrow melted ice core bottom 5cm,0.1,180419,13.8,48,N,,25mm polycarbonate filter,,,,,,,,,,,369.2,,,,,,,,,,,,,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B234-P,Blank FSW,,141118,Blank,used for melts,,190419,low,48,N,,,,,,,,,,,,,,,,,,,,,,,,,,
B234-P,Blank Filt SW 1,,301018,Blank,Blank Filtered SW 1  301018,0.525,190419,low,48,N,,,,,,,,,,,,,,,,,,,,,,,,,,
B234-P,Blank Filt SW 2,,211118,Blank,Blank 211118 Filtered SW 1,0.24,190419,low,48,N,,,,,,,,,,,,,,,,,,,,,,,,,,
B234-P,blank MQ 191118,,191118,Blank,blank MQ 4 191118,0.55,190419,low,48,N,,,,,,,,,,,,,,,,,,,,,,,,,,
B234-P,Blank dry 1,,121118,Blank,Blank dry 1 121118,n/a,190419,low,48,N,,,,,,,,,,,,,,,,,,,,,,,,,,
B234-P,Blank dry 2,,191118,Blank,blank dry 2 191118,n/a,190419,low,48,N,,,,,,,,,,,,,,,,,,,,,,,,,,
B234-P,Blank 77 2,,211118,Blank,Blank 77 salt 2,0.305,190419,low,48,N,,,,,,,,,,,,,,,,,,,,,,,,,,
B234-P,Blank 77 3,,211118,Blank,Blank 77 salt 3,0.6,190419,low,48,N,,25mm polycarbonate filter,,,,,,,,,,,,,,,,,,,,,,,,
Barrow,Barrow Blank 1,,90517,Blank,Barrow Blank 1,,190419,low,48,N,,25mm polycarbonate filter,,,,,,,,,,,,,,,,,,,,,,,,
Barrow,Barrow Blank 2,,90517,Blank,Barrow Blank 2,,190419,low,48,N,,,,,,,,,,,,,,,,,,,,,,,,,,
B234-P,Blank 77 1,,211118,Blank,Inucubation media blank,0.305,180419,low,45,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,
B234-P,MQ Blank 121118,,121118,Blank,Blank MQ 1 121118,1.06,180419,low,45,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B234-P,SW core#6,,141118,Field,Ice core melt,2.25,180419,low,45,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,Y
B234-P,core#3,,191118,Field,Ice core melt,0.5,170419,32.9,47,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y
B234-P,core#2,,221118,Field,Ice core melt,0.5,180419,low,45,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,Y
B234-P,core#1,,221118,Field,Ice core melt,0.25,180419,1.42,45,Y,Y - primer band still visible (some amplification),,,,,,,,,,,,,,,,,,,,,,,,,Y
B234-P,core#4,,241118,Field,Melted core#4 in FSW,,180419,60,48,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y
B234-P,Ice slush,,231118,Field,Slush,0.17,180419,37.4,48,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y
B234-P,Fast ice SW,,251118,Field,Fast ice hole water,1.5,180419,low,45,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,Y
B234-P,Core#6,,141118,Field,Melted core#6 in FSW,0.5,180419,58,48,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y
B234-P,CTD SW,,171118,Field,CTD water 0.75m,3.4,180419,17.7,48,N,,,,,,,,,,,,,,,,,,,,,,,,,,Y
