MassFeature,FinalBMIS,Orig_RSD,FinalRSD,Filled_area,runDate,type,SampID,replicate,Date,Adjusted_Area,Run.Cmpd,Column,Area,MassFeature_Column,Volume_filtered_L,umolCFiltered,Adjusted_Area_VolNormed,Adjusted_Area_CNormed,Datsum,Rank,RankPercent,z,Vol_recon_uL,Dilution_Factor,RP_stdVolpersmpVol,Identification,RFmax,RFmin,RF,RFratio,RFratioFlag,nmolinEnviroave,RFFlag,Emperical.Formula,C,N,nmolCave,nmolNave,totalCmeasured_nM,totalNmeasured_nM,molFractionC,molFractionN,PC_ave,PN_ave,molFractionC_pertotalC,molFractionN_pertotalN
Indole 3 methyl acetate,Inj_vol,0.223038273,0.223038273,64263,200825,Smp,20ppt3C_A,A,200825,64263,200825_Smp_20ppt3C_A Indole 3 methyl acetate,RP,64263,Indole 3 methyl acetate_X_RP,0.6,76.76311476,107105,837.1598808,1550059,25,0.074074074,1,400,1,1,Indole 3 methyl acetate,59003572,33841068,46422320,0.891220817,NA,0.001035518,NA,C11H11NO2,11,1,0.011390696,0.001035518,3058.682346,694.4590425,3.72E-06,1.49E-06,127.9385246,16.91749292,8.90E-08,6.12E-08
Isobutyryl-L-carnitine,"L-Tryptophan, D3",0.109074895,0.029409347,6889456,200825,Smp,20ppt3C_A,A,200825,8528090.566,200825_Smp_20ppt3C_A Isobutyryl-L-carnitine,RP,6889456,Isobutyryl-L-carnitine_X_RP,0.6,76.76311476,14213484.28,111096.2028,214226510.4,6,0.777777778,1,400,1,1,Isobutyryl-L-carnitine,96714048,54742596,75728322,0.947807267,NA,0.079210395,NA,C11H21NO4,11,1,0.87131434,0.079210395,3058.682346,694.4590425,2.85E-04,1.14E-04,127.9385246,16.91749292,6.81E-06,4.68E-06
Kynurenine,"Riboflavin-dioxopyrimidine, 13C4, 15N2",0.120639191,0.048197001,616270,200825,Smp,20ppt3C_A,A,200825,526244.0603,200825_Smp_20ppt3C_A Kynurenine,RP,616270,Kynurenine_X_RP,0.6,76.76311476,877073.4338,6855.428703,25470493.36,12,0.555555556,1,400,1,1,Kynurenine,97693088,54795296,76244192,0.903350633,NA,0.005093694,NA,C10H12N2O3,10,2,0.050936937,0.010187387,3058.682346,694.4590425,1.67E-05,1.47E-05,127.9385246,16.91749292,3.98E-07,6.02E-07
Methylthioadenosine,"L-Tryptophan, D3",0.21528133,0.126255046,12307646,200825,Smp,20ppt3C_A,A,200825,15234979.33,200825_Smp_20ppt3C_A Methylthioadenosine,RP,12307646,Methylthioadenosine_X_RP,0.6,76.76311476,25391632.21,198467.4459,128509926.3,5,0.814814815,1,400,1,1,Methylthioadenosine,715680960,257616256,486648608,0.876201238,NA,0.023819424,NA,C11H15N5O3S,11,5,0.262013668,0.119097122,3058.682346,694.4590425,8.57E-05,1.71E-04,127.9385246,16.91749292,2.05E-06,7.04E-06
RP B12,Inj_vol,0.29959467,0.29959467,99775,200825,Smp,20ppt3C_A,A,200825,99775,200825_Smp_20ppt3C_A RP B12,RP,99775,RP B12_X_RP,0.6,76.76311476,166291.6667,1299.777899,934453,23,0.148148148,2,400,1,1,RP B12,56196396,28688300,42442348,0.921102034,NA,0.001701466,NA,C63H88CoN14O14P,63,1,0.107192373,0.001701466,3058.682346,694.4590425,3.50E-05,2.45E-06,127.9385246,16.91749292,8.38E-07,1.01E-07
Sulfurol,Inj_vol,0.538112656,0.538112656,314426,200825,Smp,20ppt3C_A,A,200825,314426,200825_Smp_20ppt3C_A Sulfurol,RP,314426,Sulfurol_X_RP,0.6,76.76311476,524043.3333,4096.055781,2756865,16,0.407407407,1,400,1,1,Sulfurol,680619392,631831168,656225280,0.786303475,NA,4.06E-04,NA,C6H9NOS,6,1,0.002437448,4.06E-04,3058.682346,694.4590425,7.97E-07,5.85E-07,127.9385246,16.91749292,1.91E-08,2.40E-08
Vitamin B5,"Pyridoxal, D3",0.335858504,0.178376118,981081,200825,Smp,20ppt3C_A,A,200825,1010992.421,200825_Smp_20ppt3C_A Vitamin B5,RP,981081,Vitamin B5_X_RP,0.6,76.76311476,1684987.368,13170.28919,18715477.01,9,0.666666667,1,400,1,1,Vitamin B5,88008216,61721316,74864766,1.213219988,NA,0.00742061,NA,C9H17NO5,9,1,0.066785491,0.00742061,3058.682346,694.4590425,2.18E-05,1.07E-05,127.9385246,16.91749292,5.22E-07,4.39E-07
Vitamin B6,"L-Tryptophan, D3",0.180222413,0.118465702,725845,200825,Smp,20ppt3C_A,A,200825,898484.8582,200825_Smp_20ppt3C_A Vitamin B6,RP,725845,Vitamin B6_X_RP,0.6,76.76311476,1497474.764,11704.64306,175465164.8,10,0.62962963,1,400,1,1,Vitamin B6,566306496,541020736,553663616,0.631484153,NA,0.001713212,NA,C8H11NO3,8,1,0.013705695,0.001713212,3058.682346,694.4590425,4.48E-06,2.47E-06,127.9385246,16.91749292,1.07E-07,1.01E-07
Xanthine,"Indole 3 Acetic Acid, D5",0.224381852,0.10399397,42485848,200825,Smp,20ppt3C_A,A,200825,37776074.67,200825_Smp_20ppt3C_A Xanthine,RP,42485848,Xanthine_X_RP,0.6,76.76311476,62960124.45,492112.3223,672000958.4,3,0.888888889,1,400,1,1,Xanthine,36549840,10111464,23330652,1.411326198,NA,0.764841228,NA,C5H4N4O2,5,4,3.82420614,3.059364912,3058.682346,694.4590425,0.001250279,0.004405393,127.9385246,16.91749292,2.99E-05,1.81E-04
3OC12-HSL,Inj_vol,2.626880704,2.626880704,167503,200825,Smp,20ppt3C_B,B,200825,167503,200825_Smp_20ppt3C_B 3OC12-HSL,RP,167503,3OC12-HSL_X_RP,0.62,76.75804953,270166.129,2182.22064,3576281,18,0.333333333,1,400,1,1,3OC12-HSL,272370112,226408096,249389104,0.770733341,NA,5.62E-04,NA,C16H27NO4,16,1,0.008995582,5.62E-04,2817.906295,700.7299417,3.19E-06,8.02E-07,123.8033057,15.94415667,7.27E-08,3.53E-08
3OC8-HSL,"Pyridoxal, D3",0.629453071,0.490190447,76080,200825,Smp,20ppt3C_B,B,200825,71532.91551,200825_Smp_20ppt3C_B 3OC8-HSL,RP,76080,3OC8-HSL_X_RP,0.62,76.75804953,115375.6702,931.9272174,1923905.043,25,0.074074074,1,400,1,1,3OC8-HSL,144879200,139877184,142378192,0.980288129,NA,3.31E-04,NA,C12H19NO4,12,1,0.003967878,3.31E-04,2817.906295,700.7299417,1.41E-06,4.72E-07,123.8033057,15.94415667,3.20E-08,2.07E-08
3OHC12-HSL,Inj_vol,0.313846942,0.313846942,166633,200825,Smp,20ppt3C_B,B,200825,166633,200825_Smp_20ppt3C_B 3OHC12-HSL,RP,166633,3OHC12-HSL_X_RP,0.62,76.75804953,268762.9032,2170.886324,9928504,19,0.296296296,1,400,1,1,3OHC12-HSL,263336192,209337904,236337048,1.063091255,NA,4.28E-04,NA,C16H29NO4,16,1,0.006846158,4.28E-04,2817.906295,700.7299417,2.43E-06,6.11E-07,123.8033057,15.94415667,5.53E-08,2.68E-08
7-dehydrocholesterol,Inj_vol,0.405765929,0.405765929,69007,200825,Smp,20ppt3C_B,B,200825,69007,200825_Smp_20ppt3C_B 7-dehydrocholesterol,RP,69007,7-dehydrocholesterol_X_RP,0.62,76.75804953,111301.6129,899.0197174,801867,26,0.037037037,1,400,1,1,7-dehydrocholesterol,3250480,1133756,2192118,5.148769703,NA,0.003944519,NA,C27H44O,27,NA,0.106502013,NA,2817.906295,700.7299417,3.78E-05,NA,123.8033057,15.94415667,8.60E-07,NA
Adenosyl Methionine,"Pyridoxal, D3",0.200937869,0.055185825,26621592,200825,Smp,20ppt3C_B,B,200825,25030495.42,200825_Smp_20ppt3C_B Adenosyl Methionine,RP,26621592,Adenosyl Methionine_X_RP,0.62,76.75804953,40371766.8,326096.0325,250765103,4,0.851851852,1,400,1,1,Adenosyl Methionine,23176948,19000252,21088600,0.908832003,NA,0.842570766,NA,C15H22N6O5S,15,6,12.63856148,5.055424594,2817.906295,700.7299417,0.004485089,0.007214512,123.8033057,15.94415667,1.02E-04,3.17E-04
Agmatine,"Pyridoxal, D3",0.279644738,0.114476817,275517,200825,Smp,20ppt3C_B,B,200825,259050.1352,200825_Smp_20ppt3C_B Agmatine,RP,275517,Agmatine_X_RP,0.62,76.75804953,417822.7987,3374.892103,42618942.94,16,0.407407407,1,400,1,1,Agmatine,111688360,102972840,107330600,0.249143934,NA,0.006249975,NA,C5H14N4,5,4,0.031249873,0.024999898,2817.906295,700.7299417,1.11E-05,3.57E-05,123.8033057,15.94415667,2.52E-07,1.57E-06
C14-HSL,"L-Phenylalanine, D8",0.141694002,0.085475695,297250,200825,Smp,20ppt3C_B,B,200825,242837.5904,200825_Smp_20ppt3C_B C14-HSL,RP,297250,C14-HSL_X_RP,0.62,76.75804953,391673.533,3163.675887,16244604.29,15,0.444444444,1,400,1,1,C14-HSL,149173440,59044432,104108936,0.983457713,NA,0.001530173,NA,C18H33NO3,18,1,0.027543113,0.001530173,2817.906295,700.7299417,9.77E-06,2.18E-06,123.8033057,15.94415667,2.22E-07,9.60E-08
Carotene,Inj_vol,0.248768588,0.248768588,111640,200825,Smp,20ppt3C_B,B,200825,111640,200825_Smp_20ppt3C_B Carotene,RP,111640,Carotene_X_RP,0.62,76.75804953,180064.5161,1454.440292,3291806,22,0.185185185,1,400,1,1,Carotene,1048756,488824,768790,5.406240292,NA,0.017329461,NA,C40H56,40,NA,0.693178446,NA,2817.906295,700.7299417,2.46E-04,NA,123.8033057,15.94415667,5.60E-06,NA
Desthiobiotin,Inj_vol,0.207954888,0.207954888,96223,200825,Smp,20ppt3C_B,B,200825,96223,200825_Smp_20ppt3C_B Desthiobiotin,RP,96223,Desthiobiotin_X_RP,0.62,76.75804953,155198.3871,1253.588394,1256288,23,0.148148148,1,400,1,1,Desthiobiotin,244678720,177804944,211241832,1.136708222,NA,2.59E-04,NA,C10H18N2O3,10,2,0.002585344,5.17E-04,2817.906295,700.7299417,9.17E-07,7.38E-07,123.8033057,15.94415667,2.09E-08,3.24E-08
Glutathione,Inj_vol,0.459983659,0.459983659,112008,200825,Smp,20ppt3C_B,B,200825,112008,200825_Smp_20ppt3C_B Glutathione,RP,112008,Glutathione_X_RP,0.62,76.75804953,180658.0645,1459.234578,660067,21,0.222222222,1,400,1,1,Glutathione,31985900,13462076,22723988,0.02488873,Literature value,0.127770343,Literature value,C10H17N3O6S,10,3,1.277703429,0.383311029,2817.906295,700.7299417,4.53E-04,5.47E-04,123.8033057,15.94415667,1.03E-05,2.40E-05
Hydroxo B12,Inj_vol,0.090996658,0.090996658,1135468,200825,Smp,20ppt3C_B,B,200825,1135468,200825_Smp_20ppt3C_B Hydroxo B12,RP,1135468,Hydroxo B12_X_RP,0.62,76.75804953,1831400,14792.81987,8649550,8,0.703703704,2,400,1,1,Hydroxo B12,212174720,135981952,174078336,0.713167663,NA,0.005900745,NA,C62H89CoN13O15P,62,1,0.365846177,0.005900745,2817.906295,700.7299417,1.30E-04,8.42E-06,123.8033057,15.94415667,2.96E-06,3.70E-07
Indole 3 acetamide,"L-Tryptophan, D3",0.196067499,0.129173853,76196,200825,Smp,20ppt3C_B,B,200825,58469.12447,200825_Smp_20ppt3C_B Indole 3 acetamide,RP,76196,Indole 3 acetamide_X_RP,0.62,76.75804953,94305.03946,761.7328062,4633962.935,24,0.111111111,1,400,1,1,Indole 3 acetamide,233086928,222246480,227666704,0.880651458,NA,1.88E-04,NA,C10H10N2O,10,2,0.001881444,3.76E-04,2817.906295,700.7299417,6.68E-07,5.37E-07,123.8033057,15.94415667,1.52E-08,2.36E-08
Indole 3 methyl acetate,Inj_vol,0.223038273,0.223038273,67684,200825,Smp,20ppt3C_B,B,200825,67684,200825_Smp_20ppt3C_B Indole 3 methyl acetate,RP,67684,Indole 3 methyl acetate_X_RP,0.62,76.75804953,109167.7419,881.7837401,1550059,27,0,1,400,1,1,Indole 3 methyl acetate,59003572,33841068,46422320,0.891220817,NA,0.001055461,NA,C11H11NO2,11,1,0.01161007,0.001055461,2817.906295,700.7299417,4.12E-06,1.51E-06,123.8033057,15.94415667,9.38E-08,6.62E-08
Isobutyryl-L-carnitine,"L-Tryptophan, D3",0.109074895,0.029409347,8689996,200825,Smp,20ppt3C_B,B,200825,6668282.558,200825_Smp_20ppt3C_B Isobutyryl-L-carnitine,RP,8689996,Isobutyryl-L-carnitine_X_RP,0.62,76.75804953,10755294.45,86874.04902,214226510.4,6,0.777777778,1,400,1,1,Isobutyryl-L-carnitine,96714048,54742596,75728322,0.947807267,NA,0.059938232,NA,C11H21NO4,11,1,0.659320551,0.059938232,2817.906295,700.7299417,2.34E-04,8.55E-05,123.8033057,15.94415667,5.33E-06,3.76E-06
Kynurenine,"Riboflavin-dioxopyrimidine, 13C4, 15N2",0.120639191,0.048197001,616270,200825,Smp,20ppt3C_B,B,200825,436438.8495,200825_Smp_20ppt3C_B Kynurenine,RP,616270,Kynurenine_X_RP,0.62,76.75804953,703933.6283,5685.903331,25470493.36,13,0.518518519,1,400,1,1,Kynurenine,97693088,54795296,76244192,0.903350633,NA,0.004088167,NA,C10H12N2O3,10,2,0.040881666,0.008176333,2817.906295,700.7299417,1.45E-05,1.17E-05,123.8033057,15.94415667,3.30E-07,5.13E-07
Methylthioadenosine,"L-Tryptophan, D3",0.21528133,0.126255046,9604505,200825,Smp,20ppt3C_B,B,200825,7370032.525,200825_Smp_20ppt3C_B Methylthioadenosine,RP,9604505,Methylthioadenosine_X_RP,0.62,76.75804953,11887149.23,96016.41223,128509926.3,5,0.814814815,1,400,1,1,Methylthioadenosine,715680960,257616256,486648608,0.876201238,NA,0.011151117,NA,C11H15N5O3S,11,5,0.122662283,0.055755583,2817.906295,700.7299417,4.35E-05,7.96E-05,123.8033057,15.94415667,9.91E-07,3.50E-06
RP B12,Inj_vol,0.29959467,0.29959467,124042,200825,Smp,20ppt3C_B,B,200825,124042,200825_Smp_20ppt3C_B RP B12,RP,124042,RP B12_X_RP,0.62,76.75804953,200067.7419,1616.012923,934453,20,0.259259259,2,400,1,1,RP B12,56196396,28688300,42442348,0.921102034,NA,0.002047057,NA,C63H88CoN14O14P,63,1,0.128964586,0.002047057,2817.906295,700.7299417,4.58E-05,2.92E-06,123.8033057,15.94415667,1.04E-06,1.28E-07
Sulfurol,Inj_vol,0.538112656,0.538112656,421335,200825,Smp,20ppt3C_B,B,200825,421335,200825_Smp_20ppt3C_B Sulfurol,RP,421335,Sulfurol_X_RP,0.62,76.75804953,679572.5806,5489.131141,2756865,14,0.481481481,1,400,1,1,Sulfurol,680619392,631831168,656225280,0.786303475,NA,5.27E-04,NA,C6H9NOS,6,1,0.00316085,5.27E-04,2817.906295,700.7299417,1.12E-06,7.52E-07,123.8033057,15.94415667,2.55E-08,3.30E-08
Vitamin B5,"Pyridoxal, D3",0.335858504,0.178376118,993190,200825,Smp,20ppt3C_B,B,200825,933829.868,200825_Smp_20ppt3C_B Vitamin B5,RP,993190,Vitamin B5_X_RP,0.62,76.75804953,1506177.206,12165.88845,18715477.01,9,0.666666667,1,400,1,1,Vitamin B5,88008216,61721316,74864766,1.213219988,NA,0.006633138,NA,C9H17NO5,9,1,0.059698242,0.006633138,2817.906295,700.7299417,2.12E-05,9.47E-06,123.8033057,15.94415667,4.82E-07,4.16E-07
Vitamin B6,"L-Tryptophan, D3",0.180222413,0.118465702,725845,200825,Smp,20ppt3C_B,B,200825,556978.3407,200825_Smp_20ppt3C_B Vitamin B6,RP,725845,Vitamin B6_X_RP,0.62,76.75804953,898352.1625,7256.285746,175465164.8,11,0.592592593,1,400,1,1,Vitamin B6,566306496,541020736,553663616,0.631484153,NA,0.001027775,NA,C8H11NO3,8,1,0.008222202,0.001027775,2817.906295,700.7299417,2.92E-06,1.47E-06,123.8033057,15.94415667,6.64E-08,6.45E-08
Xanthine,"Indole 3 Acetic Acid, D5",0.224381852,0.10399397,42309276,200825,Smp,20ppt3C_B,B,200825,36930208.06,200825_Smp_20ppt3C_B Xanthine,RP,42309276,Xanthine_X_RP,0.62,76.75804953,59564851.71,481124.889,672000958.4,3,0.888888889,1,400,1,1,Xanthine,36549840,10111464,23330652,1.411326198,NA,0.723595366,NA,C5H4N4O2,5,4,3.617976832,2.894381466,2817.906295,700.7299417,0.001283924,0.004130523,123.8033057,15.94415667,2.92E-05,1.82E-04
3OC12-HSL,Inj_vol,2.626880704,2.626880704,413953,200825,Smp,20ppt3C_C,C,200825,413953,200825_Smp_20ppt3C_C 3OC12-HSL,RP,413953,3OC12-HSL_X_RP,0.6,64.52739864,689921.6667,6415.150908,3576281,13,0.458333333,1,400,1,1,3OC12-HSL,272370112,226408096,249389104,0.770733341,NA,0.001435748,NA,C16H27NO4,16,1,0.022971965,0.001435748,3004.011786,951.764616,7.65E-06,1.51E-06,107.5456644,14.40024401,2.14E-07,9.97E-08
3OC8-HSL,"Pyridoxal, D3",0.629453071,0.490190447,348679,200825,Smp,20ppt3C_C,C,200825,464282.9928,200825_Smp_20ppt3C_C 3OC8-HSL,RP,348679,3OC8-HSL_X_RP,0.6,64.52739864,773804.988,7195.129551,1923905.043,14,0.416666667,1,400,1,1,3OC8-HSL,144879200,139877184,142378192,0.980288129,NA,0.002217657,NA,C12H19NO4,12,1,0.026611879,0.002217657,3004.011786,951.764616,8.86E-06,2.33E-06,107.5456644,14.40024401,2.47E-07,1.54E-07
3OHC12-HSL,Inj_vol,0.313846942,0.313846942,166633,200825,Smp,20ppt3C_C,C,200825,166633,200825_Smp_20ppt3C_C 3OHC12-HSL,RP,166633,3OHC12-HSL_X_RP,0.6,64.52739864,277721.6667,2582.360416,9928504,18,0.25,1,400,1,1,3OHC12-HSL,263336192,209337904,236337048,1.063091255,NA,4.42E-04,NA,C16H29NO4,16,1,0.007074364,4.42E-04,3004.011786,951.764616,2.35E-06,4.65E-07,107.5456644,14.40024401,6.58E-08,3.07E-08
7-dehydrocholesterol,Inj_vol,0.405765929,0.405765929,100,200825,Smp,20ppt3C_C,C,200825,100,200825_Smp_20ppt3C_C 7-dehydrocholesterol,RP,100,7-dehydrocholesterol_X_RP,0.6,64.52739864,166.6666667,1.549729295,801867,24,0,1,400,1,1,7-dehydrocholesterol,3250480,1133756,2192118,5.148769703,NA,5.91E-06,NA,C27H44O,27,NA,1.59E-04,NA,3004.011786,951.764616,5.31E-08,NA,107.5456644,14.40024401,1.48E-09,NA
Adenosyl Methionine,"Pyridoxal, D3",0.200937869,0.055185825,12754672,200825,Smp,20ppt3C_C,C,200825,16983464.13,200825_Smp_20ppt3C_C Adenosyl Methionine,RP,12754672,Adenosyl Methionine_X_RP,0.6,64.52739864,28305773.55,263197.7189,250765103,4,0.833333333,1,400,1,1,Adenosyl Methionine,23176948,19000252,21088600,0.908832003,NA,0.590749902,NA,C15H22N6O5S,15,6,8.861248532,3.544499413,3004.011786,951.764616,0.002949805,0.003724134,107.5456644,14.40024401,8.24E-05,2.46E-04
Agmatine,"Pyridoxal, D3",0.279644738,0.114476817,100,200825,Smp,20ppt3C_C,C,200825,133.1548481,200825_Smp_20ppt3C_C Agmatine,RP,100,Agmatine_X_RP,0.6,64.52739864,221.9247468,2.063539689,42618942.94,24,0,1,400,1,1,Agmatine,111688360,102972840,107330600,0.249143934,NA,3.32E-06,NA,C5H14N4,5,4,1.66E-05,1.33E-05,3004.011786,951.764616,5.53E-09,1.40E-08,107.5456644,14.40024401,1.54E-10,9.22E-10
C14-HSL,"L-Phenylalanine, D8",0.141694002,0.085475695,297250,200825,Smp,20ppt3C_C,C,200825,390154.7393,200825_Smp_20ppt3C_C C14-HSL,RP,297250,C14-HSL_X_RP,0.6,64.52739864,650257.8989,6046.342291,16244604.29,15,0.375,1,400,1,1,C14-HSL,149173440,59044432,104108936,0.983457713,NA,0.002540399,NA,C18H33NO3,18,1,0.045727182,0.002540399,3004.011786,951.764616,1.52E-05,2.67E-06,107.5456644,14.40024401,4.25E-07,1.76E-07
Carotene,Inj_vol,0.248768588,0.248768588,100,200825,Smp,20ppt3C_C,C,200825,100,200825_Smp_20ppt3C_C Carotene,RP,100,Carotene_X_RP,0.6,64.52739864,166.6666667,1.549729295,3291806,24,0,1,400,1,1,Carotene,1048756,488824,768790,5.406240292,NA,1.60E-05,NA,C40H56,40,NA,6.42E-04,NA,3004.011786,951.764616,2.14E-07,NA,107.5456644,14.40024401,5.97E-09,NA
Desthiobiotin,Inj_vol,0.207954888,0.207954888,67140,200825,Smp,20ppt3C_C,C,200825,67140,200825_Smp_20ppt3C_C Desthiobiotin,RP,67140,Desthiobiotin_X_RP,0.6,64.52739864,111900,1040.488249,1256288,21,0.125,1,400,1,1,Desthiobiotin,244678720,177804944,211241832,1.136708222,NA,1.86E-04,NA,C10H18N2O3,10,2,0.001864065,3.73E-04,3004.011786,951.764616,6.21E-07,3.92E-07,107.5456644,14.40024401,1.73E-08,2.59E-08
