MassFeature,FinalBMIS,Orig_RSD,FinalRSD,QC_area,runDate,type,SampID,replicate,Date,Adjusted_Area,Run.Cmpd,Column,Area,MassFeature_Column,Volume_filtered_L,umolCFiltered,Adjusted_Area_VolNormed,Adjusted_Area_CNormed,Datsum,Rank,RankPercent,z,Vol_recon_uL,Dilution_Factor,RP_stdVolpersmpVol,Identification,RFmax,RFmin,RF,RFratio,RFratioFlag,nmolperumolCinEnviroave,RFFlag,Emperical.Formula,C,N,nmolCave,nmolNave,totalCmeasured_nM,totalNmeasured_nM,molFractionC,molFractionN,PC_ave,molFractionC_pertotalC
Glutathione,Inj_vol,0.45998365920831963,0.45998365920831963,41234,200825,Smp,20ppt3C_A,A,200825,41234,200825_Smp_20ppt3C_A Glutathione,RP,41234,Glutathione_X_RP,0.6,76.76311476,68723.33333333334,537.1590265574575,593519,29,0.033333333333333326,1,400,1,1,Glutathione,31985900,13462076,22723988,0.0248887298,Literature value,6.331758395900192e-4,Literature value,C10H17N3O6S,10,3,0.006331758395900192,0.0018995275187700575,40.04486231515661,9.079624832854506,1.581166229532441e-4,2.0920770998121438e-4,127.9385246,4.949063165841911e-8
Hydroxo B12,Inj_vol,0.0909966581224534,0.0909966581224534,1208858,200825,Smp,20ppt3C_A,A,200825,1208858,200825_Smp_20ppt3C_A Hydroxo B12,RP,1208858,Hydroxo B12_X_RP,0.6,76.76311476,2014763.3333333335,15747.901889852914,8577056,9,0.7,2,400,1,1,Hydroxo B12,212174720,135981952,174078336,0.7131676627974644,NA,8.45658604302378e-5,NA,C62H89CoN13O15P,62,1,0.0052430833466747435,8.45658604302378e-5,40.04486231515661,9.079624832854506,1.3093023782704543e-4,9.313805579745688e-6,127.9385246,4.0981270989854324e-8
Indole 3 acetamide,"L-Tryptophan, D3",0.19606749936632245,0.12917385262328485,109083,200825,Smp,20ppt3C_A,A,200825,135028.03461391004,200825_Smp_20ppt3C_A Indole 3 acetamide,RP,109083,Indole 3 acetamide_X_RP,0.6,76.76311476,225046.72435651676,1759.0223512435032,4530536.701700419,21,0.30000000000000004,1,400,1,1,Indole 3 acetamide,233086928,222246480,227666704,0.8806514575109674,NA,5.848931302481972e-6,NA,C10H10N2O,10,2,5.8489313024819724e-5,1.1697862604963944e-5,40.04486231515661,9.079624832854506,1.4605946841445892e-6,1.2883640921632993e-6,127.9385246,4.5716732475762606e-10
Indole 3 carboxylic acid,Inj_vol,0.30740140917207026,0.30740140917207026,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Indole 3 carboxylic acid,RP,0,Indole 3 carboxylic acid_X_RP,0.6,76.76311476,NA,NA,58846,30,0,1,400,1,1,Indole 3 carboxylic acid,26020296,5351672,15685984,0.970522603783702,NA,NA,NA,C9H7NO2,9,1,NA,NA,40.04486231515661,9.079624832854506,NA,NA,127.9385246,NA
Indole 3 methyl acetate,Inj_vol,0.22303827334456167,0.22303827334456167,64263,200825,Smp,20ppt3C_A,A,200825,64263,200825_Smp_20ppt3C_A Indole 3 methyl acetate,RP,64263,Indole 3 methyl acetate_X_RP,0.6,76.76311476,107105,837.1598807697991,1278789,25,0.16666666666666663,1,400,1,1,Indole 3 methyl acetate,59003572,33841068,46422320,0.8912208169404785,NA,1.3489783677069236e-5,NA,C11H11NO2,11,1,1.483876204477616e-4,1.3489783677069236e-5,40.04486231515661,9.079624832854506,3.7055345397354075e-6,1.4857203822185062e-6,127.9385246,1.1598353264718016e-9
Isobutyryl-L-carnitine,"L-Tryptophan, D3",0.10907489454654314,0.029409346606318,6889456,200825,Smp,20ppt3C_A,A,200825,8528090.566256981,200825_Smp_20ppt3C_A Isobutyryl-L-carnitine,RP,6889456,Isobutyryl-L-carnitine_X_RP,0.6,76.76311476,14213484.27709497,111096.2028172003,214226510.4371842,6,0.8,1,400,1,1,Isobutyryl-L-carnitine,96714048,54742596,75728322,0.9478072673056788,NA,0.0010318809342366787,NA,C11H21NO4,11,1,0.011350690276603466,0.0010318809342366787,40.04486231515661,9.079624832854506,2.834493520610092e-4,1.1364797039882428e-4,127.9385246,8.87198778639305e-8
Kynurenine,"Riboflavin-dioxopyrimidine, 13C4, 15N2",0.12063919099795799,0.04819700056220014,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Kynurenine,RP,0,Kynurenine_X_RP,0.6,76.76311476,NA,NA,7980738.201356394,30,0,1,400,1,1,Kynurenine,97693088,54795296,76244192,0.9033506330289175,NA,NA,NA,C10H12N2O3,10,2,NA,NA,40.04486231515661,9.079624832854506,NA,NA,127.9385246,NA
Melatonin,Inj_vol,0.5903009219662884,0.5903009219662884,211107,200825,Smp,20ppt3C_A,A,200825,211107,200825_Smp_20ppt3C_A Melatonin,RP,211107,Melatonin_X_RP,0.6,76.76311476,351845,2750.1098758176554,211107,17,0.43333333333333335,1,400,1,1,Melatonin,502080256,498923808,500502032,1.378482261462004,NA,2.6573683594193866e-6,NA,C13H16N2O2,13,2,3.454578867245203e-5,5.314736718838773e-6,40.04486231515661,9.079624832854506,8.626771744293592e-7,5.853476125585571e-7,127.9385246,2.7001865763623187e-10
Methylthioadenosine,"L-Tryptophan, D3",0.215281330336489,0.12625504597926313,12307646,200825,Smp,20ppt3C_A,A,200825,15234979.328619048,200825_Smp_20ppt3C_A Methylthioadenosine,RP,12307646,Methylthioadenosine_X_RP,0.6,76.76311476,25391632.21436508,198467.4459374302,128480202.18454589,5,0.8333333333333334,1,400,1,1,Methylthioadenosine,715680960,257616256,486648608,0.8762012379222064,NA,3.102977838634242e-4,NA,C11H15N5O3S,11,5,0.0034132756224976666,0.001551488919317121,40.04486231515661,9.079624832854506,8.523629312631632e-5,1.7087588395757038e-4,127.9385246,2.6679029113156325e-8
p-Coumaric Acid,Inj_vol,1.2622177336795461,1.2622177336795461,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A p-Coumaric Acid,RP,0,p-Coumaric Acid_X_RP,0.6,76.76311476,NA,NA,40322,30,0,1,400,1,1,p-Coumaric Acid,12368292,1958536,7163414,0.8752444166178952,NA,NA,NA,C9H8O3,9,NA,NA,NA,40.04486231515661,9.079624832854506,NA,NA,127.9385246,NA
Pyridoxamine,Inj_vol,0.5689351396365038,0.5689351396365038,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Pyridoxamine,RP,0,Pyridoxamine_X_RP,0.6,76.76311476,NA,NA,1313385,30,0,1,400,1,1,Pyridoxamine,181223536,154187120,167705328,0.08559384680713969,NA,NA,NA,C8H12N2O2,8,2,NA,NA,40.04486231515661,9.079624832854506,NA,NA,127.9385246,NA
RP B12,Inj_vol,0.2995946702327922,0.2995946702327922,99775,200825,Smp,20ppt3C_A,A,200825,99775,200825_Smp_20ppt3C_A RP B12,RP,99775,RP B12_X_RP,0.6,76.76311476,166291.6666666667,1299.7778986945318,782044,22,0.2666666666666667,2,400,1,1,RP B12,56196396,28688300,42442348,0.9211020336641822,NA,2.216515362915504e-5,NA,C63H88CoN14O14P,63,1,0.0013964046786367676,2.216515362915504e-5,40.04486231515661,9.079624832854506,3.487100711314574e-5,2.4411970799664228e-6,127.9385246,1.0914653604163634e-8
Sulfurol,Inj_vol,0.5381126558826509,0.5381126558826509,314426,200825,Smp,20ppt3C_A,A,200825,314426,200825_Smp_20ppt3C_A Sulfurol,RP,314426,Sulfurol_X_RP,0.6,76.76311476,524043.3333333334,4096.055781257098,2234764,16,0.4666666666666667,1,400,1,1,Sulfurol,680619392,631831168,656225280,0.7863034750049629,NA,5.2921415452553135e-6,NA,C6H9NOS,6,1,3.175284927153188e-5,5.2921415452553135e-6,40.04486231515661,9.079624832854506,7.929319127541044e-7,5.828590544959266e-7,127.9385246,2.481883339737363e-10
trans Retinal,Inj_vol,0.5087328174136135,0.5087328174136135,47153,200825,Smp,20ppt3C_A,A,200825,47153,200825_Smp_20ppt3C_A trans Retinal,RP,47153,trans Retinal_X_RP,0.6,76.76311476,78588.33333333334,614.2663719082261,47153,28,0.06666666666666665,1,400,1,1,trans Retinal,NA,NA,NaN,1.464724009064341,NA,NaN,NA,C20H28O,20,NA,NaN,NA,40.04486231515661,9.079624832854506,NaN,NA,127.9385246,NaN
Tryptophol,"Indole 3 Acetic Acid, D5",0.3686357021886068,0.28851328499369877,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Tryptophol,RP,0,Tryptophol_X_RP,0.6,76.76311476,NA,NA,114661.73358159316,30,0,1,400,1,1,Tryptophol,58689700,26279692,42484696,0.9538069585374354,NA,NA,NA,C10H11NO,10,1,NA,NA,40.04486231515661,9.079624832854506,NA,NA,127.9385246,NA
Vanillic Acid,"L-Tryptophan, D3",0.4692215679383355,0.36416449378819343,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Vanillic Acid,RP,0,Vanillic Acid_X_RP,0.6,76.76311476,NA,NA,1421655.7966626266,30,0,1,400,1,1,Vanillic Acid,3587276,1622644,2604960,0.5034043107685924,NA,NA,NA,C8H8O4,8,NA,NA,NA,40.04486231515661,9.079624832854506,NA,NA,127.9385246,NA
Vitamin B5,"Pyridoxal, D3",0.3358585039333279,0.178376118136365,981081,200825,Smp,20ppt3C_A,A,200825,1010992.4207750852,200825_Smp_20ppt3C_A Vitamin B5,RP,981081,Vitamin B5_X_RP,0.6,76.76311476,1684987.3679584754,13170.289193396526,19027045.140423384,10,0.6666666666666667,1,400,1,1,Vitamin B5,88008216,61721316,74864766,1.213219988134875,NA,9.666895502272767e-5,NA,C9H17NO5,9,1,8.700205952045489e-4,9.666895502272767e-5,40.04486231515661,9.079624832854506,2.1726147747928558e-5,1.0646800589483861e-5,127.9385246,6.8003019256683615e-9
Vitamin B6,"L-Tryptophan, D3",0.18022241270286093,0.11846570230736407,1321137,200825,Smp,20ppt3C_A,A,200825,1635365.1124897306,200825_Smp_20ppt3C_A Vitamin B6,RP,1321137,Vitamin B6_X_RP,0.6,76.76311476,2725608.5208162176,21304.048404011515,159953222.59540388,8,0.7333333333333334,1,400,1,1,Vitamin B6,566306496,541020736,553663616,0.6314841528621162,NA,4.0622106455149524e-5,NA,C8H11NO3,8,1,3.249768516411962e-4,4.0622106455149524e-5,40.04486231515661,9.079624832854506,8.115319490515403e-6,4.4739851263632555e-6,127.9385246,2.540101604713958e-9
Xanthine,"Indole 3 Acetic Acid, D5",0.22438185232386687,0.10399397034899559,42485848,200825,Smp,20ppt3C_A,A,200825,37776074.67090984,200825_Smp_20ppt3C_A Xanthine,RP,42485848,Xanthine_X_RP,0.6,76.76311476,62960124.4515164,492112.32229198614,672000958.3729496,3,0.9,1,400,1,1,Xanthine,36549840,10111464,23330652,1.4113261980653564,NA,0.009963655465170522,NA,C5H4N4O2,5,4,0.04981827732585261,0.03985462186068209,40.04486231515661,9.079624832854506,0.0012440616460053816,0.004389456898755183,127.9385246,3.8939230760718506e-7
3OC10-HSL,Inj_vol,0.20454390911357967,0.20454390911357967,NA,200825,Smp,20ppt3C_B,B,200825,NA,200825_Smp_20ppt3C_B 3OC10-HSL,RP,0,3OC10-HSL_X_RP,0.62,76.75804953,NA,NA,53120,26,0,1,400,1,1,3OC10-HSL,381511744,344379328,362945536,1.0515129905358633,NA,NA,NA,C14H23NO4,14,1,NA,NA,36.70426506446444,9.13651749934495,NA,NA,123.8033057,NA
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,167503,200825,Smp,20ppt3C_B,B,200825,167503,200825_Smp_20ppt3C_B 3OC12-HSL,RP,167503,3OC12-HSL_X_RP,0.62,76.75804953,270166.12903225806,2182.2206403842165,3726265,15,0.42307692307692313,1,400,1,1,3OC12-HSL,272370112,226408096,249389104,0.770733340519836,NA,7.324624072402631e-6,NA,C16H27NO4,16,1,1.171939851584421e-4,7.324624072402631e-6,36.70426506446444,9.13651749934495,3.1929255347467646e-6,8.01686646244346e-7,123.8033057,9.466143451971018e-10
3OC8-HSL,"Pyridoxal, D3",0.629453070752051,0.49019044727562144,76080,200825,Smp,20ppt3C_B,B,200825,71532.9155138694,200825_Smp_20ppt3C_B 3OC8-HSL,RP,76080,3OC8-HSL_X_RP,0.62,76.75804953,115375.67018366033,931.9272174302916,1749251.4228189893,21,0.1923076923076923,1,400,1,1,3OC8-HSL,144879200,139877184,142378192,0.9802881290948726,NA,4.307775682213906e-6,NA,C12H19NO4,12,1,5.1693308186566864e-5,4.307775682213906e-6,36.70426506446444,9.13651749934495,1.4083733347003916e-6,4.7148989563285515e-7,123.8033057,4.1754384419936263e-10
3OHC12-HSL,Inj_vol,0.3138469423918869,0.3138469423918869,NA,200825,Smp,20ppt3C_B,B,200825,NA,200825_Smp_20ppt3C_B 3OHC12-HSL,RP,0,3OHC12-HSL_X_RP,0.62,76.75804953,NA,NA,3420239,26,0,1,400,1,1,3OHC12-HSL,263336192,209337904,236337048,1.0630912551444553,NA,NA,NA,C16H29NO4,16,1,NA,NA,36.70426506446444,9.13651749934495,NA,NA,123.8033057,NA
7-dehydrocholesterol,Inj_vol,0.4057659285593424,0.4057659285593424,69007,200825,Smp,20ppt3C_B,B,200825,69007,200825_Smp_20ppt3C_B 7-dehydrocholesterol,RP,69007,7-dehydrocholesterol_X_RP,0.62,76.75804953,111301.6129032258,899.0197174438287,615907,22,0.15384615384615385,1,400,1,1,7-dehydrocholesterol,3250480,1133756,2192118,5.1487697034849464,NA,5.138899490229564e-5,NA,C27H44O,27,NA,0.0013875028623619823,NA,36.70426506446444,9.13651749934495,3.7802224344366606e-5,NA,123.8033057,1.1207316755532985e-8
Abscisic Acid,Inj_vol,0.5948010832827125,0.5948010832827125,NA,200825,Smp,20ppt3C_B,B,200825,NA,200825_Smp_20ppt3C_B Abscisic Acid,RP,0,Abscisic Acid_X_RP,0.62,76.75804953,NA,NA,127236,26,0,1,400,1,1,Abscisic Acid,137235264,94048424,115641844,1.2182933029878322,NA,NA,NA,C15H20O4,15,NA,NA,NA,36.70426506446444,9.13651749934495,NA,NA,123.8033057,NA
Acetosyringone,Inj_vol,0.24792455412610317,0.24792455412610317,53019,200825,Smp,20ppt3C_B,B,200825,53019,200825_Smp_20ppt3C_B Acetosyringone,RP,53019,Acetosyringone_X_RP,0.62,76.75804953,85514.51612903226,690.7288593788218,160286,24,0.07692307692307687,1,400,1,1,Acetosyringone,145716896,40508348,93112622,0.9798551804385485,NA,4.884335124208583e-6,NA,C10H12O4,10,NA,4.8843351242085824e-05,NA,36.70426506446444,9.13651749934495,1.3307268557564431e-6,NA,123.8033057,3.9452380504639324e-10
Acetovanillone,Inj_vol,0.7897289637909989,0.7897289637909989,NA,200825,Smp,20ppt3C_B,B,200825,NA,200825_Smp_20ppt3C_B Acetovanillone,RP,0,Acetovanillone_X_RP,0.62,76.75804953,NA,NA,129799,26,0,1,400,1,1,Acetovanillone,158077632,56383956,107230794,0.952430480762983,NA,NA,NA,C9H10O3,9,NA,NA,NA,36.70426506446444,9.13651749934495,NA,NA,123.8033057,NA
Adenosyl Methionine,"Pyridoxal, D3",0.20093786936184893,0.05518582534394999,26621592,200825,Smp,20ppt3C_B,B,200825,25030495.417727415,200825_Smp_20ppt3C_B Adenosyl Methionine,RP,26621592,Adenosyl Methionine_X_RP,0.62,76.75804953,40371766.80278615,326096.03254632646,250765103.00201797,4,0.8461538461538461,1,400,1,1,Adenosyl Methionine,23176948,19000252,21088600,0.9088320027439033,NA,0.010976969461440108,NA,C15H22N6O5S,15,6,0.16465454192160162,0.06586181676864064,36.70426506446444,9.13651749934495,0.004485978445077583,0.007208634665600176,123.8033057,1.3299688646488348e-6
