MassFeature,FinalBMIS,Orig_RSD,FinalRSD,Filled_area,runDate,type,SampID,replicate,Date,Adjusted_Area,Run.Cmpd,Column,Area,MassFeature_Column,Volume_filtered_L,umolCFiltered,Adjusted_Area_VolNormed,Adjusted_Area_CNormed,Datsum,Rank,RankPercent,z,Vol_recon_uL,Dilution_Factor,RP_stdVolpersmpVol,Identification,RFmax,RFmin,RF,RFratio,RFratioFlag,nmolperumolCinEnviroave,RFFlag,Emperical.Formula,C,N,nmolCave,nmolNave,totalCmeasured_nM,totalNmeasured_nM,molFractionC,molFractionN,PC_ave,PN_ave,molFractionC_pertotalC
Isobutyryl-L-carnitine,"L-Tryptophan, D3",0.10907489454654314,0.029409346606318,6889456,200825,Smp,20ppt3C_A,A,200825,8528090.566256981,200825_Smp_20ppt3C_A Isobutyryl-L-carnitine,RP,6889456,Isobutyryl-L-carnitine_X_RP,0.6,76.76311476,14213484.27709497,111096.2028172003,214226510.4371842,6,0.7777777777777778,1,400,1,1,Isobutyryl-L-carnitine,96714048,54742596,75728322,0.9478072673056788,NA,6.191285605420072e-4,NA,C11H21NO4,11,1,0.006810414165962079,6.191285605420072e-4,23.90743801015571,5.428068243412415,2.848659134060732e-4,1.1406057049732027e-4,127.9385246,16.91749292,5.323192671835829e-8
Kynurenine,"Riboflavin-dioxopyrimidine, 13C4, 15N2",0.12063919099795799,0.04819700056220014,616270,200825,Smp,20ppt3C_A,A,200825,526244.06028553,200825_Smp_20ppt3C_A Kynurenine,RP,616270,Kynurenine_X_RP,0.6,76.76311476,877073.4338092168,6855.428703366623,25470493.360840306,12,0.5555555555555556,1,400,1,1,Kynurenine,97693088,54795296,76244192,0.9033506330289175,NA,3.981360379813191e-5,NA,C10H12N2O3,10,2,3.981360379813191e-4,7.962720759626382e-5,23.90743801015571,5.428068243412415,1.665322891613036e-5,1.4669529568442805e-5,127.9385246,16.91749292,3.1119323849176163e-9
Methylthioadenosine,"L-Tryptophan, D3",0.215281330336489,0.12625504597926313,12307646,200825,Smp,20ppt3C_A,A,200825,15234979.328619048,200825_Smp_20ppt3C_A Methylthioadenosine,RP,12307646,Methylthioadenosine_X_RP,0.6,76.76311476,25391632.21436508,198467.4459374302,128509926.3028596,5,0.8148148148148149,1,400,1,1,Methylthioadenosine,715680960,257616256,486648608,0.8762012379222064,NA,1.8617867031805451e-4,NA,C11H15N5O3S,11,5,0.0020479653734986,9.308933515902725e-4,23.90743801015571,5.428068243412415,8.566226848015412e-5,1.714962505712817e-4,127.9385246,16.91749292,1.6007417467893793e-8
RP B12,Inj_vol,0.2995946702327922,0.2995946702327922,99775,200825,Smp,20ppt3C_A,A,200825,99775,200825_Smp_20ppt3C_A RP B12,RP,99775,RP B12_X_RP,0.6,76.76311476,166291.6666666667,1299.7778986945318,934453,23,0.14814814814814814,2,400,1,1,RP B12,56196396,28688300,42442348,0.9211020336641822,NA,1.3299092177493022e-5,NA,C63H88CoN14O14P,63,1,8.378428071820604e-4,1.3299092177493022e-5,23.90743801015571,5.428068243412415,3.504527782634638e-5,2.450059870494996e-6,127.9385246,16.91749292,6.548792162498179e-9
Sulfurol,Inj_vol,0.5381126558826509,0.5381126558826509,314426,200825,Smp,20ppt3C_A,A,200825,314426,200825_Smp_20ppt3C_A Sulfurol,RP,314426,Sulfurol_X_RP,0.6,76.76311476,524043.3333333334,4096.055781257098,2756865,16,0.40740740740740744,1,400,1,1,Sulfurol,680619392,631831168,656225280,0.7863034750049629,NA,3.175284927153188e-6,NA,C6H9NOS,6,1,1.9051709562919127e-5,3.175284927153188e-6,23.90743801015571,5.428068243412415,7.96894654911417e-7,5.849751301499869e-7,127.9385246,16.91749292,1.489130003842418e-10
Vitamin B5,"Pyridoxal, D3",0.3358585039333279,0.178376118136365,981081,200825,Smp,20ppt3C_A,A,200825,1010992.4207750852,200825_Smp_20ppt3C_A Vitamin B5,RP,981081,Vitamin B5_X_RP,0.6,76.76311476,1684987.3679584754,13170.289193396526,18715477.00505429,9,0.6666666666666667,1,400,1,1,Vitamin B5,88008216,61721316,74864766,1.213219988134875,NA,5.80013730136366e-5,NA,C9H17NO5,9,1,5.220123571227295e-4,5.80013730136366e-5,23.90743801015571,5.428068243412415,2.1834725950182632e-5,1.0685453906005684e-5,127.9385246,16.91749292,4.080181155401018e-9
Vitamin B6,"L-Tryptophan, D3",0.18022241270286093,0.11846570230736407,725845,200825,Smp,20ppt3C_A,A,200825,898484.8581752751,200825_Smp_20ppt3C_A Vitamin B6,RP,725845,Vitamin B6_X_RP,0.6,76.76311476,1497474.7636254586,11704.643056556388,175465164.83572602,10,0.6296296296296297,1,400,1,1,Vitamin B6,566306496,541020736,553663616,0.6314841528621162,NA,1.339089868496818e-5,NA,C8H11NO3,8,1,1.0712718947974544e-4,1.339089868496818e-5,23.90743801015571,5.428068243412415,4.4809146607109715e-6,2.466973163283195e-6,127.9385246,16.91749292,8.373333193788093e-10
Xanthine,"Indole 3 Acetic Acid, D5",0.22438185232386687,0.10399397034899559,42485848,200825,Smp,20ppt3C_A,A,200825,37776074.67090984,200825_Smp_20ppt3C_A Xanthine,RP,42485848,Xanthine_X_RP,0.6,76.76311476,62960124.4515164,492112.32229198614,672000958.3729496,3,0.8888888888888888,1,400,1,1,Xanthine,36549840,10111464,23330652,1.4113261980653564,NA,0.005978193279102313,NA,C5H4N4O2,5,4,0.029890966395511566,0.023912773116409252,23.90743801015571,5.428068243412415,0.001250278945942016,0.004405392866132468,127.9385246,16.91749292,2.3363538456431104e-7
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,167503,200825,Smp,20ppt3C_B,B,200825,167503,200825_Smp_20ppt3C_B 3OC12-HSL,RP,167503,3OC12-HSL_X_RP,0.62,76.75804953,270166.12903225806,2182.2206403842165,3576281,18,0.33333333333333337,1,400,1,1,3OC12-HSL,272370112,226408096,249389104,0.770733340519836,NA,4.541266924889632e-6,NA,C16H27NO4,16,1,7.266027079823411e-5,4.541266924889632e-6,22.761155523830993,5.660026101570096,3.1922927077300008e-6,8.023402796022232e-7,123.8033057,15.94415667,5.869008940222031e-10
3OC8-HSL,"Pyridoxal, D3",0.629453070752051,0.49019044727562144,76080,200825,Smp,20ppt3C_B,B,200825,71532.9155138694,200825_Smp_20ppt3C_B 3OC8-HSL,RP,76080,3OC8-HSL_X_RP,0.62,76.75804953,115375.67018366033,931.9272174302916,1923905.0429113489,25,0.07407407407407407,1,400,1,1,3OC8-HSL,144879200,139877184,142378192,0.9802881290948726,NA,2.6708209229726215e-6,NA,C12H19NO4,12,1,3.2049851075671456e-5,2.6708209229726215e-6,22.761155523830993,5.660026101570096,1.4080941998799302e-6,4.718743120692913e-7,123.8033057,15.94415667,2.5887718340360486e-10
3OHC12-HSL,Inj_vol,0.3138469423918869,0.3138469423918869,166633,200825,Smp,20ppt3C_B,B,200825,166633,200825_Smp_20ppt3C_B 3OHC12-HSL,RP,166633,3OHC12-HSL_X_RP,0.62,76.75804953,268762.9032258064,2170.8863242398234,9928504,19,0.2962962962962963,1,400,1,1,3OHC12-HSL,263336192,209337904,236337048,1.0630912551444553,NA,3.456167020604567e-6,NA,C16H29NO4,16,1,5.529867232967307e-5,3.456167020604567e-6,22.761155523830993,5.660026101570096,2.42951955017289e-6,6.106273996944684e-7,123.8033057,15.94415667,4.4666555563284184e-10
7-dehydrocholesterol,Inj_vol,0.4057659285593424,0.4057659285593424,69007,200825,Smp,20ppt3C_B,B,200825,69007,200825_Smp_20ppt3C_B 7-dehydrocholesterol,RP,69007,7-dehydrocholesterol_X_RP,0.62,76.75804953,111301.6129032258,899.0197174438287,801867,26,0.03703703703703709,1,400,1,1,7-dehydrocholesterol,3250480,1133756,2192118,5.1487697034849464,NA,3.18611768394233e-5,NA,C27H44O,27,NA,8.602517746644291e-4,NA,22.761155523830993,5.660026101570096,3.7794732071653526e-5,NA,123.8033057,15.94415667,6.948536388430452e-9
Adenosyl Methionine,"Pyridoxal, D3",0.20093786936184893,0.05518582534394999,26621592,200825,Smp,20ppt3C_B,B,200825,25030495.417727415,200825_Smp_20ppt3C_B Adenosyl Methionine,RP,26621592,Adenosyl Methionine_X_RP,0.62,76.75804953,40371766.80278615,326096.03254632646,250765103.00201797,4,0.8518518518518519,1,400,1,1,Adenosyl Methionine,23176948,19000252,21088600,0.9088320027439033,NA,0.006805721066092866,NA,C15H22N6O5S,15,6,0.10208581599139299,0.040834326396557194,22.761155523830993,5.660026101570096,0.004485089339357523,0.0072145120294109105,123.8033057,15.94415667,8.245806960822775e-7
Agmatine,"Pyridoxal, D3",0.27964473821831304,0.11447681712334207,275517,200825,Smp,20ppt3C_B,B,200825,259050.1351687008,200825_Smp_20ppt3C_B Agmatine,RP,275517,Agmatine_X_RP,0.62,76.75804953,417822.79865919484,3374.892102585984,42618942.93793417,16,0.40740740740740744,1,400,1,1,Agmatine,111688360,102972840,107330600,0.24914393357871084,NA,5.048309933452474e-5,NA,C5H14N4,5,4,2.524154966726237e-4,2.0193239733809896e-4,22.761155523830993,5.660026101570096,1.1089748778718372e-5,3.567693747597432e-5,123.8033057,15.94415667,2.0388429472495393e-9
C14-HSL,"L-Phenylalanine, D8",0.14169400209760427,0.08547569526667295,297250,200825,Smp,20ppt3C_B,B,200825,242837.5904464839,200825_Smp_20ppt3C_B C14-HSL,RP,297250,C14-HSL_X_RP,0.62,76.75804953,391673.53297819983,3163.6758871989528,16244604.2912921,15,0.4444444444444444,1,400,1,1,C14-HSL,149173440,59044432,104108936,0.9834577129134079,NA,1.2359709891889128e-5,NA,C18H33NO3,18,1,2.224747780540043e-4,1.2359709891889128e-5,22.761155523830993,5.660026101570096,9.774318259943903e-6,2.1836842569437154e-6,123.8033057,15.94415667,1.7970019200707361e-9
Carotene,Inj_vol,0.24876858783416217,0.24876858783416217,111640,200825,Smp,20ppt3C_B,B,200825,111640,200825_Smp_20ppt3C_B Carotene,RP,111640,Carotene_X_RP,0.62,76.75804953,180064.51612903227,1454.4402923678617,3291806,22,0.18518518518518523,1,400,1,1,Carotene,1048756,488824,768790,5.4062402923046005,NA,1.399757547955279e-4,NA,C40H56,40,NA,0.005599030191821116,NA,22.761155523830993,5.660026101570096,2.4599059507145475e-4,NA,123.8033057,15.94415667,4.52252075190034e-8
Desthiobiotin,Inj_vol,0.20795488755562141,0.20795488755562141,96223,200825,Smp,20ppt3C_B,B,200825,96223,200825_Smp_20ppt3C_B Desthiobiotin,RP,96223,Desthiobiotin_X_RP,0.62,76.75804953,155198.38709677418,1253.5883935194622,1256288,23,0.14814814814814814,1,400,1,1,Desthiobiotin,244678720,177804944,211241832,1.1367082221065417,NA,2.088267007931956e-6,NA,C10H18N2O3,10,2,2.088267007931956e-5,4.176534015863912e-6,22.761155523830993,5.660026101570096,9.174696801950738e-7,7.379001334826597e-7,123.8033057,15.94415667,1.6867619132822202e-10
Glutathione,Inj_vol,0.45998365920831963,0.45998365920831963,112008,200825,Smp,20ppt3C_B,B,200825,112008,200825_Smp_20ppt3C_B Glutathione,RP,112008,Glutathione_X_RP,0.62,76.75804953,180658.06451612903,1459.234577817444,660067,21,0.2222222222222222,1,400,1,1,Glutathione,31985900,13462076,22723988,0.0248887298,Literature value,0.0010320430635483507,Literature value,C10H17N3O6S,10,3,0.010320430635483506,0.0030961291906450522,22.761155523830993,5.660026101570096,4.5342296548512163e-4,5.470167690191718e-4,123.8033057,15.94415667,8.336151104472089e-8
Hydroxo B12,Inj_vol,0.0909966581224534,0.0909966581224534,1135468,200825,Smp,20ppt3C_B,B,200825,1135468,200825_Smp_20ppt3C_B Hydroxo B12,RP,1135468,Hydroxo B12_X_RP,0.62,76.75804953,1831400,14792.819866484693,8649550,8,0.7037037037037037,2,400,1,1,Hydroxo B12,212174720,135981952,174078336,0.7131676627974644,NA,4.7662255541667354e-5,NA,C62H89CoN13O15P,62,1,0.002955059843583376,4.7662255541667354e-5,22.761155523830993,5.660026101570096,1.298290783387258e-4,8.420854371757368e-6,123.8033057,15.94415667,2.3868989821193248e-8
Indole 3 acetamide,"L-Tryptophan, D3",0.19606749936632245,0.12917385262328485,76196,200825,Smp,20ppt3C_B,B,200825,58469.12446818414,200825_Smp_20ppt3C_B Indole 3 acetamide,RP,76196,Indole 3 acetamide_X_RP,0.62,76.75804953,94305.03946481313,761.7328062163976,4633962.935049429,24,0.11111111111111116,1,400,1,1,Indole 3 acetamide,233086928,222246480,227666704,0.8806514575109674,NA,1.5197042327257276e-6,NA,C10H10N2O,10,2,1.5197042327257276e-5,3.039408465451455e-6,22.761155523830993,5.660026101570096,6.676744645651197e-7,5.369954856936651e-7,123.8033057,15.94415667,1.227515068465355e-10
Indole 3 methyl acetate,Inj_vol,0.22303827334456167,0.22303827334456167,67684,200825,Smp,20ppt3C_B,B,200825,67684,200825_Smp_20ppt3C_B Indole 3 methyl acetate,RP,67684,Indole 3 methyl acetate_X_RP,0.62,76.75804953,109167.74193548388,881.7837401345964,1550059,27,0,1,400,1,1,Indole 3 methyl acetate,59003572,33841068,46422320,0.8912208169404785,NA,8.525304791315219e-6,NA,C11H11NO2,11,1,9.377835270446741e-5,8.525304791315219e-6,22.761155523830993,5.660026101570096,4.12010508896533e-6,1.5062306495283285e-6,123.8033057,15.94415667,7.57478584067141e-10
Isobutyryl-L-carnitine,"L-Tryptophan, D3",0.10907489454654314,0.029409346606318,8689996,200825,Smp,20ppt3C_B,B,200825,6668282.557509874,200825_Smp_20ppt3C_B Isobutyryl-L-carnitine,RP,8689996,Isobutyryl-L-carnitine_X_RP,0.62,76.75804953,10755294.44759657,86874.04901949278,214226510.4371842,6,0.7777777777777778,1,400,1,1,Isobutyryl-L-carnitine,96714048,54742596,75728322,0.9478072673056788,NA,4.8414080368160855e-4,NA,C11H21NO4,11,1,0.005325548840497694,4.8414080368160855e-4,22.761155523830993,5.660026101570096,2.3397532848988398e-4,8.553685000627603e-5,123.8033057,15.94415667,4.301620873842058e-8
Kynurenine,"Riboflavin-dioxopyrimidine, 13C4, 15N2",0.12063919099795799,0.04819700056220014,616270,200825,Smp,20ppt3C_B,B,200825,436438.8495289613,200825_Smp_20ppt3C_B Kynurenine,RP,616270,Kynurenine_X_RP,0.62,76.75804953,703933.6282725182,5685.903331329234,25470493.360840306,13,0.5185185185185186,1,400,1,1,Kynurenine,97693088,54795296,76244192,0.9033506330289175,NA,3.3021465507598324e-5,NA,C10H12N2O3,10,2,0.00033021465507598326,6.604293101519665e-5,22.761155523830993,5.660026101570096,1.4507815946789152e-5,1.1668308560781422e-5,123.8033057,15.94415667,2.6672523258478975e-9
Methylthioadenosine,"L-Tryptophan, D3",0.215281330336489,0.12625504597926313,9604505,200825,Smp,20ppt3C_B,B,200825,7370032.5253333105,200825_Smp_20ppt3C_B Methylthioadenosine,RP,9604505,Methylthioadenosine_X_RP,0.62,76.75804953,11887149.234408565,96016.4122259623,128509926.3028596,5,0.8148148148148149,1,400,1,1,Methylthioadenosine,715680960,257616256,486648608,0.8762012379222064,NA,9.007123497006956e-5,NA,C11H15N5O3S,11,5,9.907835846707652e-4,4.503561748503478e-4,22.761155523830993,5.660026101570096,4.352958195085535e-5,7.956786183820224e-5,123.8033057,15.94415667,8.002884729682668e-9
RP B12,Inj_vol,0.2995946702327922,0.2995946702327922,124042,200825,Smp,20ppt3C_B,B,200825,124042,200825_Smp_20ppt3C_B RP B12,RP,124042,RP B12_X_RP,0.62,76.75804953,200067.74193548388,1616.0129231986232,934453,20,0.2592592592592593,2,400,1,1,RP B12,56196396,28688300,42442348,0.9211020336641822,NA,1.6534751704290432e-5,NA,C63H88CoN14O14P,63,1,0.0010416893573702971,1.6534751704290432e-5,22.761155523830993,5.660026101570096,4.5766101649788625e-5,2.921320751454429e-6,123.8033057,15.94415667,8.414067390853983e-9
Sulfurol,Inj_vol,0.5381126558826509,0.5381126558826509,421335,200825,Smp,20ppt3C_B,B,200825,421335,200825_Smp_20ppt3C_B Sulfurol,RP,421335,Sulfurol_X_RP,0.62,76.75804953,679572.5806451613,5489.131141032005,2756865,14,0.4814814814814815,1,400,1,1,Sulfurol,680619392,631831168,656225280,0.7863034750049629,NA,4.255204593414228e-6,NA,C6H9NOS,6,1,2.553122756048537e-5,4.255204593414228e-6,22.761155523830993,5.660026101570096,1.1217017314324883e-6,7.517994647116258e-7,123.8033057,15.94415667,2.062241182990106e-10
Vitamin B5,"Pyridoxal, D3",0.3358585039333279,0.178376118136365,993190,200825,Smp,20ppt3C_B,B,200825,933829.8680233959,200825_Smp_20ppt3C_B Vitamin B5,RP,993190,Vitamin B5_X_RP,0.62,76.75804953,1506177.2064893483,12165.888447418394,18715477.00505429,9,0.6666666666666667,1,400,1,1,Vitamin B5,88008216,61721316,74864766,1.213219988134875,NA,5.357803640597412e-5,NA,C9H17NO5,9,1,4.822023276537671e-4,5.357803640597412e-5,22.761155523830993,5.660026101570096,2.1185318432049722e-5,9.466040517218028e-6,123.8033057,15.94415667,3.894906722622086e-9
Vitamin B6,"L-Tryptophan, D3",0.18022241270286093,0.11846570230736407,725845,200825,Smp,20ppt3C_B,B,200825,556978.3407214173,200825_Smp_20ppt3C_B Vitamin B6,RP,725845,Vitamin B6_X_RP,0.62,76.75804953,898352.1624538989,7256.285746340242,175465164.83572602,11,0.5925925925925926,1,400,1,1,Vitamin B6,566306496,541020736,553663616,0.6314841528621162,NA,8.301678811468914e-6,NA,C8H11NO3,8,1,6.641343049175131e-5,8.301678811468914e-6,22.761155523830993,5.660026101570096,2.9178408988162426e-6,1.46672094129849e-6,123.8033057,15.94415667,5.36443111241991e-10
Xanthine,"Indole 3 Acetic Acid, D5",0.22438185232386687,0.10399397034899559,42309276,200825,Smp,20ppt3C_B,B,200825,36930208.0630553,200825_Smp_20ppt3C_B Xanthine,RP,42309276,Xanthine_X_RP,0.62,76.75804953,59564851.714605324,481124.88904009416,672000958.3729496,3,0.8888888888888888,1,400,1,1,Xanthine,36549840,10111464,23330652,1.4113261980653564,NA,0.0058447176544418255,NA,C5H4N4O2,5,4,0.02922358827220913,0.023378870617767302,22.761155523830993,5.660026101570096,0.0012839237551719178,0.004130523463713707,123.8033057,15.94415667,2.3604852961700141e-7
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,413953,200825,Smp,20ppt3C_C,C,200825,413953,200825_Smp_20ppt3C_C 3OC12-HSL,RP,413953,3OC12-HSL_X_RP,0.6,64.52739864,689921.6666666667,6415.150908367689,3576281,13,0.45833333333333337,1,400,1,1,3OC12-HSL,272370112,226408096,249389104,0.770733340519836,NA,1.3350122393314238e-5,NA,C16H27NO4,16,1,2.136019582930278e-4,1.3350122393314238e-5,27.932430407312822,8.849865044187373,7.647095336075946e-6,1.5085114096833208e-6,107.5456644,14.40024401,1.98615127336577e-9
3OC8-HSL,"Pyridoxal, D3",0.629453070752051,0.49019044727562144,348679,200825,Smp,20ppt3C_C,C,200825,464282.9928013463,200825_Smp_20ppt3C_C 3OC8-HSL,RP,348679,3OC8-HSL_X_RP,0.6,64.52739864,773804.9880022438,7195.129550961646,1923905.0429113489,14,0.41666666666666663,1,400,1,1,3OC8-HSL,144879200,139877184,142378192,0.9802881290948726,NA,2.062060447295005e-5,NA,C12H19NO4,12,1,2.474472536754006e-4,2.062060447295005e-5,27.932430407312822,8.849865044187373,8.858779922373597e-6,2.3300473363143254e-6,107.5456644,14.40024401,2.3008575478696897e-9
