MassFeature,FinalBMIS,Orig_RSD,FinalRSD,Filled_area,runDate,type,SampID,replicate,Date,Adjusted_Area,Run.Cmpd,Column,Area,MassFeature_Column,Volume_filtered_L,umolCFiltered,Adjusted_Area_VolNormed,Adjusted_Area_CNormed,Datsum,Rank,RankPercent
Indole 3 acetamide,"L-Tryptophan, D3",0.19606749936632245,0.12917385262328485,109083,200825,Smp,20ppt3C_A,A,200825,135028.03461391004,200825_Smp_20ppt3C_A Indole 3 acetamide,RP,109083,Indole 3 acetamide_X_RP,0.6,76.76311476,225046.72435651676,1759.0223512435032,5056041.412763074,22,0.18518518518518523
Indole 3 methyl acetate,Inj_vol,0.22303827334456167,0.22303827334456167,64263,200825,Smp,20ppt3C_A,A,200825,64263,200825_Smp_20ppt3C_A Indole 3 methyl acetate,RP,64263,Indole 3 methyl acetate_X_RP,0.6,76.76311476,107105,837.1598807697991,1554794,25,0.07407407407407407
Isobutyryl-L-carnitine,"L-Tryptophan, D3",0.10907489454654314,0.029409346606318,6889456,200825,Smp,20ppt3C_A,A,200825,8528090.566256981,200825_Smp_20ppt3C_A Isobutyryl-L-carnitine,RP,6889456,Isobutyryl-L-carnitine_X_RP,0.6,76.76311476,14213484.27709497,111096.2028172003,233712089.85908124,6,0.7777777777777778
Kynurenine,"L-Tryptophan, D3",0.12063919099795799,0.0717777809499295,616270,200825,Smp,20ppt3C_A,A,200825,762847.8029712636,200825_Smp_20ppt3C_A Kynurenine,RP,616270,Kynurenine_X_RP,0.6,76.76311476,1271413.0049521062,9937.686939310743,25199545.190090552,12,0.5555555555555556
Methylthioadenosine,"L-Tryptophan, D3",0.215281330336489,0.12625504597926313,12307646,200825,Smp,20ppt3C_A,A,200825,15234979.328619048,200825_Smp_20ppt3C_A Methylthioadenosine,RP,12307646,Methylthioadenosine_X_RP,0.6,76.76311476,25391632.21436508,198467.4459374302,132355171.61632897,5,0.8148148148148149
Phenylalanine,"L-Phenylalanine, D8",0.09603731843108848,0.019679772116268663,874216832,200825,Smp,20ppt3C_A,A,200825,801484477.4447639,200825_Smp_20ppt3C_A Phenylalanine,RP,874216832,Phenylalanine_X_RP,0.6,76.76311476,1335807462.40794,10441010.372632826,18052298893.416912,1,0.962962962962963
Pyridoxal,"Pyridoxal, D3",0.269915162357458,0.10915616510032004,657499,200825,Smp,20ppt3C_A,A,200825,677544.9791273074,200825_Smp_20ppt3C_A Pyridoxal,RP,657499,Pyridoxal_X_RP,0.6,76.76311476,1129241.6318788459,8826.439381018514,27644545.589690953,11,0.5925925925925926
RP B12,Inj_vol,0.2995946702327922,0.2995946702327922,99775,200825,Smp,20ppt3C_A,A,200825,99775,200825_Smp_20ppt3C_A RP B12,RP,99775,RP B12_X_RP,0.6,76.76311476,166291.6666666667,1299.7778986945318,942524,23,0.14814814814814814
Sulfurol,Inj_vol,0.5381126558826509,0.5381126558826509,314426,200825,Smp,20ppt3C_A,A,200825,314426,200825_Smp_20ppt3C_A Sulfurol,RP,314426,Sulfurol_X_RP,0.6,76.76311476,524043.3333333334,4096.055781257098,2756965,16,0.40740740740740744
Tryptophan,"L-Tryptophan, D3",0.09721698250854124,0.028534627366679742,81476976,200825,Smp,20ppt3C_A,A,200825,100856008.13659982,200825_Smp_20ppt3C_A Tryptophan,RP,81476976,Tryptophan_X_RP,0.6,76.76311476,168093346.89433303,1313860.2889151424,1463520794.03966,2,0.9259259259259259
Vitamin B1,"Pyridoxal, D3",0.17902197531389755,0.06939483841903514,4346353,200825,Smp,20ppt3C_A,A,200825,4478865.599285945,200825_Smp_20ppt3C_A Vitamin B1,RP,4346353,Vitamin B1_X_RP,0.6,76.76311476,7464775.998809909,58346.584987974056,40112235.167430304,7,0.7407407407407407
Vitamin B2,Inj_vol,0.08922108145730939,0.08922108145730939,564676,200825,Smp,20ppt3C_A,A,200825,564676,200825_Smp_20ppt3C_A Vitamin B2,RP,564676,Vitamin B2_X_RP,0.6,76.76311476,941126.6666666667,7356.085038569116,8909489,13,0.5185185185185186
Vitamin B5,"Pyridoxal, D3",0.3358585039333279,0.178376118136365,981081,200825,Smp,20ppt3C_A,A,200825,1010992.4207750852,200825_Smp_20ppt3C_A Vitamin B5,RP,981081,Vitamin B5_X_RP,0.6,76.76311476,1684987.3679584754,13170.289193396526,18733394.75107697,9,0.6666666666666667
Vitamin B6,"L-Tryptophan, D3",0.18022241270286093,0.11846570230736407,725845,200825,Smp,20ppt3C_A,A,200825,898484.8581752751,200825_Smp_20ppt3C_A Vitamin B6,RP,725845,Vitamin B6_X_RP,0.6,76.76311476,1497474.7636254586,11704.643056556388,175957840.76440942,10,0.6296296296296297
Xanthine,"Indole 3 Acetic Acid, D5",0.22438185232386687,0.10399397034899559,42485848,200825,Smp,20ppt3C_A,A,200825,37776074.67090984,200825_Smp_20ppt3C_A Xanthine,RP,42485848,Xanthine_X_RP,0.6,76.76311476,62960124.4515164,492112.32229198614,747726698.8146259,3,0.8888888888888888
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,167503,200825,Smp,20ppt3C_B,B,200825,167503,200825_Smp_20ppt3C_B 3OC12-HSL,RP,167503,3OC12-HSL_X_RP,0.62,76.75804953,270166.12903225806,2182.2206403842165,3756577,18,0.33333333333333337
3OC8-HSL,"Pyridoxal, D3",0.629453070752051,0.49019044727562144,76080,200825,Smp,20ppt3C_B,B,200825,71532.9155138694,200825_Smp_20ppt3C_B 3OC8-HSL,RP,76080,3OC8-HSL_X_RP,0.62,76.75804953,115375.67018366033,931.9272174302916,1924023.5621997647,25,0.07407407407407407
3OHC12-HSL,Inj_vol,0.3138469423918869,0.3138469423918869,166633,200825,Smp,20ppt3C_B,B,200825,166633,200825_Smp_20ppt3C_B 3OHC12-HSL,RP,166633,3OHC12-HSL_X_RP,0.62,76.75804953,268762.9032258064,2170.8863242398234,10309986,19,0.2962962962962963
7-dehydrocholesterol,Inj_vol,0.4057659285593424,0.4057659285593424,69007,200825,Smp,20ppt3C_B,B,200825,69007,200825_Smp_20ppt3C_B 7-dehydrocholesterol,RP,69007,7-dehydrocholesterol_X_RP,0.62,76.75804953,111301.6129032258,899.0197174438287,801967,26,0.03703703703703709
Adenosyl Methionine,"Pyridoxal, D3",0.20093786936184893,0.05518582534394999,26621592,200825,Smp,20ppt3C_B,B,200825,25030495.417727415,200825_Smp_20ppt3C_B Adenosyl Methionine,RP,26621592,Adenosyl Methionine_X_RP,0.62,76.75804953,40371766.80278615,326096.03254632646,257787187.13574794,4,0.8518518518518519
Agmatine,"Pyridoxal, D3",0.27964473821831304,0.11447681712334207,275517,200825,Smp,20ppt3C_B,B,200825,259050.1351687008,200825_Smp_20ppt3C_B Agmatine,RP,275517,Agmatine_X_RP,0.62,76.75804953,417822.79865919484,3374.892102585984,42673685.81206047,16,0.40740740740740744
C14-HSL,"L-Phenylalanine, D8",0.14169400209760427,0.08547569526667295,297250,200825,Smp,20ppt3C_B,B,200825,242837.5904464839,200825_Smp_20ppt3C_B C14-HSL,RP,297250,C14-HSL_X_RP,0.62,76.75804953,391673.53297819983,3163.6758871989528,16489325.998204699,15,0.4444444444444444
Carotene,Inj_vol,0.24876858783416217,0.24876858783416217,111640,200825,Smp,20ppt3C_B,B,200825,111640,200825_Smp_20ppt3C_B Carotene,RP,111640,Carotene_X_RP,0.62,76.75804953,180064.51612903227,1454.4402923678617,3403400,22,0.18518518518518523
Desthiobiotin,Inj_vol,0.20795488755562141,0.20795488755562141,96223,200825,Smp,20ppt3C_B,B,200825,96223,200825_Smp_20ppt3C_B Desthiobiotin,RP,96223,Desthiobiotin_X_RP,0.62,76.75804953,155198.38709677418,1253.5883935194622,1332948,23,0.14814814814814814
Glutathione,Inj_vol,0.45998365920831963,0.45998365920831963,112008,200825,Smp,20ppt3C_B,B,200825,112008,200825_Smp_20ppt3C_B Glutathione,RP,112008,Glutathione_X_RP,0.62,76.75804953,180658.06451612903,1459.234577817444,703694,21,0.2222222222222222
Hydroxo B12,Inj_vol,0.0909966581224534,0.0909966581224534,1135468,200825,Smp,20ppt3C_B,B,200825,1135468,200825_Smp_20ppt3C_B Hydroxo B12,RP,1135468,Hydroxo B12_X_RP,0.62,76.75804953,1831400,14792.819866484693,8754670,8,0.7037037037037037
IAA,"Indole 3 Acetic Acid, D5",0.1318408012182572,0.03268687699011025,218257,200825,Smp,20ppt3C_B,B,200825,190508.4932490516,200825_Smp_20ppt3C_B IAA,RP,218257,IAA_X_RP,0.62,76.75804953,307271.7633049219,2481.9350467548497,10844342.311868103,17,0.37037037037037035
Indole 3 acetamide,"L-Tryptophan, D3",0.19606749936632245,0.12917385262328485,76196,200825,Smp,20ppt3C_B,B,200825,58469.12446818414,200825_Smp_20ppt3C_B Indole 3 acetamide,RP,76196,Indole 3 acetamide_X_RP,0.62,76.75804953,94305.03946481313,761.7328062163976,5056041.412763074,24,0.11111111111111116
Indole 3 methyl acetate,Inj_vol,0.22303827334456167,0.22303827334456167,67684,200825,Smp,20ppt3C_B,B,200825,67684,200825_Smp_20ppt3C_B Indole 3 methyl acetate,RP,67684,Indole 3 methyl acetate_X_RP,0.62,76.75804953,109167.74193548388,881.7837401345964,1554794,27,0
Isobutyryl-L-carnitine,"L-Tryptophan, D3",0.10907489454654314,0.029409346606318,8689996,200825,Smp,20ppt3C_B,B,200825,6668282.557509874,200825_Smp_20ppt3C_B Isobutyryl-L-carnitine,RP,8689996,Isobutyryl-L-carnitine_X_RP,0.62,76.75804953,10755294.44759657,86874.04901949278,233712089.85908124,6,0.7777777777777778
Kynurenine,"L-Tryptophan, D3",0.12063919099795799,0.0717777809499295,616270,200825,Smp,20ppt3C_B,B,200825,472895.78634059324,200825_Smp_20ppt3C_B Kynurenine,RP,616270,Kynurenine_X_RP,0.62,76.75804953,762735.1392590214,6160.862466362793,25199545.190090552,13,0.5185185185185186
Methylthioadenosine,"L-Tryptophan, D3",0.215281330336489,0.12625504597926313,9604505,200825,Smp,20ppt3C_B,B,200825,7370032.5253333105,200825_Smp_20ppt3C_B Methylthioadenosine,RP,9604505,Methylthioadenosine_X_RP,0.62,76.75804953,11887149.234408565,96016.4122259623,132355171.61632897,5,0.8148148148148149
Phenylalanine,"L-Phenylalanine, D8",0.09603731843108848,0.019679772116268663,881355264,200825,Smp,20ppt3C_B,B,200825,720020819.6369544,200825_Smp_20ppt3C_B Phenylalanine,RP,881355264,Phenylalanine_X_RP,0.62,76.75804953,1161323902.640249,9380394.942885341,18052298893.416912,1,0.962962962962963
Pyridoxal,"Pyridoxal, D3",0.269915162357458,0.10915616510032004,657499,200825,Smp,20ppt3C_B,B,200825,618202.1611126922,200825_Smp_20ppt3C_B Pyridoxal,RP,657499,Pyridoxal_X_RP,0.62,76.75804953,997100.259859181,8053.9065921819065,27644545.589690953,12,0.5555555555555556
RP B12,Inj_vol,0.2995946702327922,0.2995946702327922,124042,200825,Smp,20ppt3C_B,B,200825,124042,200825_Smp_20ppt3C_B RP B12,RP,124042,RP B12_X_RP,0.62,76.75804953,200067.74193548388,1616.0129231986232,942524,20,0.2592592592592593
Sulfurol,Inj_vol,0.5381126558826509,0.5381126558826509,421335,200825,Smp,20ppt3C_B,B,200825,421335,200825_Smp_20ppt3C_B Sulfurol,RP,421335,Sulfurol_X_RP,0.62,76.75804953,679572.5806451613,5489.131141032005,2756965,14,0.4814814814814815
Tryptophan,"L-Tryptophan, D3",0.09721698250854124,0.028534627366679742,82175520,200825,Smp,20ppt3C_B,B,200825,63057518.86080313,200825_Smp_20ppt3C_B Tryptophan,RP,82175520,Tryptophan_X_RP,0.62,76.75804953,101705675.58194053,821510.1770682413,1463520794.03966,2,0.9259259259259259
Vitamin B1,"Pyridoxal, D3",0.17902197531389755,0.06939483841903514,5316278,200825,Smp,20ppt3C_B,B,200825,4998539.235308131,200825_Smp_20ppt3C_B Vitamin B1,RP,5316278,Vitamin B1_X_RP,0.62,76.75804953,8062160.0569485985,65120.717187511524,40112235.167430304,7,0.7407407407407407
Vitamin B2,Inj_vol,0.08922108145730939,0.08922108145730939,742193,200825,Smp,20ppt3C_B,B,200825,742193,200825_Smp_20ppt3C_B Vitamin B2,RP,742193,Vitamin B2_X_RP,0.62,76.75804953,1197085.4838709678,9669.252990983343,8909489,10,0.6296296296296297
Vitamin B5,"Pyridoxal, D3",0.3358585039333279,0.178376118136365,993190,200825,Smp,20ppt3C_B,B,200825,933829.8680233959,200825_Smp_20ppt3C_B Vitamin B5,RP,993190,Vitamin B5_X_RP,0.62,76.75804953,1506177.2064893483,12165.888447418394,18733394.75107697,9,0.6666666666666667
Vitamin B6,"L-Tryptophan, D3",0.18022241270286093,0.11846570230736407,725845,200825,Smp,20ppt3C_B,B,200825,556978.3407214173,200825_Smp_20ppt3C_B Vitamin B6,RP,725845,Vitamin B6_X_RP,0.62,76.75804953,898352.1624538989,7256.285746340242,175957840.76440942,11,0.5925925925925926
Xanthine,"Indole 3 Acetic Acid, D5",0.22438185232386687,0.10399397034899559,42309276,200825,Smp,20ppt3C_B,B,200825,36930208.0630553,200825_Smp_20ppt3C_B Xanthine,RP,42309276,Xanthine_X_RP,0.62,76.75804953,59564851.714605324,481124.88904009416,747726698.8146259,3,0.8888888888888888
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,413953,200825,Smp,20ppt3C_C,C,200825,413953,200825_Smp_20ppt3C_C 3OC12-HSL,RP,413953,3OC12-HSL_X_RP,0.6,64.52739864,689921.6666666667,6415.150908367689,3756577,13,0.45833333333333337
3OC8-HSL,"Pyridoxal, D3",0.629453070752051,0.49019044727562144,348679,200825,Smp,20ppt3C_C,C,200825,464282.9928013463,200825_Smp_20ppt3C_C 3OC8-HSL,RP,348679,3OC8-HSL_X_RP,0.6,64.52739864,773804.9880022438,7195.129550961646,1924023.5621997647,14,0.41666666666666663
3OHC12-HSL,Inj_vol,0.3138469423918869,0.3138469423918869,166633,200825,Smp,20ppt3C_C,C,200825,166633,200825_Smp_20ppt3C_C 3OHC12-HSL,RP,166633,3OHC12-HSL_X_RP,0.6,64.52739864,277721.6666666667,2582.36041607147,10309986,18,0.25
7-dehydrocholesterol,Inj_vol,0.4057659285593424,0.4057659285593424,100,200825,Smp,20ppt3C_C,C,200825,100,200825_Smp_20ppt3C_C 7-dehydrocholesterol,RP,100,7-dehydrocholesterol_X_RP,0.6,64.52739864,166.66666666666669,1.549729294960464,801967,24,0
Adenosyl Methionine,"Pyridoxal, D3",0.20093786936184893,0.05518582534394999,12754672,200825,Smp,20ppt3C_C,C,200825,16983464.127061088,200825_Smp_20ppt3C_C Adenosyl Methionine,RP,12754672,Adenosyl Methionine_X_RP,0.6,64.52739864,28305773.545101814,263197.7188761671,257787187.13574794,4,0.8333333333333334
Agmatine,"Pyridoxal, D3",0.27964473821831304,0.11447681712334207,100,200825,Smp,20ppt3C_C,C,200825,133.15484809849355,200825_Smp_20ppt3C_C Agmatine,RP,100,Agmatine_X_RP,0.6,64.52739864,221.92474683082258,2.063539688642461,42673685.81206047,24,0
C14-HSL,"L-Phenylalanine, D8",0.14169400209760427,0.08547569526667295,297250,200825,Smp,20ppt3C_C,C,200825,390154.7393260144,200825_Smp_20ppt3C_C C14-HSL,RP,297250,C14-HSL_X_RP,0.6,64.52739864,650257.8988766908,6046.342291011879,16489325.998204699,15,0.375
Carotene,Inj_vol,0.24876858783416217,0.24876858783416217,100,200825,Smp,20ppt3C_C,C,200825,100,200825_Smp_20ppt3C_C Carotene,RP,100,Carotene_X_RP,0.6,64.52739864,166.66666666666669,1.549729294960464,3403400,24,0
Desthiobiotin,Inj_vol,0.20795488755562141,0.20795488755562141,67140,200825,Smp,20ppt3C_C,C,200825,67140,200825_Smp_20ppt3C_C Desthiobiotin,RP,67140,Desthiobiotin_X_RP,0.6,64.52739864,111900,1040.4882486364554,1332948,21,0.125
Glutathione,Inj_vol,0.45998365920831963,0.45998365920831963,100,200825,Smp,20ppt3C_C,C,200825,100,200825_Smp_20ppt3C_C Glutathione,RP,100,Glutathione_X_RP,0.6,64.52739864,166.66666666666669,1.549729294960464,703694,24,0
Hydroxo B12,Inj_vol,0.0909966581224534,0.0909966581224534,918480,200825,Smp,20ppt3C_C,C,200825,918480,200825_Smp_20ppt3C_C Hydroxo B12,RP,918480,Hydroxo B12_X_RP,0.6,64.52739864,1530800,14233.953628352869,8754670,8,0.6666666666666667
IAA,"Indole 3 Acetic Acid, D5",0.1318408012182572,0.03268687699011025,264204,200825,Smp,20ppt3C_C,C,200825,298389.68928370404,200825_Smp_20ppt3C_C IAA,RP,264204,IAA_X_RP,0.6,64.52739864,497316.1488061734,4624.232427971066,10844342.311868103,17,0.29166666666666663
Indole 3 acetamide,"L-Tryptophan, D3",0.19606749936632245,0.12917385262328485,99434,200825,Smp,20ppt3C_C,C,200825,113161.4706742681,200825_Smp_20ppt3C_C Indole 3 acetamide,RP,99434,Indole 3 acetamide_X_RP,0.6,64.52739864,188602.45112378016,1753.6964616472271,5056041.412763074,20,0.16666666666666663
Indole 3 methyl acetate,Inj_vol,0.22303827334456167,0.22303827334456167,12505,200825,Smp,20ppt3C_C,C,200825,12505,200825_Smp_20ppt3C_C Indole 3 methyl acetate,RP,12505,Indole 3 methyl acetate_X_RP,0.6,64.52739864,20841.666666666668,193.79364833480602,1554794,23,0.04166666666666663
Isobutyryl-L-carnitine,"L-Tryptophan, D3",0.10907489454654314,0.029409346606318,5737169,200825,Smp,20ppt3C_C,C,200825,6529220.2018104475,200825_Smp_20ppt3C_C Isobutyryl-L-carnitine,RP,5737169,Isobutyryl-L-carnitine_X_RP,0.6,64.52739864,10882033.66968408,101185.23819993323,233712089.85908124,6,0.75
Kynurenine,"L-Tryptophan, D3",0.12063919099795799,0.0717777809499295,616270,200825,Smp,20ppt3C_C,C,200825,701349.8353926344,200825_Smp_20ppt3C_C Kynurenine,RP,616270,Kynurenine_X_RP,0.6,64.52739864,1168916.3923210574,10869.023859236648,25199545.190090552,12,0.5
Methylthioadenosine,"L-Tryptophan, D3",0.215281330336489,0.12625504597926313,8448353,200825,Smp,20ppt3C_C,C,200825,9614699.702871904,200825_Smp_20ppt3C_C Methylthioadenosine,RP,8448353,Methylthioadenosine_X_RP,0.6,64.52739864,16024499.504786506,149001.81791788258,132355171.61632897,5,0.7916666666666666
Phenylalanine,"L-Phenylalanine, D8",0.09603731843108848,0.019679772116268663,439652096,200825,Smp,20ppt3C_C,C,200825,577064252.0067817,200825_Smp_20ppt3C_C Phenylalanine,RP,439652096,Phenylalanine_X_RP,0.6,64.52739864,961773753.3446362,8942933.764093572,18052298893.416912,1,0.9583333333333334
Pyridoxal,"Pyridoxal, D3",0.269915162357458,0.10915616510032004,657499,200825,Smp,20ppt3C_C,C,200825,875491.794699114,200825_Smp_20ppt3C_C Pyridoxal,RP,657499,Pyridoxal_X_RP,0.6,64.52739864,1459152.9911651902,13567.752817427292,27644545.589690953,11,0.5416666666666667
RP B12,Inj_vol,0.2995946702327922,0.2995946702327922,106938,200825,Smp,20ppt3C_C,C,200825,106938,200825_Smp_20ppt3C_C RP B12,RP,106938,RP B12_X_RP,0.6,64.52739864,178230,1657.2495134448209,942524,19,0.20833333333333337
Sulfurol,Inj_vol,0.5381126558826509,0.5381126558826509,29953,200825,Smp,20ppt3C_C,C,200825,29953,200825_Smp_20ppt3C_C Sulfurol,RP,29953,Sulfurol_X_RP,0.6,64.52739864,49921.66666666667,464.19041571950777,2756965,22,0.08333333333333337
Tryptophan,"L-Tryptophan, D3",0.09721698250854124,0.028534627366679742,47884720,200825,Smp,20ppt3C_C,C,200825,54495497.89836011,200825_Smp_20ppt3C_C Tryptophan,RP,47884720,Tryptophan_X_RP,0.6,64.52739864,90825829.83060019,844532.6953654506,1463520794.03966,2,0.9166666666666666
Vitamin B1,"Pyridoxal, D3",0.17902197531389755,0.06939483841903514,4796084,200825,Smp,20ppt3C_C,C,200825,6386218.364876153,200825_Smp_20ppt3C_C Vitamin B1,RP,4796084,Vitamin B1_X_RP,0.6,64.52739864,10643697.27479359,98969.09684063087,40112235.167430304,7,0.7083333333333333
Vitamin B2,Inj_vol,0.08922108145730939,0.08922108145730939,293374,200825,Smp,20ppt3C_C,C,200825,293374,200825_Smp_20ppt3C_C Vitamin B2,RP,293374,Vitamin B2_X_RP,0.6,64.52739864,488956.6666666667,4546.502821797311,8909489,16,0.33333333333333337
Vitamin B5,"Pyridoxal, D3",0.3358585039333279,0.178376118136365,899170,200825,Smp,20ppt3C_C,C,200825,1197288.4476472244,200825_Smp_20ppt3C_C Vitamin B5,RP,899170,Vitamin B5_X_RP,0.6,64.52739864,1995480.7460787075,18554.729818366413,18733394.75107697,9,0.625
Vitamin B6,"L-Tryptophan, D3",0.18022241270286093,0.11846570230736407,725845,200825,Smp,20ppt3C_C,C,200825,826052.3330205376,200825_Smp_20ppt3C_C Vitamin B6,RP,725845,Vitamin B6_X_RP,0.6,64.52739864,1376753.8883675628,12801.574996523641,175957840.76440942,10,0.5833333333333333
Xanthine,"Indole 3 Acetic Acid, D5",0.22438185232386687,0.10399397034899559,15154452,200825,Smp,20ppt3C_C,C,200825,17115305.686306063,200825_Smp_20ppt3C_C Xanthine,RP,15154452,Xanthine_X_RP,0.6,64.52739864,28525509.477176774,265240.90614271915,747726698.8146259,3,0.875
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,359780,200825,Smp,35ppt0C_A,A,200825,359780,200825_Smp_35ppt0C_A 3OC12-HSL,RP,359780,3OC12-HSL_X_RP,0.62,84.00397013,580290.3225806452,4282.8928137946805,3756577,17,0.37037037037037035
3OC8-HSL,"Pyridoxal, D3",0.629453070752051,0.49019044727562144,162193,200825,Smp,35ppt0C_A,A,200825,218348.18502947205,200825_Smp_35ppt0C_A 3OC8-HSL,RP,162193,3OC8-HSL_X_RP,0.62,84.00397013,352174.49198301946,2599.260305097107,1924023.5621997647,23,0.14814814814814814
3OHC12-HSL,Inj_vol,0.3138469423918869,0.3138469423918869,333739,200825,Smp,35ppt0C_A,A,200825,333739,200825_Smp_35ppt0C_A 3OHC12-HSL,RP,333739,3OHC12-HSL_X_RP,0.62,84.00397013,538288.7096774194,3972.8955605731917,10309986,18,0.33333333333333337
7-dehydrocholesterol,Inj_vol,0.4057659285593424,0.4057659285593424,178038,200825,Smp,35ppt0C_A,A,200825,178038,200825_Smp_35ppt0C_A 7-dehydrocholesterol,RP,178038,7-dehydrocholesterol_X_RP,0.62,84.00397013,287158.06451612903,2119.399829847066,801967,22,0.18518518518518523
Adenosyl Methionine,"Pyridoxal, D3",0.20093786936184893,0.05518582534394999,19730250,200825,Smp,35ppt0C_A,A,200825,26561345.29651551,200825_Smp_35ppt0C_A Adenosyl Methionine,RP,19730250,Adenosyl Methionine_X_RP,0.62,84.00397013,42840879.51050889,316191.54732104455,257787187.13574794,3,0.8888888888888888
Agmatine,"Pyridoxal, D3",0.27964473821831304,0.11447681712334207,320092,200825,Smp,35ppt0C_A,A,200825,430915.68219623383,200825_Smp_35ppt0C_A Agmatine,RP,320092,Agmatine_X_RP,0.62,84.00397013,695025.2938648933,5129.706149951866,42673685.81206047,19,0.2962962962962963
C14-HSL,"L-Phenylalanine, D8",0.14169400209760427,0.08547569526667295,951535,200825,Smp,35ppt0C_A,A,200825,1066942.0221368913,200825_Smp_35ppt0C_A C14-HSL,RP,951535,C14-HSL_X_RP,0.62,84.00397013,1720874.2292530504,12701.090442341589,16489325.998204699,12,0.5555555555555556
Carotene,Inj_vol,0.24876858783416217,0.24876858783416217,588577,200825,Smp,35ppt0C_A,A,200825,588577,200825_Smp_35ppt0C_A Carotene,RP,588577,Carotene_X_RP,0.62,84.00397013,949317.7419354839,7006.537894448918,3403400,15,0.4444444444444444
