Identification,MassFeature_Column,Date,RFmax,RFmin,RF,RFratio,RFratioFlag
Dimethylsulfonioacetate (DMS-Ac),Dimethylsulfonioacetate (DMS-Ac)_X_HILICPos,200821,282902272,221366672,252134472,0.9364405313817805,NA
DMSP,DMSP_X_HILICPos,200821,379205792,253701088,316453440,0.8689390209347154,NA
Ectoine,Ectoine_X_HILICPos,200821,797561472,650853440,724207456,0.8153174039487172,NA
Ethyl Dihydroxybenzoate,Ethyl Dihydroxybenzoate_X_HILICNeg,200821,30591284,15571420,23081352,0.9415993110549923,NA
FAD,FAD_X_HILICNeg,200821,8057162,4839968,6448565,0.7250896684341862,NA
Fructose 6 phosphate,Fructose 6 phosphate_X_HILICNeg,200821,3195024.5,2895577,3045300.75,0.8819033941108954,NA
Gluconic Acid,Gluconic Acid_X_HILICNeg,200821,81569912,69569360,75569636,1.033997714217083,NA
Glucose 1 phosphate,Glucose 1 phosphate_X_HILICNeg,200821,5546037,4990269.5,5268153.25,0.8282605368630698,NA
Glucose 6 phosphate,Glucose 6 phosphate_X_HILICNeg,200821,3589665.25,3384167.25,3486916.25,1.1890336640493473,NA
Glucosylglycerol,Glucosylglycerol_X_HILICPos,200821,2135378.75,1486783.75,1811081.25,1.5728949223545547,NA
Glutamic acid,Glutamic acid_X_HILICPos,200821,15612277,13353617,14482947,1.692480604672299,NA
Glutamine,Glutamine_X_HILICPos,200821,53671912,41966268,47819090,0.9035620590485672,NA
Glutathione,Glutathione_X_RP,200825,31985900,13462076,22723988,0.0248887298,Literature value
Glutathione Disulfide,Glutathione Disulfide_X_HILICPos,200821,2575510,2490756.25,2533133.125,0.7645679378677415,NA
glycerol 3 phosphate,glycerol 3 phosphate_X_HILICNeg,200821,5561907,4705450.5,5133678.75,1.0275001887320574,NA
Glycerophosphocholine,Glycerophosphocholine_X_HILICPos,200821,95102816,89048104,92075460,2.1455167341319523,NA
Glycine,Glycine_X_HILICPos,200821,2690345.25,2182565.75,2436455.5,0.8509920425996018,NA
GMP,GMP_X_HILICNeg,200821,3222048.75,2639840.75,2930944.75,0.9488447462983991,NA
Gonyol,Gonyol_X_HILICPos,200821,30501442,22364482,26432962,1.1297021813067452,NA
Guanine,Guanine_X_HILICPos,200821,76265960,66028680,71147320,0.6381820156412793,NA
Guanosine,Guanosine_X_HILICPos,200821,37312308,36150508,36731408,0.9696590212918228,NA
Histidine,Histidine_X_HILICPos,200821,154899136,119995128,137447132,0.8079154468844396,NA
Homarine,Homarine_X_HILICPos,200821,40085624,32627858,36356741,1.2165977247093434,NA
Homoserine,Homoserine_X_HILICPos,200821,30598664,28007894,29303279,0.72586524411149,NA
Hydroxo B12,Hydroxo B12_X_RP,200825,212174720,135981952,174078336,0.7131676627974644,NA
Hypotaurine,Hypotaurine_X_HILICPos,200821,77099.75,64252.25,70676,1.9050659189152777,NA
Hypoxanthine,Hypoxanthine_X_HILICPos,200821,275192576,266949872,271071224,0.87110214495947,NA
IAA,IAA_X_RP,200825,24293632,6914024,15603828,0.8936629779096529,NA
Indole 3 acetamide,Indole 3 acetamide_X_RP,200825,233086928,222246480,227666704,0.8806514575109674,NA
Indole 3 methyl acetate,Indole 3 methyl acetate_X_RP,200825,59003572,33841068,46422320,0.8912208169404785,NA
Inosine,Inosine_X_HILICNeg,200821,33144084,21211340,27177712,0.8932357735877461,NA
Isethionic Acid,Isethionic Acid_X_HILICNeg,200821,122415440,76510320,99462880,0.6007744085413094,NA
Isobutyryl-L-carnitine,Isobutyryl-L-carnitine_X_RP,200825,96714048,54742596,75728322,0.9478072673056788,NA
Ketoglutaric Acid,Ketoglutaric Acid_X_HILICNeg,200821,18365008,14293757,16329382.5,0.9743331906203716,NA
Kynurenine,Kynurenine_X_RP,200825,97693088,54795296,76244192,0.9033506330289175,NA
L-Pyroglutamic acid,L-Pyroglutamic acid_X_HILICNeg,200821,78501120,48485832,63493476,0.7466459859115662,NA
Leucine,Leucine_X_HILICPos,200821,110801176,56887152,83844164,0.9414548496692643,NA
Lysine,Lysine_X_HILICPos,200821,5797551,3231736.25,4514643.625,1.4043291952511563,NA
Methionine,Methionine_X_HILICPos,200821,70321072,34780356,52550714,0.8833124226447717,NA
Methionine Sulfoxide,Methionine Sulfoxide_X_HILICPos,200821,51823592,37319500,44571546,0.7503923646364999,NA
Methylmalonyl carnitine,Methylmalonyl carnitine_X_HILICPos,200821,577596736,429162560,503379648,0.7376420363608672,NA
Methylthioadenosine,Methylthioadenosine_X_RP,200825,715680960,257616256,486648608,0.8762012379222064,NA
Muramic Acid,Muramic Acid_X_HILICPos,200821,37496880,21520064,29508472,0.8491859939074986,NA
N-Acetyl-Serine,N-Acetyl-Serine_X_HILICPos,200821,12147998,5002064,8575031,9.192887422562293e-4,NA
N-Acetylglucosamine,N-Acetylglucosamine_X_HILICPos,200821,10009602.666666666,7299239.333333333,8654421,1.2744885900791303,NA
N-acetyltaurine,N-acetyltaurine_X_HILICNeg,200821,138156560,83239808,110698184,0.9821821017167593,NA
N(e)-Acetyl-Lysine,N(e)-Acetyl-Lysine_X_HILICPos,200821,170158368,126873552,148515960,0.5081402241716086,NA
NAD,NAD_X_HILICNeg,200821,5181892,3175496.75,4178694.375,0.7381522641935123,NA
Ophthalmic Acid,Ophthalmic Acid_X_HILICPos,200821,33304688,28610867.2,30957777.6,0.717341569910475,NA
Ornithine,Ornithine_X_HILICPos,200821,17429736,5405138.8,11417437.4,1.1028609755147059,NA
Orotic Acid,Orotic Acid_X_HILICNeg,200821,76686864,62955124,69820994,0.9422251082872886,NA
PEP,PEP_X_HILICNeg,200821,5153239,1481408.75,3317323.875,0.9451805430491668,NA
Phenylalanine,Phenylalanine_X_RP,200825,139868896,70329088,105098992,1.5539774621904265,NA
Phosphoglyceric Acid,Phosphoglyceric Acid_X_HILICNeg,200821,4190399.25,3320620.5,3755509.875,0.7765965028953576,NA
Proline,Proline_X_HILICPos,200821,148132224,112220184,130176204,0.9343806029550203,NA
Propionyl-L-carnitine,Propionyl-L-carnitine_X_HILICPos,200821,453988128,381576384,417782256,0.8884650051119307,NA
Propionylglycine,Propionylglycine_X_HILICNeg,200821,42600726.4,28487193.6,35543960,0.8580354215363641,NA
Pyridoxal,Pyridoxal_X_RP,200825,326302880,302687776,314495328,0.48341009202895346,NA
Resorcylic Acid,Resorcylic Acid_X_HILICNeg,200821,77343406.66666667,45102093.333333336,61222750,0.9448397318983163,NA
Ribose 5 phosphate,Ribose 5 phosphate_X_HILICNeg,200821,2875680,2719490.25,2797585.125,0.9567340566190481,NA
RP B12,RP B12_X_RP,200825,56196396,28688300,42442348,0.9211020336641822,NA
Serine,Serine_X_HILICPos,200821,7793698,6266045,7029871.5,0.7027594781473061,NA
Stachydrine hydrochloride,Stachydrine hydrochloride_X_HILICPos,200821,804937152,670439360,737688256,0.8938678995460438,NA
Sulfurol,Sulfurol_X_RP,200825,680619392,631831168,656225280,0.7863034750049629,NA
Taurine,Taurine_X_HILICNeg,200821,54692268,35251424,44971846,0.4182716522330031,NA
Thiamine monophosphate,Thiamine monophosphate_X_HILICPos,200821,19985204,14985934,17485569,0.9276765252883281,NA
Threonic acid,Threonic acid_X_HILICNeg,200821,60338384,55009404,57673894,0.7026118371244889,NA
Threonine,Threonine_X_HILICPos,200821,16596933,9989082,13293007.5,0.8794445154520507,NA
trans Hydroxyl proline,trans Hydroxyl proline_X_HILICPos,200821,68604832,60491384,64548108,0.722881027481688,NA
Trigonelline,Trigonelline_X_HILICPos,200821,627330944,525376608,576353776,0.9170730992141947,NA
Trimethyl-L-lysine,Trimethyl-L-lysine_X_HILICPos,200821,209783008,132339232,171061120,1.0275082829953681,NA
Trimethylamine N-oxide,Trimethylamine N-oxide_X_HILICPos,200821,154863168,120202056,137532612,0.9285654146866996,NA
Trimethylammonium Propionate (TMAP),Trimethylammonium Propionate (TMAP)_X_HILICPos,200821,358355648,346885920,352620784,0.893282484411756,NA
Tryptophan,Tryptophan_X_RP,200825,88182376,48092024,68137200,0.9947043341736307,NA
Turicine,Turicine_X_HILICPos,200821,676012480,521884256,598948368,0.911454540684036,NA
Tyrosine,Tyrosine_X_HILICPos,200821,32699752,19246766,25973259,0.8269832350230804,NA
UDP-glucosamine,UDP-glucosamine_X_HILICNeg,200821,6204315,4750849,5477582,0.9839115874661128,NA
UDP-glucose,UDP-glucose_X_HILICNeg,200821,5978523,4911603,5445063,0.8575423550832325,NA
Uridine,Uridine_X_HILICNeg,200821,12690427,9504685,11097556,0.9391750442508103,NA
Vitamin B1,Vitamin B1_X_RP,200825,178152624,72380768,125266696,0.5848355910321915,NA
Vitamin B2,Vitamin B2_X_RP,200825,107403600,73556648,90480124,0.9573131463619189,NA
Vitamin B3,Vitamin B3_X_HILICPos,200821,251682848,245886512,248784680,0.89486396326922,NA
Vitamin B5,Vitamin B5_X_RP,200825,88008216,61721316,74864766,1.213219988134875,NA
Vitamin B6,Vitamin B6_X_RP,200825,566306496,541020736,553663616,0.6314841528621162,NA
Xanthine,Xanthine_X_RP,200825,36549840,10111464,23330652,1.4113261980653564,NA
