"","X","Precursor.Ion.Name","Retention.Time","Area","Background","Height","Mass.Error.PPM","SNFlag","ppmFlag","areaminFlag","RT_ref","RT_max","RT_min","RTFlag","Blank.Area","BlankFlag","Flags","QC_area","Reps_Present","ReplicateFlag","Samps_Present","Replicate.Name","SampleFlag","SmpFlag","CmpFlag","Filled_area","Backfill_Flag"
"11",85,"Aconitic Acid",15.09,2857836,0,"151922",0.6,NA,NA,NA,15.04125,15.24,14.83,NA,64883,NA,"",2857836,3,NA,8,"200821_Smp_Ev32Core_A",NA,NA,NA,2857836,NA
"12",86,"Aconitic Acid",15.1,1693195,0,"93074",-0.2,NA,NA,NA,15.04125,15.24,14.83,NA,64883,NA,"",1693195,3,NA,8,"200821_Smp_Ev32Core_B",NA,NA,NA,1693195,NA
"13",87,"Aconitic Acid",15.12,1357627,0,"93640",-0.6,NA,NA,NA,15.04125,15.24,14.83,NA,64883,NA,"",1357627,3,NA,8,"200821_Smp_Ev32Core_C",NA,NA,NA,1357627,NA
"14",88,"Aconitic Acid",15.12,1600482,0,"85464",-0.7,NA,NA,NA,15.04125,15.24,14.83,NA,64883,NA,"",1600482,1,NA,8,"200821_Smp_Ev37Core_A",NA,NA,NA,1600482,NA
"15",89,"Aconitic Acid",15.1,1479490,0,"78879",0.6,NA,NA,NA,15.04125,15.24,14.83,NA,64883,NA,"",1479490,1,NA,8,"200821_Smp_Ev51Slush_A",NA,NA,NA,1479490,NA
"16",90,"Aconitic Acid",15.15,2429349,0,"164134",-0.4,NA,NA,NA,15.04125,15.24,14.83,NA,64883,NA,"",2429349,1,NA,8,"200821_Smp_EvXCore_A",NA,NA,NA,2429349,NA
"17",91,"Aconitic Acid",15.13,491071,0,"38323",-0.3,NA,NA,NA,15.04125,15.24,14.83,NA,64883,NA,"",491071,1,NA,8,"200821_Smp_EvXSW_A",NA,NA,NA,491071,NA
"18",92,"Aconitic Acid",15.15,177389,0,"21392",0,NA,NA,NA,15.04125,15.24,14.83,NA,144347,"BlankFlag","BlankFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",8,"200821_Smp_Hero1_A",NA,NA,NA,433141,"Backfill_Flag"
"19",93,"Aconitic Acid",15.13,518180,0,"32713",-0.6,NA,NA,NA,15.04125,15.24,14.83,NA,144347,"BlankFlag","BlankFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",8,"200821_Smp_Hero1_B",NA,NA,NA,433141,"Backfill_Flag"
"20",94,"Aconitic Acid",15.23,486271,0,"30949",-0.9,NA,NA,NA,15.04125,15.24,14.83,NA,144347,"BlankFlag","BlankFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",8,"200821_Smp_Hero1_C",NA,NA,NA,433141,"Backfill_Flag"
"21",95,"Aconitic Acid",15.18,2271148,0,"124939",-1,NA,NA,NA,15.04125,15.24,14.83,NA,144347,NA,"",2271148,3,NA,8,"200821_Smp_StaB1_A",NA,NA,NA,2271148,NA
"22",96,"Aconitic Acid",15.1,630755,0,"50730",0.5,NA,NA,NA,15.04125,15.24,14.83,NA,144347,"BlankFlag","BlankFlag, ",NA,3,NA,8,"200821_Smp_StaB1_B",NA,NA,NA,433141,"Backfill_Flag"
"23",97,"Aconitic Acid",15.04,910498,0,"75047",-0.3,NA,NA,NA,15.04125,15.24,14.83,NA,144347,NA,"",910498,3,NA,8,"200821_Smp_StaB1_C",NA,NA,NA,910498,NA
"24",98,"Aconitic Acid",15.19,941237,0,"59044",-0.7,NA,NA,NA,15.04125,15.24,14.83,NA,144347,NA,"",941237,3,NA,8,"200821_Smp_StaB1_D",NA,NA,NA,941237,NA
"25",99,"Aconitic Acid",15.01,180948,0,"25314",-0.2,NA,NA,NA,15.04125,15.24,14.83,NA,144347,"BlankFlag","BlankFlag, ",NA,3,NA,8,"200821_Smp_StaB1_E",NA,NA,NA,433141,"Backfill_Flag"
"26",100,"Aconitic Acid",15.01,613631,0,"42767",0.3,NA,NA,NA,15.04125,15.24,14.83,NA,144347,"BlankFlag","BlankFlag, ReplicateFlag, ",NA,1,"ReplicateFlag",8,"200821_Smp_StaB2_A",NA,NA,NA,433141,"Backfill_Flag"
"27",101,"Aconitic Acid",15.09,586882,0,"52909",0.1,NA,NA,NA,15.04125,15.24,14.83,NA,144347,"BlankFlag","BlankFlag, ReplicateFlag, ",NA,1,"ReplicateFlag",8,"200821_Smp_StaB2_B",NA,NA,NA,433141,"Backfill_Flag"
"28",102,"Aconitic Acid",15.15,2276076,0,"117594",-0.7,NA,NA,NA,15.04125,15.24,14.83,NA,144347,NA,"ReplicateFlag, ",NA,1,"ReplicateFlag",8,"200821_Smp_StaB2_C",NA,NA,NA,433141,"Backfill_Flag"
"29",103,"Aconitic Acid",15.21,2516967,0,"103186",-0.5,NA,NA,NA,15.04125,15.24,14.83,NA,146155,NA,"",2516967,3,NA,8,"200821_Smp_StaB3_A",NA,NA,NA,2516967,NA
"30",104,"Aconitic Acid",15.1,860499,0,"56997",0.4,NA,NA,NA,15.04125,15.24,14.83,NA,146155,NA,"",860499,3,NA,8,"200821_Smp_StaB3_B",NA,NA,NA,860499,NA
"31",105,"Aconitic Acid",15.16,1534975,0,"87701",-0.5,NA,NA,NA,15.04125,15.24,14.83,NA,146155,NA,"",1534975,3,NA,8,"200821_Smp_StaB3_C",NA,NA,NA,1534975,NA
"32",106,"Aconitic Acid",15.07,791552,0,"45665",-0.2,NA,NA,NA,15.04125,15.24,14.83,NA,195622,"BlankFlag","BlankFlag, ReplicateFlag, ",NA,1,"ReplicateFlag",8,"200821_Smp_StaB4_A",NA,NA,NA,586966,"Backfill_Flag"
"33",107,"Aconitic Acid",15.19,2063028,0,"93952",-0.1,NA,NA,NA,15.04125,15.24,14.83,NA,195622,NA,"ReplicateFlag, ",NA,1,"ReplicateFlag",8,"200821_Smp_StaB4_B",NA,NA,NA,586966,"Backfill_Flag"
"34",108,"Aconitic Acid",15.02,937244,0,"59497",0.2,NA,NA,NA,15.04125,15.24,14.83,NA,195622,"BlankFlag","BlankFlag, ReplicateFlag, ",NA,1,"ReplicateFlag",8,"200821_Smp_StaB4_C",NA,NA,NA,586966,"Backfill_Flag"
"35",109,"Aconitic Acid",15.12,488241,0,"44698",-0.3,NA,NA,NA,15.04125,15.24,14.83,NA,195622,"BlankFlag","BlankFlag, ReplicateFlag, ",NA,1,"ReplicateFlag",8,"200821_Smp_StaB5_A",NA,NA,NA,586966,"Backfill_Flag"
"36",110,"Aconitic Acid",15.14,691135,0,"51566",-0.5,NA,NA,NA,15.04125,15.24,14.83,NA,195622,"BlankFlag","BlankFlag, ReplicateFlag, ",NA,1,"ReplicateFlag",8,"200821_Smp_StaB5_B",NA,NA,NA,586966,"Backfill_Flag"
"37",111,"Aconitic Acid",15.15,2926411,0,"152588",-0.4,NA,NA,NA,15.04125,15.24,14.83,NA,195622,NA,"ReplicateFlag, ",NA,1,"ReplicateFlag",8,"200821_Smp_StaB5_C",NA,NA,NA,586966,"Backfill_Flag"
"38",112,"ADP",13.1,131227,0,"16310",1.4,NA,NA,NA,13.11625,13.92,12.86,NA,0,NA,"",131227,2,NA,5,"200821_Smp_20ppt3C_A",NA,NA,NA,131227,NA
"39",113,"ADP",13.14,636818,0,"38051",1.6,NA,NA,NA,13.11625,13.92,12.86,NA,0,NA,"",636818,2,NA,5,"200821_Smp_20ppt3C_B",NA,NA,NA,636818,NA
"40",114,"ADP",12.59,0,0,"0",NA,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,0,NA,"areaminFlag, ",NA,2,NA,5,"200821_Smp_20ppt3C_C",NA,NA,NA,100,"Backfill_Flag"
"41",115,"ADP",13.11,1945437,0,"74712",2.9,NA,NA,NA,13.11625,13.92,12.86,NA,0,NA,"ReplicateFlag, ",NA,1,"ReplicateFlag",5,"200821_Smp_35ppt0C_A",NA,NA,NA,100,"Backfill_Flag"
"42",116,"ADP",13.18,20691,0,"11539",0.4,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,0,NA,"areaminFlag, ReplicateFlag, ",NA,1,"ReplicateFlag",5,"200821_Smp_35ppt0C_B",NA,NA,NA,100,"Backfill_Flag"
"43",117,"ADP",12.51,0,0,"0",NA,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,0,NA,"areaminFlag, ReplicateFlag, ",NA,1,"ReplicateFlag",5,"200821_Smp_35ppt0C_C",NA,NA,NA,100,"Backfill_Flag"
"44",118,"ADP",13.23,186486,0,"15216",1.4,NA,NA,NA,13.11625,13.92,12.86,NA,10575,NA,"",186486,3,NA,5,"200821_Smp_50ppt-3C_A",NA,NA,NA,186486,NA
"45",119,"ADP",13.12,1469379,0,"80533",1.6,NA,NA,NA,13.11625,13.92,12.86,NA,10575,NA,"",1469379,3,NA,5,"200821_Smp_50ppt-3C_B",NA,NA,NA,1469379,NA
"46",120,"ADP",13.22,617820,0,"32594",3.2,NA,NA,NA,13.11625,13.92,12.86,NA,10575,NA,"",617820,3,NA,5,"200821_Smp_50ppt-3C_C",NA,NA,NA,617820,NA
"47",121,"ADP",13.14,1407045,0,"53077",1.8,NA,NA,NA,13.11625,13.92,12.86,NA,21050,NA,"",1407045,1,NA,5,"200821_Smp_Ev15SW_A",NA,NA,NA,1407045,NA
"48",122,"ADP",12.48,0,0,"0",NA,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,21050,"BlankFlag","areaminFlag, BlankFlag, ",NA,1,NA,5,"200821_Smp_Ev32Core_A",NA,NA,NA,63250,"Backfill_Flag"
"49",123,"ADP",13.17,230105,0,"16722",1.3,NA,NA,NA,13.11625,13.92,12.86,NA,21050,NA,"",230105,1,NA,5,"200821_Smp_Ev32Core_B",NA,NA,NA,230105,NA
"50",124,"ADP",13.11,13317,0,"9840",0.2,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,21050,"BlankFlag","areaminFlag, BlankFlag, ",NA,1,NA,5,"200821_Smp_Ev32Core_C",NA,NA,NA,63250,"Backfill_Flag"
"51",125,"ADP",13.09,1614399,0,"57830",1.7,NA,NA,NA,13.11625,13.92,12.86,NA,21050,NA,"",1614399,1,NA,5,"200821_Smp_Ev37Core_A",NA,NA,NA,1614399,NA
"52",126,"ADP",13.13,619176,0,"43173",2.5,NA,NA,NA,13.11625,13.92,12.86,NA,21050,NA,"",619176,1,NA,5,"200821_Smp_Ev51Slush_A",NA,NA,NA,619176,NA
"53",127,"ADP",13.23,11287,0,"9650",1.6,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,21050,"BlankFlag","areaminFlag, BlankFlag, ",NA,0,NA,5,"200821_Smp_EvXCore_A",NA,NA,NA,63250,"Backfill_Flag"
"54",128,"ADP",12.59,0,0,"0",NA,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,21050,"BlankFlag","areaminFlag, BlankFlag, ",NA,0,NA,5,"200821_Smp_EvXSW_A",NA,NA,NA,63250,"Backfill_Flag"
"55",129,"ADP",12.42,0,0,"0",NA,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,0,NA,"areaminFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",5,"200821_Smp_Hero1_A",NA,NA,NA,100,"Backfill_Flag"
"56",130,"ADP",13.47,12123,0,"10992",5.3,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,0,NA,"areaminFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",5,"200821_Smp_Hero1_B",NA,NA,NA,100,"Backfill_Flag"
"57",131,"ADP",13.14,36811,0,"10161",1.2,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,0,NA,"areaminFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",5,"200821_Smp_Hero1_C",NA,NA,NA,100,"Backfill_Flag"
"58",132,"ADP",13.12,65231,0,"13969",0.9,NA,NA,NA,13.11625,13.92,12.86,NA,0,NA,"",65231,2,NA,5,"200821_Smp_StaB1_A",NA,NA,NA,65231,NA
"59",133,"ADP",12.39,0,0,"0",NA,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,0,NA,"areaminFlag, ",NA,2,NA,5,"200821_Smp_StaB1_B",NA,NA,NA,100,"Backfill_Flag"
"60",134,"ADP",13.07,24760,0,"10557",0.3,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,0,NA,"areaminFlag, ",NA,2,NA,5,"200821_Smp_StaB1_C",NA,NA,NA,100,"Backfill_Flag"
"61",135,"ADP",13.22,405879,0,"29604",1.4,NA,NA,NA,13.11625,13.92,12.86,NA,0,NA,"",405879,2,NA,5,"200821_Smp_StaB1_D",NA,NA,NA,405879,NA
"62",136,"ADP",12.56,0,0,"0",NA,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,0,NA,"areaminFlag, ",NA,2,NA,5,"200821_Smp_StaB1_E",NA,NA,NA,100,"Backfill_Flag"
"63",137,"ADP",13.1,37915,0,"8956",0.8,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,0,NA,"areaminFlag, ReplicateFlag, ",NA,1,"ReplicateFlag",5,"200821_Smp_StaB2_A",NA,NA,NA,100,"Backfill_Flag"
"64",138,"ADP",12.53,0,0,"0",NA,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,0,NA,"areaminFlag, ReplicateFlag, ",NA,1,"ReplicateFlag",5,"200821_Smp_StaB2_B",NA,NA,NA,100,"Backfill_Flag"
"65",139,"ADP",13.01,788827,0,"31421",1.6,NA,NA,NA,13.11625,13.92,12.86,NA,0,NA,"ReplicateFlag, ",NA,1,"ReplicateFlag",5,"200821_Smp_StaB2_C",NA,NA,NA,100,"Backfill_Flag"
"66",140,"ADP",13.12,632005,0,"32816",1.8,NA,NA,NA,13.11625,13.92,12.86,NA,0,NA,"ReplicateFlag, ",NA,1,"ReplicateFlag",5,"200821_Smp_StaB3_A",NA,NA,NA,100,"Backfill_Flag"
"67",141,"ADP",12.4,0,0,"0",NA,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,0,NA,"areaminFlag, ReplicateFlag, ",NA,1,"ReplicateFlag",5,"200821_Smp_StaB3_B",NA,NA,NA,100,"Backfill_Flag"
"68",142,"ADP",13.21,16428,0,"13249",0.9,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,0,NA,"areaminFlag, ReplicateFlag, ",NA,1,"ReplicateFlag",5,"200821_Smp_StaB3_C",NA,NA,NA,100,"Backfill_Flag"
"69",143,"ADP",13.23,32432,0,"12468",0.2,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,40098,"BlankFlag","areaminFlag, BlankFlag, ReplicateFlag, ",NA,1,"ReplicateFlag",5,"200821_Smp_StaB4_A",NA,NA,NA,120394,"Backfill_Flag"
"70",144,"ADP",13.12,1622209,0,"55484",2.1,NA,NA,NA,13.11625,13.92,12.86,NA,40098,NA,"ReplicateFlag, ",NA,1,"ReplicateFlag",5,"200821_Smp_StaB4_B",NA,NA,NA,120394,"Backfill_Flag"
"71",145,"ADP",12.56,0,0,"0",NA,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,40098,"BlankFlag","areaminFlag, BlankFlag, ReplicateFlag, ",NA,1,"ReplicateFlag",5,"200821_Smp_StaB4_C",NA,NA,NA,120394,"Backfill_Flag"
"72",146,"ADP",12.64,0,0,"0",NA,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,40098,"BlankFlag","areaminFlag, BlankFlag, ReplicateFlag, ",NA,1,"ReplicateFlag",5,"200821_Smp_StaB5_A",NA,NA,NA,120394,"Backfill_Flag"
"73",147,"ADP",12.51,0,0,"0",NA,NA,NA,"areaminFlag",13.11625,13.92,12.86,NA,40098,"BlankFlag","areaminFlag, BlankFlag, ReplicateFlag, ",NA,1,"ReplicateFlag",5,"200821_Smp_StaB5_B",NA,NA,NA,120394,"Backfill_Flag"
"74",148,"ADP",13.04,349302,0,"21398",2.2,NA,NA,NA,13.11625,13.92,12.86,NA,40098,NA,"ReplicateFlag, ",NA,1,"ReplicateFlag",5,"200821_Smp_StaB5_C",NA,NA,NA,120394,"Backfill_Flag"
"75",149,"Amino Propanesulfonic Acid",12.02,21007,0,"17254",-1,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,0,NA,"areaminFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_20ppt3C_A",NA,NA,NA,100,"Backfill_Flag"
"76",150,"Amino Propanesulfonic Acid",12.28,13592,0,"13565",-0.4,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,0,NA,"areaminFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_20ppt3C_B",NA,NA,NA,100,"Backfill_Flag"
"77",151,"Amino Propanesulfonic Acid",12.4,43350,0,"16321",-4.8,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,0,NA,"areaminFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_20ppt3C_C",NA,NA,NA,100,"Backfill_Flag"
"78",152,"Amino Propanesulfonic Acid",12.41,333192,0,"34849",-3.6,NA,NA,NA,11.4277777777778,12.28,8.03,NA,0,NA,"",333192,3,NA,3,"200821_Smp_35ppt0C_A",NA,NA,NA,333192,NA
"79",153,"Amino Propanesulfonic Acid",12.33,390823,0,"49863",-1.9,NA,NA,NA,11.4277777777778,12.28,8.03,NA,0,NA,"",390823,3,NA,3,"200821_Smp_35ppt0C_B",NA,NA,NA,390823,NA
"80",154,"Amino Propanesulfonic Acid",12.11,768049,0,"75807",-2.9,NA,NA,NA,11.4277777777778,12.28,8.03,NA,0,NA,"",768049,3,NA,3,"200821_Smp_35ppt0C_C",NA,NA,NA,768049,NA
"81",155,"Amino Propanesulfonic Acid",12.3,8847,0,"8974",-0.1,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,0,NA,"areaminFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_50ppt-3C_A",NA,NA,NA,100,"Backfill_Flag"
"82",156,"Amino Propanesulfonic Acid",12.32,48599,0,"20035",-3.2,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,0,NA,"areaminFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_50ppt-3C_B",NA,NA,NA,100,"Backfill_Flag"
"83",157,"Amino Propanesulfonic Acid",12.32,22234,0,"8995",-2.9,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,0,NA,"areaminFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_50ppt-3C_C",NA,NA,NA,100,"Backfill_Flag"
"84",158,"Amino Propanesulfonic Acid",11.63,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,0,NA,"areaminFlag, ",NA,0,NA,3,"200821_Smp_Ev15SW_A",NA,NA,NA,100,"Backfill_Flag"
"85",159,"Amino Propanesulfonic Acid",12.11,25293,0,"10769",-4.6,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,0,NA,"areaminFlag, ",NA,0,NA,3,"200821_Smp_Ev32Core_A",NA,NA,NA,100,"Backfill_Flag"
"86",160,"Amino Propanesulfonic Acid",11.44,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,0,NA,"areaminFlag, ",NA,0,NA,3,"200821_Smp_Ev32Core_B",NA,NA,NA,100,"Backfill_Flag"
"87",161,"Amino Propanesulfonic Acid",11.44,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,0,NA,"areaminFlag, ",NA,0,NA,3,"200821_Smp_Ev32Core_C",NA,NA,NA,100,"Backfill_Flag"
"88",162,"Amino Propanesulfonic Acid",11.53,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,0,NA,"areaminFlag, ",NA,0,NA,3,"200821_Smp_Ev37Core_A",NA,NA,NA,100,"Backfill_Flag"
"89",163,"Amino Propanesulfonic Acid",11.44,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,0,NA,"areaminFlag, ",NA,0,NA,3,"200821_Smp_Ev51Slush_A",NA,NA,NA,100,"Backfill_Flag"
"90",164,"Amino Propanesulfonic Acid",12.25,11118,0,"6075",-2.9,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,0,NA,"areaminFlag, ",NA,0,NA,3,"200821_Smp_EvXCore_A",NA,NA,NA,100,"Backfill_Flag"
"91",165,"Amino Propanesulfonic Acid",11.52,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,0,NA,"areaminFlag, ",NA,0,NA,3,"200821_Smp_EvXSW_A",NA,NA,NA,100,"Backfill_Flag"
"92",166,"Amino Propanesulfonic Acid",11.36,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,10462,"BlankFlag","areaminFlag, BlankFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_Hero1_A",NA,NA,NA,31486,"Backfill_Flag"
"93",167,"Amino Propanesulfonic Acid",11.46,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,10462,"BlankFlag","areaminFlag, BlankFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_Hero1_B",NA,NA,NA,31486,"Backfill_Flag"
"94",168,"Amino Propanesulfonic Acid",11.48,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,10462,"BlankFlag","areaminFlag, BlankFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_Hero1_C",NA,NA,NA,31486,"Backfill_Flag"
"95",169,"Amino Propanesulfonic Acid",11.56,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,10462,"BlankFlag","areaminFlag, BlankFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_StaB1_A",NA,NA,NA,31486,"Backfill_Flag"
"96",170,"Amino Propanesulfonic Acid",11.5,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,10462,"BlankFlag","areaminFlag, BlankFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_StaB1_B",NA,NA,NA,31486,"Backfill_Flag"
"97",171,"Amino Propanesulfonic Acid",11.63,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,10462,"BlankFlag","areaminFlag, BlankFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_StaB1_C",NA,NA,NA,31486,"Backfill_Flag"
"98",172,"Amino Propanesulfonic Acid",11.37,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,10462,"BlankFlag","areaminFlag, BlankFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_StaB1_D",NA,NA,NA,31486,"Backfill_Flag"
"99",173,"Amino Propanesulfonic Acid",11.42,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,10462,"BlankFlag","areaminFlag, BlankFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_StaB1_E",NA,NA,NA,31486,"Backfill_Flag"
"100",174,"Amino Propanesulfonic Acid",11.5,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,10462,"BlankFlag","areaminFlag, BlankFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_StaB2_A",NA,NA,NA,31486,"Backfill_Flag"
"101",175,"Amino Propanesulfonic Acid",11.45,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,10462,"BlankFlag","areaminFlag, BlankFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_StaB2_B",NA,NA,NA,31486,"Backfill_Flag"
"102",176,"Amino Propanesulfonic Acid",11.42,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,10462,"BlankFlag","areaminFlag, BlankFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_StaB2_C",NA,NA,NA,31486,"Backfill_Flag"
"103",177,"Amino Propanesulfonic Acid",11.6,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,0,NA,"areaminFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_StaB3_A",NA,NA,NA,100,"Backfill_Flag"
"104",178,"Amino Propanesulfonic Acid",11.55,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,0,NA,"areaminFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_StaB3_B",NA,NA,NA,100,"Backfill_Flag"
"105",179,"Amino Propanesulfonic Acid",11.51,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,0,NA,"areaminFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_StaB3_C",NA,NA,NA,100,"Backfill_Flag"
"106",180,"Amino Propanesulfonic Acid",11.55,0,0,"0",NA,NA,NA,"areaminFlag",11.4277777777778,12.28,8.03,NA,0,NA,"areaminFlag, ReplicateFlag, ",NA,0,"ReplicateFlag",3,"200821_Smp_StaB4_A",NA,NA,NA,100,"Backfill_Flag"
