MassFeature,FinalBMIS,Orig_RSD,FinalRSD,QC_area,runDate,type,SampID,replicate,Date,Adjusted_Area,Run.Cmpd,Column,Area,MassFeature_Column,Volume_filtered_L,umolCFiltered,Adjusted_Area_VolNormed,Adjusted_Area_CNormed,Rank,RankPercent
Hydroxo B12,Inj_vol,0.0909966581224534,0.0909966581224534,1208858,200825,Smp,20ppt3C_A,A,200825,1208858,200825_Smp_20ppt3C_A Hydroxo B12,RP,1208858,Hydroxo B12_X_RP,0.6,76.76311476,2014763.3333333335,15747.901889852914,9,0.7
IAA,"Indole 3 Acetic Acid, D5",0.1318408012182572,0.03268687699011025,484153,200825,Smp,20ppt3C_A,A,200825,430482.1662061449,200825_Smp_20ppt3C_A IAA,RP,484153,IAA_X_RP,0.6,76.76311476,717470.2770102415,5607.929896435913,13,0.5666666666666667
Indole 3 acetamide,"L-Tryptophan, D3",0.19606749936632245,0.12917385262328485,109083,200825,Smp,20ppt3C_A,A,200825,135028.03461391004,200825_Smp_20ppt3C_A Indole 3 acetamide,RP,109083,Indole 3 acetamide_X_RP,0.6,76.76311476,225046.72435651676,1759.0223512435032,21,0.30000000000000004
Indole 3 carboxylic acid,Inj_vol,0.30740140917207026,0.30740140917207026,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Indole 3 carboxylic acid,RP,0,Indole 3 carboxylic acid_X_RP,0.6,76.76311476,NA,NA,30,0
Indole 3 Lactic Acid,"Indole 3 Acetic Acid, D5",0.13602271879881334,0.06319439637400319,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Indole 3 Lactic Acid,RP,0,Indole 3 Lactic Acid_X_RP,0.6,76.76311476,NA,NA,30,0
Indole 3 methyl acetate,Inj_vol,0.22303827334456167,0.22303827334456167,64263,200825,Smp,20ppt3C_A,A,200825,64263,200825_Smp_20ppt3C_A Indole 3 methyl acetate,RP,64263,Indole 3 methyl acetate_X_RP,0.6,76.76311476,107105,837.1598807697991,25,0.16666666666666663
Isobutyryl-L-carnitine,"L-Tryptophan, D3",0.10907489454654314,0.029409346606318,6889456,200825,Smp,20ppt3C_A,A,200825,8528090.566256981,200825_Smp_20ppt3C_A Isobutyryl-L-carnitine,RP,6889456,Isobutyryl-L-carnitine_X_RP,0.6,76.76311476,14213484.27709497,111096.2028172003,6,0.8
Kynurenine,"Riboflavin-dioxopyrimidine, 13C4, 15N2",0.12063919099795799,0.04819700056220014,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Kynurenine,RP,0,Kynurenine_X_RP,0.6,76.76311476,NA,NA,30,0
Melatonin,Inj_vol,0.5903009219662884,0.5903009219662884,211107,200825,Smp,20ppt3C_A,A,200825,211107,200825_Smp_20ppt3C_A Melatonin,RP,211107,Melatonin_X_RP,0.6,76.76311476,351845,2750.1098758176554,17,0.43333333333333335
Methyl B12,Inj_vol,0.40637092024289656,0.40637092024289656,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Methyl B12,RP,0,Methyl B12_X_RP,0.6,76.76311476,NA,NA,30,0
Methyl indole 3 carboxylate,Inj_vol,0.6507327479399635,0.6507327479399635,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Methyl indole 3 carboxylate,RP,0,Methyl indole 3 carboxylate_X_RP,0.6,76.76311476,NA,NA,30,0
Methylthioadenosine,"L-Tryptophan, D3",0.215281330336489,0.12625504597926313,12307646,200825,Smp,20ppt3C_A,A,200825,15234979.328619048,200825_Smp_20ppt3C_A Methylthioadenosine,RP,12307646,Methylthioadenosine_X_RP,0.6,76.76311476,25391632.21436508,198467.4459374302,5,0.8333333333333334
Monesin,"Pyridoxal, D3",0.44056448703004986,0.2623698517746278,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Monesin,RP,0,Monesin_X_RP,0.6,76.76311476,NA,NA,30,0
p-Coumaric Acid,Inj_vol,1.2622177336795461,1.2622177336795461,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A p-Coumaric Acid,RP,0,p-Coumaric Acid_X_RP,0.6,76.76311476,NA,NA,30,0
p-Coumoroyl-HSL,Inj_vol,0.1523253746164513,0.1523253746164513,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A p-Coumoroyl-HSL,RP,0,p-Coumoroyl-HSL_X_RP,0.6,76.76311476,NA,NA,30,0
Phenylalanine,"L-Phenylalanine, D8",0.09603731843108848,0.019679772116268663,874216832,200825,Smp,20ppt3C_A,A,200825,801484477.4447639,200825_Smp_20ppt3C_A Phenylalanine,RP,874216832,Phenylalanine_X_RP,0.6,76.76311476,1335807462.40794,10441010.372632826,1,0.9666666666666667
Pyridoxal,"Pyridoxal, D3",0.269915162357458,0.10915616510032004,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Pyridoxal,RP,0,Pyridoxal_X_RP,0.6,76.76311476,NA,NA,30,0
Pyridoxal Phosphate,"Pyridoxal, D3",0.8525268256943245,0.6280626458206575,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Pyridoxal Phosphate,RP,0,Pyridoxal Phosphate_X_RP,0.6,76.76311476,NA,NA,30,0
Pyridoxamine,Inj_vol,0.5689351396365038,0.5689351396365038,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Pyridoxamine,RP,0,Pyridoxamine_X_RP,0.6,76.76311476,NA,NA,30,0
Retinoic Acid,Inj_vol,0.9996434164814659,0.9996434164814659,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Retinoic Acid,RP,0,Retinoic Acid_X_RP,0.6,76.76311476,NA,NA,30,0
RP B12,Inj_vol,0.2995946702327922,0.2995946702327922,99775,200825,Smp,20ppt3C_A,A,200825,99775,200825_Smp_20ppt3C_A RP B12,RP,99775,RP B12_X_RP,0.6,76.76311476,166291.6666666667,1299.7778986945318,22,0.2666666666666667
S-Farnesyl-L-cysteine Methyl Ester,Inj_vol,1.0773662043703747,1.0773662043703747,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A S-Farnesyl-L-cysteine Methyl Ester,RP,0,S-Farnesyl-L-cysteine Methyl Ester_X_RP,0.6,76.76311476,NA,NA,30,0
Squalene,"Pyridoxal, D3",0.4003944024141612,0.2075389248688012,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Squalene,RP,0,Squalene_X_RP,0.6,76.76311476,NA,NA,30,0
Sulfurol,Inj_vol,0.5381126558826509,0.5381126558826509,314426,200825,Smp,20ppt3C_A,A,200825,314426,200825_Smp_20ppt3C_A Sulfurol,RP,314426,Sulfurol_X_RP,0.6,76.76311476,524043.3333333334,4096.055781257098,16,0.4666666666666667
Syringaldehyde,Inj_vol,0.11818281772591788,0.11818281772591788,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Syringaldehyde,RP,0,Syringaldehyde_X_RP,0.6,76.76311476,NA,NA,30,0
Syringic Acid,"Pyridoxal, D3",0.8156468740097648,0.6441146603125937,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Syringic Acid,RP,0,Syringic Acid_X_RP,0.6,76.76311476,NA,NA,30,0
Tocopherol (Vit E),Inj_vol,0.7036367799341673,0.7036367799341673,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Tocopherol (Vit E),RP,0,Tocopherol (Vit E)_X_RP,0.6,76.76311476,NA,NA,30,0
Tocotrienol,"Pyridoxal, D3",0.20984522592037413,0.05141335156106091,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Tocotrienol,RP,0,Tocotrienol_X_RP,0.6,76.76311476,NA,NA,30,0
trans Retinal,Inj_vol,0.5087328174136135,0.5087328174136135,47153,200825,Smp,20ppt3C_A,A,200825,47153,200825_Smp_20ppt3C_A trans Retinal,RP,47153,trans Retinal_X_RP,0.6,76.76311476,78588.33333333334,614.2663719082261,28,0.06666666666666665
Tryptophan,"L-Tryptophan, D3",0.09721698250854124,0.028534627366679742,81476976,200825,Smp,20ppt3C_A,A,200825,100856008.13659982,200825_Smp_20ppt3C_A Tryptophan,RP,81476976,Tryptophan_X_RP,0.6,76.76311476,168093346.89433303,1313860.2889151424,2,0.9333333333333333
Tryptophol,"Indole 3 Acetic Acid, D5",0.3686357021886068,0.28851328499369877,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Tryptophol,RP,0,Tryptophol_X_RP,0.6,76.76311476,NA,NA,30,0
Vanillic Acid,"L-Tryptophan, D3",0.4692215679383355,0.36416449378819343,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Vanillic Acid,RP,0,Vanillic Acid_X_RP,0.6,76.76311476,NA,NA,30,0
Vanillin,Inj_vol,0.6375005020707009,0.6375005020707009,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Vanillin,RP,0,Vanillin_X_RP,0.6,76.76311476,NA,NA,30,0
Vitamin B1,"Pyridoxal, D3",0.17902197531389755,0.06939483841903514,4346353,200825,Smp,20ppt3C_A,A,200825,4478865.599285945,200825_Smp_20ppt3C_A Vitamin B1,RP,4346353,Vitamin B1_X_RP,0.6,76.76311476,7464775.998809909,58346.584987974056,7,0.7666666666666666
Vitamin B2,Inj_vol,0.08922108145730939,0.08922108145730939,564676,200825,Smp,20ppt3C_A,A,200825,564676,200825_Smp_20ppt3C_A Vitamin B2,RP,564676,Vitamin B2_X_RP,0.6,76.76311476,941126.6666666667,7356.085038569116,12,0.6
Vitamin B5,"Pyridoxal, D3",0.3358585039333279,0.178376118136365,981081,200825,Smp,20ppt3C_A,A,200825,1010992.4207750852,200825_Smp_20ppt3C_A Vitamin B5,RP,981081,Vitamin B5_X_RP,0.6,76.76311476,1684987.3679584754,13170.289193396526,10,0.6666666666666667
Vitamin B6,"L-Tryptophan, D3",0.18022241270286093,0.11846570230736407,1321137,200825,Smp,20ppt3C_A,A,200825,1635365.1124897306,200825_Smp_20ppt3C_A Vitamin B6,RP,1321137,Vitamin B6_X_RP,0.6,76.76311476,2725608.5208162176,21304.048404011515,8,0.7333333333333334
Vitamin B7,Inj_vol,0.3382320231072136,0.3382320231072136,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Vitamin B7,RP,0,Vitamin B7_X_RP,0.6,76.76311476,NA,NA,30,0
Vitamin B9,"Pyridoxal, D3",0.45899962534879873,0.3327330064666297,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Vitamin B9,RP,0,Vitamin B9_X_RP,0.6,76.76311476,NA,NA,30,0
Vitamin K2,"Pyridoxal, D3",0.3576983752115937,0.1497274003174979,NA,200825,Smp,20ppt3C_A,A,200825,NA,200825_Smp_20ppt3C_A Vitamin K2,RP,0,Vitamin K2_X_RP,0.6,76.76311476,NA,NA,30,0
Xanthine,"Indole 3 Acetic Acid, D5",0.22438185232386687,0.10399397034899559,42485848,200825,Smp,20ppt3C_A,A,200825,37776074.67090984,200825_Smp_20ppt3C_A Xanthine,RP,42485848,Xanthine_X_RP,0.6,76.76311476,62960124.4515164,492112.32229198614,3,0.9
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,"Pyridoxal, D3",0.40559102755442344,0.22087670624226607,NA,200825,Smp,20ppt3C_B,B,200825,NA,200825_Smp_20ppt3C_B 1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine,RP,0,1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine_X_RP,0.62,76.75804953,NA,NA,26,0
1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,Inj_vol,0.537899526020174,0.537899526020174,NA,200825,Smp,20ppt3C_B,B,200825,NA,200825_Smp_20ppt3C_B 1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine,RP,0,1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine_X_RP,0.62,76.75804953,NA,NA,26,0
"2,4 decadienal",Inj_vol,0.7083091452461996,0.7083091452461996,NA,200825,Smp,20ppt3C_B,B,200825,NA,"200825_Smp_20ppt3C_B 2,4 decadienal",RP,0,"2,4 decadienal_X_RP",0.62,76.75804953,NA,NA,26,0
"2,4 octadienal",Inj_vol,0.6603165844812365,0.6603165844812365,NA,200825,Smp,20ppt3C_B,B,200825,NA,"200825_Smp_20ppt3C_B 2,4 octadienal",RP,0,"2,4 octadienal_X_RP",0.62,76.75804953,NA,NA,26,0
3 Indolebutyric Acid,Inj_vol,0.3453492577105907,0.3453492577105907,NA,200825,Smp,20ppt3C_B,B,200825,NA,200825_Smp_20ppt3C_B 3 Indolebutyric Acid,RP,0,3 Indolebutyric Acid_X_RP,0.62,76.75804953,NA,NA,26,0
3 Indolepropionic Acid,Inj_vol,0.26548681911875144,0.26548681911875144,NA,200825,Smp,20ppt3C_B,B,200825,NA,200825_Smp_20ppt3C_B 3 Indolepropionic Acid,RP,0,3 Indolepropionic Acid_X_RP,0.62,76.75804953,NA,NA,26,0
3-Indoleacetonitrile,"Indole 3 Acetic Acid, D5",0.20443087139254643,0.02079674471266443,NA,200825,Smp,20ppt3C_B,B,200825,NA,200825_Smp_20ppt3C_B 3-Indoleacetonitrile,RP,0,3-Indoleacetonitrile_X_RP,0.62,76.75804953,NA,NA,26,0
3OC10-HSL,Inj_vol,0.20454390911357967,0.20454390911357967,NA,200825,Smp,20ppt3C_B,B,200825,NA,200825_Smp_20ppt3C_B 3OC10-HSL,RP,0,3OC10-HSL_X_RP,0.62,76.75804953,NA,NA,26,0
3OC12-HSL,Inj_vol,2.6268807039298925,2.6268807039298925,167503,200825,Smp,20ppt3C_B,B,200825,167503,200825_Smp_20ppt3C_B 3OC12-HSL,RP,167503,3OC12-HSL_X_RP,0.62,76.75804953,270166.12903225806,2182.2206403842165,15,0.42307692307692313
3OC6-HSL,Inj_vol,0.7070188314295138,0.7070188314295138,NA,200825,Smp,20ppt3C_B,B,200825,NA,200825_Smp_20ppt3C_B 3OC6-HSL,RP,0,3OC6-HSL_X_RP,0.62,76.75804953,NA,NA,26,0
3OC8-HSL,"Pyridoxal, D3",0.629453070752051,0.49019044727562144,76080,200825,Smp,20ppt3C_B,B,200825,71532.9155138694,200825_Smp_20ppt3C_B 3OC8-HSL,RP,76080,3OC8-HSL_X_RP,0.62,76.75804953,115375.67018366033,931.9272174302916,21,0.1923076923076923
3OHC12-HSL,Inj_vol,0.3138469423918869,0.3138469423918869,NA,200825,Smp,20ppt3C_B,B,200825,NA,200825_Smp_20ppt3C_B 3OHC12-HSL,RP,0,3OHC12-HSL_X_RP,0.62,76.75804953,NA,NA,26,0
7-dehydrocholesterol,Inj_vol,0.4057659285593424,0.4057659285593424,69007,200825,Smp,20ppt3C_B,B,200825,69007,200825_Smp_20ppt3C_B 7-dehydrocholesterol,RP,69007,7-dehydrocholesterol_X_RP,0.62,76.75804953,111301.6129032258,899.0197174438287,22,0.15384615384615385
Abscisic Acid,Inj_vol,0.5948010832827125,0.5948010832827125,NA,200825,Smp,20ppt3C_B,B,200825,NA,200825_Smp_20ppt3C_B Abscisic Acid,RP,0,Abscisic Acid_X_RP,0.62,76.75804953,NA,NA,26,0
Acetosyringone,Inj_vol,0.24792455412610317,0.24792455412610317,53019,200825,Smp,20ppt3C_B,B,200825,53019,200825_Smp_20ppt3C_B Acetosyringone,RP,53019,Acetosyringone_X_RP,0.62,76.75804953,85514.51612903226,690.7288593788218,24,0.07692307692307687
